"Location","Capacity","10-Apr-10","11-Apr-10","12-Apr-10","13-Apr-10","14-Apr-10","15-Apr-10","16-Apr-10","17-Apr-10","18-Apr-10"
"Mississippi State Penitentiary","4,435","3,738","3,738","3,744","3,746","3,757","3,745","3,739","3,738","3,736"
"Central Mississippi Correctional Facility","3,449","3,303","3,305","3,297","3,290","3,289","3,295","3,306","3,311","3,311"
"South Mississippi Correctional Institution","3,204","3,100","3,099","3,102","3,105","3,110","3,098","3,098","3,098","3,098"
"County Jails","1,450","1,441","1,441","1,458","1,461","1,459","1,461","1,458","1,458","1,458"
"COMMUNITY WORK CENTERS","1,848","1,657","1,657","1,662","1,657","1,650","1,648","1,620","1,617","1,616"
"Alcorn Satellite Facility","92","73","73","74","74","74","73","72","72","71"
"Bolivar Satellite Facility","102","89","89","91","91","91","92","91","91","91"
"Forrest Satellite Facility","96","80","80","81","81","81","81","80","80","80"
"George Satellite Facility","102","95","95","95","95","95","92","89","88","88"
"Harrison Satellite Facility","102","88","88","88","88","86","86","84","84","84"
"Jackson Satellite Facility","102","89","89","88","88","88","88","88","88","88"
"Jefferson Satellite Facility","102","95","95","95","94","94","94","93","93","93"
"Leflore Satellite Facility","102","89","89","89","88","87","84","85","85","85"
"Madison Satellite Facility","102","91","91","91","91","91","99","93","93","93"
"Noxubee Satellite Facility","92","83","83","86","85","85","85","83","83","83"
"Pike Satellite Facility","93","83","83","83","84","84","82","73","73","73"
"Quitman Satellite Facility","93","93","93","93","93","93","92","93","93","93"
"Rankin Satellite Facility","260","233","233","236","234","230","230","230","230","230"
"Simpson Satellite Facility","102","101","101","101","101","102","102","101","101","101"
"Washington Satellite Facility","102","88","88","88","88","87","86","87","86","86"
"Wilkinson Satellite Facility","102","93","93","91","91","91","91","90","90","90"
"Yazoo Satellite Facility","102","94","94","92","91","91","91","88","87","87"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,519","2,519","2,519","2,527","2,527","2,523","2,529","2,526","2,526"
"Bolivar County","294","234","234","234","232","232","234","234","234","234"
"Carroll County","280","221","222","221","223","224","224","224","224","224"
"George County","280","222","222","220","224","224","224","222","222","222"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","218","219","220","219","219"
"Jefferson County","280","222","222","223","225","224","222","223","223","223"
"Kemper County","355","284","283","284","284","284","282","286","285","285"
"Leake County","280","225","225","225","225","225","223","225","224","224"
"Marion County","280","222","222","221","223","224","223","224","224","224"
"Stone County","280","222","222","224","224","224","224","224","224","224"
"Winston County","280","224","224","224","224","224","224","223","223","223"
"PRIVATE PRISONS","5,972","5,193","5,190","5,199","5,206","5,220","5,231","5,234","5,230","5,229"
"Delta","972","903","903","903","901","901","901","901","901","901"
"East Mississippi","1,500","1,269","1,267","1,265","1,265","1,263","1,281","1,282","1,281","1,280"
"Marshall County","1,000","899","898","898","902","901","900","902","901","901"
"Walnut Grove","1,500","1,173","1,173","1,183","1,185","1,202","1,199","1,198","1,197","1,197"
"Wilkinson County","1,000","949","949","950","953","953","950","951","950","950"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","9","9"
"Greenwood","6","4","4","4","4","4","4","4","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","23","21","10","8","9","6","15","13","13"
"TOTALS","23,543","20,990","20,986","21,007","21,016","21,037","21,023","21,015","21,006","21,002"
