"Location","Capacity","21-Jan-02","22-Jan-02","23-Jan-02","24-Jan-02","25-Jan-02","26-Jan-02","27-Jan-02","28-Jan-02","29-Jan-02","30-Jan-02","31-Jan-02"
"MS STATE PENITENTIARY","5,551","5,318","5,306","5,304","5,317","5,317","5,313","5,312","5,323","5,299","5,283","5,288"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,911","2,920","2,911","2,904","2,867","2,868","2,867","2,859","2,865","2,881","2,886"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,071","2,048","2,068","2,070","2,048","2,048","2,048","2,040","2,033","2,034","2,031"
"COUNTY JAILS","2,137","1,560","1,543","1,521","1,542","1,558","1,556","1,556","1,582","1,614","1,619","1,621"
"COMMUNITY WORK CENTERS","1,328","1,288","1,291","1,281","1,275","1,225","1,225","1,222","1,267","1,273","1,273","1,271"
"Alcorn Satellite Facility","75","74","74","74","75","69","69","68","74","74","74","74"
"Bolivar Satellite Facility","75","72","72","71","70","70","70","70","74","74","74","74"
"Forrest Satellite Facility","75","75","75","75","75","74","74","73","74","75","75","75"
"George Satellite Facility","75","70","75","75","75","73","73","73","73","75","75","75"
"Harrison Satellite Facility","75","74","74","74","74","70","70","70","75","75","75","75"
"Jackson Satellite Facility","75","74","74","72","74","67","68","68","75","75","75","75"
"Jefferson Satellite Facility","75","70","70","69","69","64","64","64","68","73","73","73"
"Leflore Satellite Facility","75","74","74","70","70","73","73","73","73","73","72","72"
"Madison Satellite Facility","75","75","75","75","73","72","72","72","74","74","74","74"
"Noxubee Satellite Facility","75","75","75","75","74","71","71","71","73","71","70","70"
"Pike Satellite Facility","75","66","65","65","64","64","63","63","62","65","66","65"
"Quitman Satellite Facility","75","73","72","70","69","65","65","65","67","66","66","66"
"Rankin Satellite Facility","128","121","121","120","119","117","117","117","118","117","118","118"
"Simpson Satellite Facility","75","75","75","73","73","70","70","70","74","74","74","74"
"Washington Satellite Facility","75","74","75","74","74","65","65","65","71","70","70","70"
"Wilikinson Satellite Facility","75","71","70","74","73","71","71","71","70","70","70","70"
"Yazoo Satellite Facility","75","75","75","75","74","70","70","69","72","72","72","71"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,965","1,982","1,980","1,975","1,973","1,972","1,972","1,960","1,958","1,955","1,954"
"Bolivar County","250","0","0","0","0","0","0","0","0","0","0","0"
"Carroll County","250","212","216","216","216","216","216","216","216","216","217","217"
"Holmes County","250","214","215","214","213","213","213","213","212","212","212","211"
"Issaquena County","250","213","215","215","214","213","213","213","212","212","210","208"
"Jefferson County","250","225","229","229","229","230","229","229","229","229","229","229"
"Kemper County","250","240","241","241","240","239","239","239","234","234","234","233"
"Leake County","250","214","217","216","216","216","216","216","215","214","214","218"
"Marion County","250","216","216","215","213","212","212","212","208","208","206","205"
"Stone County","250","215","216","218","218","219","219","219","219","218","218","218"
"Winston County","250","216","217","216","216","215","215","215","215","215","215","215"
"PRIVATE PRISONS","3,900","3,580","3,584","3,578","3,573","3,590","3,589","3,588","3,588","3,579","3,571","3,566"
"Delta","1,000","856","856","855","854","857","856","856","855","847","843","844"
"East MS","500","490","489","487","487","493","493","493","497","497","497","497"
"Marshall County","1,000","877","879","876","875","880","880","880","880","878","876","876"
"Walnut Grove","500","475","478","478","475","476","476","476","474","474","473","467"
"Wilkinson County","900","882","882","882","882","884","884","883","882","883","882","882"
"RESITITUTION CENTERS","24","17","17","17","17","16","16","16","17","17","17","17"
"Greenwood","6","5","5","5","5","4","4","4","5","5","5","5"
"Hinds","12","11","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,709","18,716","18,697","18,666","18,679","18,600","18,593","18,587","18,642","18,644","18,639","18,640"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","21-Jan-02","22-Jan-02","23-Jan-02","24-Jan-02","25-Jan-02","26-Jan-02","27-Jan-02","28-Jan-02","29-Jan-02","30-Jan-02","31-Jan-02"
