"Location","Capacity","10-Jun-08","11-Jun-08","12-Jun-08","13-Jun-08","14-Jun-08","15-Jun-08","16-Jun-08","17-Jun-08","18-Jun-08"
"Mississippi State Penitentiary","4,527","4,192","4,186","4,185","4,187","4,184","4,184","4,191","4,184","4,208"
"Central Mississippi Correctional Facility","3,665","3,732","3,732","3,724","3,738","3,737","3,735","3,745","3,728","3,735"
"South Mississippi Correctional Institution","3,204","3,125","3,125","3,127","3,120","3,117","3,116","3,116","3,141","3,141"
"County Jails","1,645","1,959","1,977","2,008","2,007","2,007","2,007","2,004","1,992","1,977"
"COMMUNITY WORK CENTERS","1,848","1,796","1,797","1,817","1,751","1,747","1,747","1,808","1,816","1,812"
"Alcorn Satellite Facility","92","92","91","91","88","88","88","91","92","92"
"Bolivar Satellite Facility","102","97","97","101","98","98","98","101","100","100"
"Forrest Satellite Facility","96","94","93","96","91","91","91","94","95","93"
"George Satellite Facility","102","98","102","102","100","101","101","102","102","101"
"Harrison Satellite Facility","102","99","98","98","98","98","98","102","102","102"
"Jackson Satellite Facility","102","98","98","102","97","97","97","99","99","102"
"Jefferson Satellite Facility","102","100","100","100","89","89","89","97","100","100"
"Leflore Satellite Facility","102","100","99","99","95","95","95","101","101","100"
"Madison Satellite Facility","102","102","98","102","100","100","100","98","102","100"
"Noxubee Satellite Facility","92","91","91","91","84","82","82","90","92","92"
"Pike Satellite Facility","93","91","92","91","88","88","88","92","90","89"
"Quitman Satellite Facility","93","93","92","92","83","82","82","89","90","90"
"Rankin Satellite Facility","260","249","250","250","245","245","245","250","250","250"
"Simpson Satellite Facility","102","98","102","101","100","100","100","101","102","101"
"Washington Satellite Facility","102","96","96","102","100","100","100","102","101","100"
"Wilkinson Satellite Facility","102","100","100","101","96","96","96","99","99","102"
"Yazoo Satellite Facility","102","98","98","98","99","97","97","100","99","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,082","3,083","3,084","3,084","3,083","3,082","3,084","3,089","3,087"
"Bolivar County","294","294","294","293","294","294","294","294","294","294"
"Carroll County","280","280","280","280","280","280","279","280","280","280"
"George County","280","280","280","280","280","280","280","280","280","280"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","273","272","272","273","273","272"
"Jefferson County","280","277","279","279","278","278","278","279","283","282"
"Kemper County","280","278","278","280","280","280","280","280","280","280"
"Leake County","280","280","280","280","280","280","280","280","279","280"
"Marion County","280","279","278","278","280","280","280","280","280","279"
"Stone County","280","280","280","280","280","280","280","279","280","280"
"Winston County","280","280","280","280","279","279","279","279","280","280"
"PRIVATE PRISONS","4,972","4,808","4,809","4,810","4,807","4,807","4,805","4,805","4,808","4,811"
"Delta","972","971","970","970","971","971","971","970","969","968"
"East Mississippi","1,000","897","898","897","897","897","896","896","896","897"
"Marshall County","1,000","999","1,000","1,000","1,000","1,000","999","999","1,000","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","952","950","954","951","951","951","953","956","959"
"Wilkinson County","1,000","989","991","989","988","988","988","987","987","987"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","11","11"
"Greenwood","6","5","5","5","5","5","5","4","4","4"
"Hinds","6","4","4","4","4","4","4","5","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","7","5","6","76","77","78","9","11","12"
"TOTALS","22,971","22,719","22,732","22,779","22,788","22,777","22,772","22,780","22,786","22,800"
"","","10-Jun-08","11-Jun-08","12-Jun-08","13-Jun-08","14-Jun-08","15-Jun-08","16-Jun-08","17-Jun-08","18-Jun-08"
