"Location","Capacity","1-Nov-09","2-Nov-09","3-Nov-09","4-Nov-09","5-Nov-09","6-Nov-09","7-Nov-09","8-Nov-09","9-Nov-09"
"Mississippi State Penitentiary","4,435","3,931","3,940","3,936","3,940","3,934","3,924","3,920","3,918","3,928"
"Central Mississippi Correctional Facility","3,665","3,169","3,145","3,167","3,128","3,151","3,156","3,158","3,158","3,190"
"South Mississippi Correctional Institution","3,204","2,714","2,727","2,720","2,711","2,717","2,732","2,731","2,731","2,733"
"County Jails","1,498","1,502","1,507","1,487","1,470","1,469","1,487","1,487","1,487","1,477"
"COMMUNITY WORK CENTERS","1,848","1,594","1,651","1,671","1,673","1,683","1,693","1,694","1,693","1,700"
"Alcorn Satellite Facility","92","78","71","76","76","76","73","73","73","80"
"Bolivar Satellite Facility","102","69","84","84","84","84","83","83","83","83"
"Forrest Satellite Facility","96","79","80","84","87","88","92","92","92","92"
"George Satellite Facility","102","96","98","100","100","100","98","98","98","97"
"Harrison Satellite Facility","102","85","86","86","90","96","95","95","95","93"
"Jackson Satellite Facility","102","86","87","92","92","98","96","97","97","98"
"Jefferson Satellite Facility","102","97","100","100","100","101","100","100","100","101"
"Leflore Satellite Facility","102","66","73","74","74","74","81","81","80","80"
"Madison Satellite Facility","102","99","102","101","100","98","100","100","100","96"
"Noxubee Satellite Facility","92","89","90","90","91","91","89","89","89","90"
"Pike Satellite Facility","93","70","71","71","70","71","69","69","69","69"
"Quitman Satellite Facility","93","75","79","83","83","82","84","84","84","84"
"Rankin Satellite Facility","260","245","252","252","252","251","248","248","248","248"
"Simpson Satellite Facility","102","99","102","102","101","100","101","101","101","102"
"Washington Satellite Facility","102","68","76","76","75","75","82","82","82","83"
"Wilkinson Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Yazoo Satellite Facility","102","91","98","98","96","96","100","100","100","102"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,998","2,998","2,999","3,002","2,998","2,992","2,989","2,988","2,982"
"Bolivar County","294","280","279","279","280","280","279","279","279","278"
"Carroll County","280","263","266","266","266","266","266","266","266","266"
"George County","280","264","263","264","264","264","264","264","264","263"
"Holmes County","280","265","266","265","264","264","262","262","262","262"
"Issaquena County","274","259","259","258","259","258","258","257","257","257"
"Jefferson County","280","266","266","266","265","265","264","264","264","264"
"Kemper County","355","341","340","340","342","342","341","341","340","340"
"Leake County","280","265","265","266","267","266","266","266","266","266"
"Marion County","280","266","265","265","265","265","265","265","265","265"
"Stone County","280","263","264","265","265","265","264","263","263","260"
"Winston County","280","266","265","265","265","263","263","262","262","261"
"PRIVATE PRISONS","5,972","5,524","5,497","5,491","5,542","5,523","5,505","5,501","5,500","5,485"
"Delta","972","953","952","952","954","951","949","949","949","947"
"East Mississippi","1,500","1,358","1,358","1,358","1,360","1,358","1,356","1,356","1,356","1,354"
"Marshall County","1,000","983","983","983","0","982","981","980","979","969"
"Walnut Grove","1,500","1,258","1,229","1,224","1,274","1,267","1,256","1,255","1,255","1,255"
"Wilkinson County","1,000","972","975","974","971","965","963","961","961","960"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","9","9"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","47","8","7","9","10","28","25","25","7"
"TOTALS","23,807","21,493","21,487","21,492","21,489","21,499","21,531","21,519","21,514","21,516"
"","","1-Nov-09","2-Nov-09","3-Nov-09","4-Nov-09","5-Nov-09","6-Nov-09","7-Nov-09","8-Nov-09","9-Nov-09"
