"Location","Capacity","17-Dec-16","18-Dec-16","19-Dec-16","20-Dec-16","21-Dec-16","22-Dec-16","23-Dec-16"
"Mississippi State Penitentiary","3590","3,343","3,342","3,327","3,332","3,347","3,349","3,349"
"Central Mississippi Correctional Facility","3,858","3,325","3,324","3,375","3,398","3,376","3,394","3,393"
"Youthful Offender Unit","58","30","30","30","30","30","29","29"
"CMCF TVC","","5","4","4","4","5","5","5"
"South Mississippi Correctional Institution","3,082","3,063","3,062","3,059","3,056","3,060","3,060","3,061"
"County Jails","1,781","1,275","1,275","1,257","1,233","1,204","1,209","1,209"
"COMMUNITY WORK CENTERS","1,348","954","951","950","948","959","957","962"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","64","64","64","63","59","59","59"
"George Satellite Facility","102","77","77","76","77","80","80","80"
"Harrison Satellite Facility","102","60","60","63","63","63","62","63"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0"
"Leflore TVC","82","63","61","61","61","60","57","59"
"Leflore TVC Support","20","9","9","9","9","8","8","8"
"Madison Satellite Facility","102","73","73","72","72","76","76","76"
"Noxubee Satellite Facility","92","79","79","79","79","83","83","83"
"Pike Satellite Facility","93","76","75","74","74","74","74","74"
"Quitman Satellite Facility","93","47","47","47","45","52","54","54"
"Rankin Satellite Facility","182","157","157","157","162","162","163","163"
"Rankin RID","28","2","2","2","4","4","4","4"
"Flowood TVC","50","26","26","25","23","23","23","23"
"Simpson TVC","82","68","68","68","64","61","62","64"
"Simpson TVC Support","20","13","13","13","13","13","12","12"
"Washington Satellite Facility","102","76","76","76","77","77","77","77"
"Wilkinson Satellite Facility","102","64","64","64","62","64","63","63"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,936","3,934","3,927","3,924","3,921","3,916","3,916"
"Alcorn County","300","240","240","240","240","241","241","241"
"Bolivar County","369","292","292","294","293","293","292","292"
"Carroll County","280","240","240","240","239","237","237","237"
"Chickasaw County","310","267","267","267","267","266","266","266"
"George County","280","259","259","254","255","252","250","250"
"Holmes County","280","222","222","221","220","224","224","224"
"Issaquena County","274","271","272","273","274","274","273","273"
"Jefferson County","280","278","278","277","279","280","279","279"
"Kemper County","355","352","351","350","349","350","350","350"
"Leake County","280","200","200","199","200","200","200","200"
"Marion County","280","272","272","272","272","271","271","271"
"Stone County","326","318","316","316","317","316","316","316"
"Washington County","300","227","227","227","224","223","223","223"
"Winston County","280","241","241","241","240","240","240","240"
"Yazoo County","300","257","257","256","255","254","254","254"
"PRIVATE PRISONS","5,972","3,072","3,071","3,066","3,073","3,074","3,075","3,075"
"Delta","972","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,180","1,180","1,177","1,176","1,182","1,184","1,184"
"Marshall County","1,000","999","999","999","998","995","994","994"
"Walnut Grove","1,500","0","0","0","0","0","0","0"
"Wilkinson County","1,000","893","892","890","899","897","897","897"
"RESTITUTION CENTERS","16","13","13","13","11","11","11","11"
"Greenwood","6","5","5","5","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","1","1","1","1"
"TOTALS","24,199","19,016","19,006","19,008","19,009","18,987","19,005","19,010"
"","","17-Dec-16","18-Dec-16","19-Dec-16","20-Dec-16","21-Dec-16","22-Dec-16","23-Dec-16"
