"Location","Capacity","19-Feb-12","20-Feb-12","21-Feb-12","22-Feb-12","23-Feb-12","24-Feb-12","25-Feb-12","26-Feb-12","27-Feb-12"
"Mississippi State Penitentiary","4,648","3,228","3,228","3,228","3,235","3,251","3,245","3,244","3,241","3,238"
"Central Mississippi Correctional Facility","3,665","3,077","3,072","3,084","3,079","3,054","3,060","3,058","3,055","3,078"
"South Mississippi Correctional Institution","3,282","3,153","3,153","3,151","3,161","3,172","3,156","3,152","3,152","3,157"
"County Jails","1,668","2,171","2,176","2,166","2,196","2,178","2,205","2,205","2,205","2,219"
"COMMUNITY WORK CENTERS","1,848","1,373","1,398","1,389","1,386","1,385","1,371","1,365","1,365","1,404"
"Alcorn Satellite Facility","92","92","92","92","91","91","88","88","88","91"
"Bolivar Satellite Facility","102","70","71","70","70","70","69","68","68","68"
"Forrest Satellite Facility","96","72","74","74","73","73","70","70","70","71"
"George Satellite Facility","102","81","83","79","79","79","81","81","81","82"
"Harrison Satellite Facility","102","80","81","81","81","81","82","81","82","80"
"Jackson Satellite Facility","102","82","84","83","81","81","81","81","81","84"
"Jefferson Satellite Facility","102","63","63","62","61","61","58","58","58","57"
"Leflore Satellite Facility","102","77","78","76","76","76","72","72","72","75"
"Madison Satellite Facility","102","91","91","90","89","88","87","87","87","87"
"Noxubee Satellite Facility","92","76","79","78","78","78","73","73","73","78"
"Pike Satellite Facility","93","46","46","47","49","52","60","60","60","74"
"Quitman Satellite Facility","93","70","70","70","70","70","75","75","75","75"
"Rankin Satellite Facility","260","176","182","183","185","185","181","180","179","185"
"Simpson Satellite Facility","102","81","83","82","82","80","75","74","74","76"
"Washington Satellite Facility","102","72","73","72","72","72","75","75","75","76"
"Wilkinson Satellite Facility","102","65","67","67","66","66","63","63","63","66"
"Yazoo Satellite Facility","102","79","81","83","83","82","81","79","79","79"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,273","4,270","4,264","4,265","4,270","4,277","4,270","4,268","4,261"
"Alcorn County","300","298","298","298","298","301","301","299","298","297"
"Bolivar County","294","294","294","295","295","294","294","294","294","295"
"Carroll County","280","280","280","279","278","280","280","280","280","280"
"Chickasaw County","300","300","298","297","297","300","300","299","299","298"
"George County","280","277","277","278","278","277","280","278","278","278"
"Holmes County","280","280","280","279","279","277","279","279","279","279"
"Issaquena County","274","273","273","272","274","274","274","273","273","274"
"Jefferson County","280","280","280","279","280","279","279","278","278","277"
"Kemper County","355","340","340","339","336","337","339","339","339","338"
"Leake County","280","280","280","279","279","280","280","280","280","280"
"Marion County","280","280","279","280","279","280","280","280","280","279"
"Stone County","280","280","280","279","279","279","277","277","277","280"
"Washington County","300","236","236","235","234","234","235","235","234","227"
"Winston County","280","277","277","278","280","279","279","279","279","279"
"Yazoo County","300","298","298","297","299","299","300","300","300","300"
"PRIVATE PRISONS","5,972","4,167","4,162","4,166","4,168","4,176","4,181","4,180","4,174","4,172"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,323","1,322","1,317","1,318","1,324","1,324","1,324","1,320","1,319"
"Marshall County","1,000","999","996","995","995","999","999","999","998","1,000"
"Walnut Grove","1,500","959","958","968","969","967","972","972","971","969"
"Wilkinson County","1,000","886","886","886","886","886","886","885","885","884"
"RESTITUTION CENTERS","16","11","11","11","11","12","12","12","12","12"
"Greenwood","6","5","5","5","5","6","6","6","6","6"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","32","6","6","5","8","46","48","49","13"
"TOTALS","25,468","21,485","21,476","21,465","21,506","21,506","21,553","21,534","21,521","21,554"
"","","19-Feb-12","20-Feb-12","21-Feb-12","22-Feb-12","23-Feb-12","24-Feb-12","25-Feb-12","26-Feb-12","27-Feb-12"
