"Location","Capacity","22-Feb-17","23-Feb-17","24-Feb-17","25-Feb-17","26-Feb-17","27-Feb-17","28-Feb-17 Avg Population",""
"Mississippi State Penitentiary","3590","3349","3341","3350","3,349","3,349","3,356","3,354","3367"
"Central Mississippi Correctional Facility","3,882","3,395","3,417","3,404","3,402","3,403","3,441","3,451","3416"
"Youthful Offender Unit","58","26","27","27","27","27","27","27","27"
"CMCF TVC","","14","14","28","28","28","28","23","12"
"South Mississippi Correctional Institution","3,082","3,070","3,070","3,071","3,071","3,071","3,068","3,068","3066"
"County Jails","1,781","1,428","1,418","1,399","1,399","1,399","1,380","1,370","1378"
"COMMUNITY WORK CENTERS","1,348","965","963","963","962","960","975","970","969"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","59","58","56","56","56","58","57","61"
"George Satellite Facility","102","66","66","63","63","63","66","66","68"
"Harrison Satellite Facility","102","66","66","64","64","64","66","66","62"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","61","60","68","67","67","65","62","63"
"Leflore TVC Support","20","8","6","5","5","5","6","6","6"
"Madison Satellite Facility","102","74","74","72","72","72","73","73","76"
"Noxubee Satellite Facility","92","90","89","89","89","89","89","89","88"
"Pike Satellite Facility","93","81","83","82","82","82","83","83","82"
"Quitman Satellite Facility","93","67","67","66","66","66","64","64","66"
"Rankin Satellite Facility","182","164","164","160","160","160","162","162","163"
"Rankin RID","28","2","2","2","2","2","2","2","3"
"Flowood TVC","50","21","21","21","21","21","21","21","23"
"Simpson TVC","82","61","62","72","72","70","69","69","58"
"Simpson TVC Support","20","13","13","13","13","13","13","13","14"
"Washington Satellite Facility","102","70","70","67","67","67","71","71","70"
"Wilkinson Satellite Facility","102","62","62","63","63","63","67","66","64"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,762","3,771","3,793","3,792","3,792","3,794","3,805","3796"
"Alcorn County","300","239","239","239","239","239","238","235","241"
"Bolivar County","369","294","294","294","294","294","292","291","296"
"Carroll County","280","233","242","262","262","262","262","262","233"
"Chickasaw County","310","247","247","247","247","247","256","266","251"
"George County","280","222","222","223","222","222","221","220","224"
"Holmes County","280","226","226","226","226","226","226","225","226"
"Issaquena County","274","274","274","274","274","274","274","274","273"
"Jefferson County","280","277","278","278","278","278","278","278","278"
"Kemper County","355","349","348","349","349","349","349","351","348"
"Leake County","280","199","200","200","200","200","200","199","202"
"Marion County","280","239","239","239","239","239","239","239","244"
"Stone County","326","299","297","296","296","296","296","295","300"
"Washington County","300","207","206","204","204","204","203","202","213"
"Winston County","280","221","223","223","223","223","221","227","223"
"Yazoo County","300","236","236","239","239","239","239","241","242"
"PRIVATE PRISONS","5,972","3,067","3,051","3,055","3,053","3,051","3,047","3,024","3060"
"Delta","972","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,175","1,175","1,176","1,175","1,174","1,172","1,155","1173"
"Marshall County","1,000","997","996","1,000","1,000","999","998","995","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","895","880","879","878","878","877","874","889"
"RESTITUTION CENTERS","16","12","14","13","13","13","14","14","13"
"Greenwood","6","4","4","3","3","3","4","4","4"
"Hinds","6","4","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","3"
"TOTALS","24,223","19,088","19,086","19,103","19,096","19,093","19,130","19,106","19103"
