"Location","Capacity","27-Jan-05","28-Jan-05","29-Jan-05","30-Jan-05","31-Jan-05"
"Mississippi State Penitentiary","4,760","4,541","4,535","4,529","4,528","4,516"
"Central Mississippi Correctional Facility","3,233","3,038","3,055","3,053","3,053","3,075"
"South Mississippi Correctional Institution","2,214","2,134","2,119","2,118","2,118","2,109"
"County Jails","2,295","1,837","1,838","1,838","1,838","1,827"
"COMMUNITY WORK CENTERS","1,816","1,711","1,630","1,627","1,624","1,709"
"Alcorn Satellite Facility","92","90","89","89","89","90"
"Bolivar Satellite Facility","102","101","99","99","99","102"
"Forrest Satellite Facility","96","93","91","90","91","95"
"George Satellite Facility","102","100","101","101","100","101"
"Harrison Satellite Facility","102","99","95","95","95","101"
"Jackson Satellite Facility","102","101","92","92","92","100"
"Jefferson Satellite Facility","102","100","98","98","98","100"
"Leflore Satellite Facility","102","101","90","90","90","99"
"Madison Satellite Facility","102","102","95","95","95","101"
"Noxubee Satellite Facility","92","90","88","88","87","90"
"Pike Satellite Facility","93","68","63","62","62","65"
"Quitman Satellite Facility","93","72","63","62","61","71"
"Rankin Satellite Facility","228","196","193","193","193","195"
"Simpson Satellite Facility","102","99","92","92","92","98"
"Washington Satellite Facility","102","102","93","93","93","102"
"Wilkinson Satellite Facility","102","97","97","97","96","99"
"Yazoo Satellite Facility","102","100","91","91","91","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,743","2,737","2,736","2,734","2,738"
"Bolivar County","250","249","246","246","246","244"
"Carroll County","250","250","250","250","250","250"
"George County","250","250","250","249","249","248"
"Holmes County","250","249","248","248","248","249"
"Issaquena County","250","248","249","249","249","249"
"Jefferson County","250","247","247","247","246","250"
"Kemper County","250","250","250","250","249","250"
"Leake County","250","250","249","249","249","250"
"Marion County","250","250","249","249","249","249"
"Stone County","250","250","249","249","249","250"
"Winston County","250","250","250","250","250","249"
"PRIVATE PRISONS","5,088","4,761","4,753","4,752","4,750","4,736"
"Delta","960","954","952","952","951","947"
"East Mississippi","1,000","872","870","869","869","867"
"Marshall County","1,000","994","993","993","993","993"
"Tallahatchie County","128","128","128","128","128","127"
"Walnut Grove","1,000","823","822","822","822","819"
"Wilkinson County","1,000","990","988","988","987","983"
"RESITITUTION CENTERS","18","14","14","14","14","14"
"Greenwood","6","5","5","5","5","5"
"Hinds","6","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","6","76","0","77","6"
"TOTALS","22,180","20,790","20,762","20,672","20,741","20,735"
"","","27-Jan-05","28-Jan-05","29-Jan-05","30-Jan-05","31-Jan-05"
