"Location","Capacity","28-Apr-09","29-Apr-09","30-Apr-09","","Avg Population"
"Mississippi State Penitentiary","4,627","4,108","4,106","4,097","","4,115"
"Central Mississippi Correctional Facility","3,665","3,445","3,425","3,431","","3,495"
"South Mississippi Correctional Institution","3,204","3,103","3,102","3,098","","3,101"
"County Jails","1,767","1,767","1,772","1,772","","1,709"
"COMMUNITY WORK CENTERS","1,848","1,625","1,655","1,669","","1,672"
"Alcorn Satellite Facility","92","82","83","83","","84"
"Bolivar Satellite Facility","102","95","94","94","","94"
"Forrest Satellite Facility","96","78","82","81","","80"
"George Satellite Facility","102","87","89","89","","90"
"Harrison Satellite Facility","102","89","89","88","","91"
"Jackson Satellite Facility","102","87","87","88","","94"
"Jefferson Satellite Facility","102","94","94","90","","93"
"Leflore Satellite Facility","102","83","86","86","","88"
"Madison Satellite Facility","102","95","95","102","","98"
"Noxubee Satellite Facility","92","77","77","83","","80"
"Pike Satellite Facility","93","69","80","79","","76"
"Quitman Satellite Facility","93","69","81","81","","74"
"Rankin Satellite Facility","260","251","251","253","","252"
"Simpson Satellite Facility","102","95","94","99","","96"
"Washington Satellite Facility","102","95","95","95","","98"
"Wilkinson Satellite Facility","102","84","82","81","","88"
"Yazoo Satellite Facility","102","95","96","97","","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,923","2,928","2,931","","2,928"
"Bolivar County","294","278","280","279","","279"
"Carroll County","280","265","266","266","","265"
"George County","280","266","266","266","","265"
"Holmes County","280","266","266","266","","266"
"Issaquena County","274","259","259","258","","260"
"Jefferson County","280","265","265","266","","265"
"Kemper County","280","266","266","266","","266"
"Leake County","280","265","265","266","","265"
"Marion County","280","265","266","266","","265"
"Stone County","280","264","264","266","","265"
"Winston County","280","264","265","266","","265"
"PRIVATE PRISONS","5,972","5,481","5,486","5,487","","5,483"
"Delta","972","952","950","956","","954"
"East Mississippi","1,500","1,358","1,362","1,360","","1,361"
"Marshall County","1,000","983","982","983","","982"
"Walnut Grove","1,500","1,218","1,219","1,213","","1,211"
"Wilkinson County","1,000","970","973","975","","975"
"RESTITUTION CENTERS","16","11","11","12","","12"
"Greenwood","6","5","5","5","","6"
"Hinds","6","4","4","5","","4"
"Pascagoula","4","2","2","2","","2"
"GOVERNOR'S MANSION","6","6","6","6","","6"
"E-CODE","0","10","10","7","","21"
"TOTALS","24,193","22,479","22,501","22,510","","22,541"
"","","28-Apr-09","29-Apr-09","30-Apr-09","",""
