"Location","Capacity","1-Apr-12","2-Apr-12","3-Apr-12","4-Apr-12","5-Apr-12","6-Apr-12","7-Apr-12","8-Apr-12","9-Apr-12"
"Mississippi State Penitentiary","4,648","3,255","3,294","3,299","3,296","3,282","3,277","3,275","3,274","3,277"
"Central Mississippi Correctional Facility","3,665","3,097","3,055","3,040","3,067","3,076","3,087","3,087","3,087","3,108"
"South Mississippi Correctional Institution","3,282","3,173","3,177","3,181","3,191","3,184","3,161","3,161","3,162","3,162"
"County Jails","1,753","2,234","2,251","2,236","2,190","2,196","2,204","2,204","2,204","2,188"
"COMMUNITY WORK CENTERS","1,848","1,491","1,491","1,497","1,501","1,515","1,506","1,502","1,503","1,507"
"Alcorn Satellite Facility","92","92","91","92","92","92","92","92","92","91"
"Bolivar Satellite Facility","102","66","69","67","71","73","70","70","70","72"
"Forrest Satellite Facility","96","79","80","83","84","84","83","83","83","84"
"George Satellite Facility","102","76","76","74","75","74","75","75","75","73"
"Harrison Satellite Facility","102","81","81","81","80","80","77","77","77","80"
"Jackson Satellite Facility","102","81","80","80","78","78","80","80","80","81"
"Jefferson Satellite Facility","102","79","78","78","77","77","76","76","76","76"
"Leflore Satellite Facility","102","75","76","75","75","84","84","84","84","82"
"Madison Satellite Facility","102","91","89","91","90","91","91","91","91","91"
"Noxubee Satellite Facility","92","78","78","79","79","79","75","75","75","76"
"Pike Satellite Facility","93","93","92","91","92","93","93","93","93","92"
"Quitman Satellite Facility","93","88","87","88","87","89","90","89","89","91"
"Rankin Satellite Facility","260","183","184","184","190","190","187","187","187","187"
"Simpson Satellite Facility","102","97","99","102","101","100","101","100","101","101"
"Washington Satellite Facility","102","80","80","80","80","81","81","80","80","80"
"Wilkinson Satellite Facility","102","65","64","64","63","63","67","67","67","66"
"Yazoo Satellite Facility","102","87","87","88","87","87","84","83","83","84"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,255","4,256","4,267","4,276","4,278","4,277","4,273","4,273","4,273"
"Alcorn County","300","295","295","297","297","299","297","297","297","297"
"Bolivar County","294","292","294","294","294","291","291","290","290","291"
"Carroll County","280","275","275","278","280","280","280","280","280","280"
"Chickasaw County","300","297","296","298","300","300","298","298","298","298"
"George County","280","279","279","279","280","279","280","280","280","279"
"Holmes County","280","280","279","279","279","280","280","279","279","279"
"Issaquena County","274","274","273","274","274","274","274","273","273","273"
"Jefferson County","280","278","278","278","280","280","280","280","280","280"
"Kemper County","355","339","339","339","339","339","339","339","339","339"
"Leake County","280","278","278","279","280","280","280","280","280","280"
"Marion County","280","278","279","280","280","280","280","280","280","280"
"Stone County","280","279","279","279","277","279","280","280","280","280"
"Washington County","300","234","234","234","238","238","238","238","238","238"
"Winston County","280","278","279","280","279","279","280","280","280","280"
"Yazoo County","300","299","299","299","299","300","300","299","299","299"
"PRIVATE PRISONS","5,972","4,165","4,181","4,206","4,208","4,189","4,183","4,184","4,183","4,183"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,319","1,320","1,361","1,363","1,362","1,358","1,358","1,357","1,357"
"Marshall County","1,000","996","996","979","979","974","979","980","980","980"
"Walnut Grove","1,500","966","981","979","979","964","958","958","958","958"
"Wilkinson County","1,000","884","884","887","887","889","888","888","888","888"
"RESTITUTION CENTERS","16","9","10","10","9","9","11","10","9","9"
"Greenwood","6","4","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","4","4","4","4"
"Pascagoula","4","3","3","3","2","2","2","1","0","0"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","24","6","9","9","9","29","30","29","7"
"TOTALS","25,553","21,703","21,721","21,745","21,747","21,738","21,735","21,726","21,724","21,714"
"","","1-Apr-12","2-Apr-12","3-Apr-12","4-Apr-12","5-Apr-12","6-Apr-12","7-Apr-12","8-Apr-12","9-Apr-12"
