"Location","Capacity","19-Jun-06","20-Jun-06","21-Jun-06","22-Jun-06","23-Jun-06","24-Jun-06","25-Jun-06","26-Jun-06","27-Jun-06"
"Mississippi State Penitentiary","4,529","4,437","4,429","4,457","4,439","4,436","4,431","4,430","4,401","4,409"
"Central Mississippi Correctional Facility","3,293","3,300","3,287","3,301","3,315","3,253","3,248","3,247","3,281","3,285"
"South Mississippi Correctional Institution","2,066","2,009","2,030","2,026","2,020","2,034","2,030","2,030","2,024","2,021"
"County Jails","1,953","1,658","1,642","1,640","1,651","1,662","1,662","1,662","1,663","1,671"
"COMMUNITY WORK CENTERS","1,816","1,771","1,763","1,778","1,786","1,710","1,707","1,706","1,777","1,774"
"Alcorn Satellite Facility","92","91","92","92","92","87","87","87","92","92"
"Bolivar Satellite Facility","102","101","101","102","102","97","97","97","102","102"
"Forrest Satellite Facility","96","94","96","96","96","95","94","94","96","96"
"George Satellite Facility","102","100","101","101","101","98","98","97","98","96"
"Harrison Satellite Facility","102","101","101","101","101","94","94","94","101","100"
"Jackson Satellite Facility","102","100","100","99","101","95","95","95","101","101"
"Jefferson Satellite Facility","102","101","101","101","101","97","97","97","99","98"
"Leflore Satellite Facility","102","101","101","101","102","99","99","99","102","101"
"Madison Satellite Facility","102","100","97","102","102","101","101","101","102","102"
"Noxubee Satellite Facility","92","91","88","88","92","89","89","89","92","92"
"Pike Satellite Facility","93","83","82","83","82","74","74","74","79","81"
"Quitman Satellite Facility","93","89","89","88","89","82","82","82","89","89"
"Rankin Satellite Facility","228","219","219","219","219","213","212","212","224","224"
"Simpson Satellite Facility","102","96","95","101","101","100","100","100","101","101"
"Washington Satellite Facility","102","101","100","100","102","93","93","93","99","99"
"Wilkinson Satellite Facility","102","102","102","102","101","98","98","98","100","100"
"Yazoo Satellite Facility","102","101","98","102","102","98","97","97","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,057","3,052","3,055","3,054","3,050","3,048","3,047","3,043","3,052"
"Bolivar County","294","294","291","294","294","293","293","293","292","294"
"Carroll County","280","281","280","280","281","280","279","279","279","279"
"George County","280","280","280","280","280","278","278","278","278","280"
"Holmes County","280","280","280","280","280","280","280","279","279","280"
"Issaquena County","274","274","273","273","274","274","274","274","274","274"
"Jefferson County","250","249","250","252","250","250","250","250","249","248"
"Kemper County","280","279","277","278","278","278","278","278","278","280"
"Leake County","280","280","280","280","280","281","280","280","279","279"
"Marion County","280","279","280","280","280","279","279","279","278","280"
"Stone County","280","280","280","279","278","278","278","278","278","279"
"Winston County","280","281","281","279","279","279","279","279","279","279"
"PRIVATE PRISONS","5,100","4,848","4,854","4,851","4,864","4,889","4,888","4,887","4,889","4,883"
"Delta","972","970","970","970","971","969","969","969","971","970"
"East Mississippi","1,000","865","864","864","875","875","875","875","874","873"
"Marshall County","1,000","995","995","994","993","994","994","994","995","995"
"Tallahatchie County","128","127","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","944","949","950","949","948","947","946","948","950"
"Wilkinson County","1,000","947","948","945","948","975","975","975","973","967"
"RESTITUTION CENTERS","16","11","11","11","10","11","11","11","11","11"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","5","5","5","5","5"
"Pascagoula","4","4","4","4","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","9","8","8","8","73","74","72","9","9"
"TOTALS","21,837","21,105","21,081","21,132","21,152","21,123","21,104","21,097","21,103","21,120"
"","","19-Jun-06","20-Jun-06","21-Jun-06","22-Jun-06","23-Jun-06","24-Jun-06","25-Jun-06","26-Jun-06","27-Jun-06"
