"Location","Capacity","28-Feb-06"
"Mississippi State Penitentiary","4,529","4,337"
"Central Mississippi Correctional Facility","3,233","3,156"
"South Mississippi Correctional Institution","2,306","2,043"
"County Jails","2,177","1,747"
"COMMUNITY WORK CENTERS","1,816","1,690"
"Alcorn Satellite Facility","92","89"
"Bolivar Satellite Facility","102","100"
"Forrest Satellite Facility","96","93"
"George Satellite Facility","102","94"
"Harrison Satellite Facility","102","99"
"Jackson Satellite Facility","102","95"
"Jefferson Satellite Facility","102","91"
"Leflore Satellite Facility","102","95"
"Madison Satellite Facility","102","92"
"Noxubee Satellite Facility","92","86"
"Pike Satellite Facility","93","82"
"Quitman Satellite Facility","93","82"
"Rankin Satellite Facility","228","224"
"Simpson Satellite Facility","102","86"
"Washington Satellite Facility","102","98"
"Wilkinson Satellite Facility","102","86"
"Yazoo Satellite Facility","102","98"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,049"
"Bolivar County","294","292"
"Carroll County","280","279"
"George County","280","278"
"Holmes County","280","280"
"Issaquena County","274","274"
"Jefferson County","250","249"
"Kemper County","280","280"
"Leake County","280","280"
"Marion County","280","278"
"Stone County","280","280"
"Winston County","280","279"
"PRIVATE PRISONS","5,100","4,772"
"Delta","972","972"
"East Mississippi","1,000","854"
"Marshall County","1,000","992"
"Tallahatchie County","128","128"
"Walnut Grove","1,000","916"
"Wilkinson County","1,000","910"
"RESTITUTION CENTERS","16","12"
"Greenwood","6","3"
"Hinds","6","5"
"Pascagoula","4","4"
"GOVERNOR'S MANSION","6","6"
"E-CODE","","3"
"TOTALS","22,241","20,815"
