"","","","","","","","","","",""
"Location","Capacity","1-Nov-13","2-Nov-13","3-Nov-13","4-Nov-13","5-Nov-13","6-Nov-13","7-Nov-13","8-Nov-13","9-Nov-13"
"Mississippi State Penitentiary","4,648","3,374","3,374","3,373","3,372","3,387","3,379","3,378","3,374","3,369"
"Central Mississippi Correctional Facility","3,557","3,299","3,296","3,296","3,305","3,260","3,294","3,290","3,300","3,297"
"Youthful Offender Unit","42","38","38","38","37","37","36","37","37","37"
"South Mississippi Correctional Institution 3,282","","3,198","3,196","3,199","3,204","3,203","3,206","3,206","3,193","3,194"
"County Jails","1,905","2,202","2,202","2,202","2,198","2,163","2,141","2,122","2,128","2,128"
"COMMUNITY WORK CENTERS","1,848","1,364","1,360","1,356","1,370","1,355","1,367","1,387","1,376","1,375"
"Alcorn Satellite Facility","92","89","89","89","90","86","90","91","90","90"
"Bolivar Satellite Facility","102","66","66","66","66","66","66","68","67","67"
"Forrest Satellite Facility","96","69","69","69","70","69","69","72","72","72"
"George Satellite Facility","102","66","65","65","65","63","63","62","62","62"
"Harrison Satellite Facility","102","78","78","75","79","78","78","78","77","77"
"Jackson Satellite Facility","102","64","64","64","65","65","65","65","73","73"
"Jefferson Satellite Facility","102","64","64","64","62","57","62","62","60","60"
"Leflore Satellite Facility","102","70","69","69","70","69","68","67","67","67"
"Madison Satellite Facility","102","72","72","72","72","78","78","78","77","77"
"Noxubee Satellite Facility","92","74","73","73","73","69","64","70","68","68"
"Pike Satellite Facility","93","91","91","91","91","91","91","93","93","93"
"Quitman Satellite Facility","93","75","75","75","75","78","84","87","89","89"
"Rankin Satellite Facility","260","219","219","219","223","218","221","226","222","222"
"Simpson Satellite Facility","102","92","92","91","91","97","94","90","86","85"
"Washington Satellite Facility","102","70","70","70","71","70","70","72","71","71"
"Wilkinson Satellite Facility","102","47","47","47","47","47","46","48","48","48"
"Yazoo Satellite Facility","102","58","57","57","60","54","58","58","54","54"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,422","4,420","4,417","4,412","4,420","4,422","4,425","4,422","4,420"
"Alcorn County","300","300","300","300","300","299","299","299","299","299"
"Bolivar County","369","369","368","368","369","368","367","368","368","368"
"Carroll County","280","276","276","276","276","278","277","278","280","280"
"Chickasaw County","300","300","300","300","300","300","300","300","300","300"
"George County","280","279","278","278","277","279","278","280","280","280"
"Holmes County","280","279","279","279","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","274","273","274","275","274","274"
"Jefferson County","280","280","280","280","278","278","280","280","279","278"
"Kemper County","355","354","354","354","353","354","355","355","355","355"
"Leake County","280","280","280","279","278","279","281","278","278","278"
"Marion County","280","280","280","280","280","280","280","280","280","279"
"Stone County","280","279","279","278","278","280","280","280","280","280"
"Washington County","300","295","295","294","292","291","291","292","290","290"
"Winston County","280","279","279","279","278","280","280","280","280","280"
"Yazoo County","300","298","298","298","299","301","300","300","299","299"
"PRIVATE PRISONS","5,972","4,412","4,411","4,410","4,411","4,413","4,412","4,414","4,417","4,411"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,201","1,201","1,202","1,200","1,199","1,199","1,201","1,200","1,198"
"Marshall County","1,000","998","998","998","998","997","997","997","1,000","999"
"Walnut Grove","1,500","1,315","1,315","1,314","1,313","1,318","1,317","1,317","1,319","1,317"
"Wilkinson County","1,000","898","897","896","900","899","899","899","898","897"
"RESTITUTION CENTERS","16","9","9","9","10","11","10","10","10","10"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","4","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","2","2","2","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,714","22,318","22,306","22,300","22,319","22,249","22,267","22,269","22,257","22,241"
"","","1-Nov-13","2-Nov-13","3-Nov-13","4-Nov-13","5-Nov-13","6-Nov-13","7-Nov-13","8-Nov-13","9-Nov-13"
