"Location","Capacity","25-Feb-05","26-Feb-05","27-Feb-05","28-Feb-05"
"Mississippi State Penitentiary","4,744","4,442","4,441","4,438","4,430"
"Central Mississippi Correctional Facility","3,233","3,144","3,142","3,139","3,120"
"South Mississippi Correctional Institution","2,214","2,123","2,122","2,121","2,118"
"County Jails","2,327","1,769","1,769","1,769","1,786"
"COMMUNITY WORK CENTERS","1,816","1,643","1,642","1,640","1,710"
"Alcorn Satellite Facility","92","88","88","88","90"
"Bolivar Satellite Facility","102","97","97","97","102"
"Forrest Satellite Facility","96","86","86","86","92"
"George Satellite Facility","102","95","95","95","99"
"Harrison Satellite Facility","102","96","95","95","102"
"Jackson Satellite Facility","102","92","92","91","94"
"Jefferson Satellite Facility","102","99","98","99","102"
"Leflore Satellite Facility","102","95","95","95","102"
"Madison Satellite Facility","102","99","99","99","101"
"Noxubee Satellite Facility","92","89","89","89","92"
"Pike Satellite Facility","93","59","59","59","61"
"Quitman Satellite Facility","93","73","73","73","75"
"Rankin Satellite Facility","228","187","187","187","197"
"Simpson Satellite Facility","102","98","98","97","99"
"Washington Satellite Facility","102","98","98","98","101"
"Wilkinson Satellite Facility","102","97","97","96","100"
"Yazoo Satellite Facility","102","95","96","96","101"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,731","2,728","2,728","2,741"
"Bolivar County","250","248","248","248","250"
"Carroll County","250","250","250","250","250"
"George County","250","248","246","246","248"
"Holmes County","250","247","247","247","247"
"Issaquena County","250","246","245","245","248"
"Jefferson County","250","250","250","250","250"
"Kemper County","250","246","246","246","249"
"Leake County","250","249","249","249","250"
"Marion County","250","249","249","249","249"
"Stone County","250","250","250","250","250"
"Winston County","250","248","248","248","250"
"PRIVATE PRISONS","5,088","4,793","4,792","4,787","4,780"
"Delta","960","961","961","961","960"
"East Mississippi","1,000","874","874","873","871"
"Marshall County","1,000","993","992","989","989"
"Tallahatchie County","128","127","127","127","127"
"Walnut Grove","1,000","847","847","846","843"
"Wilkinson County","1,000","991","991","991","990"
"RESITITUTION CENTERS","18","13","13","13","13"
"Greenwood","6","5","5","5","5"
"Hinds","6","5","5","5","5"
"Pascagoula","6","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","51","51","50","5"
"TOTALS","22,196","20,714","20,705","20,690","20,708"
