"Location","Capacity","1-Sep-08","2-Sep-08","3-Sep-08","4-Sep-08","5-Sep-08","6-Sep-08","7-Sep-08","8-Sep-08","9-Sep-08"
"Mississippi State Penitentiary","4,527","4,188","4,184","4,180","4,194","4,189","4,188","4,185","4,192","4,190"
"Central Mississippi Correctional Facility","3,665","3,641","3,649","3,623","3,587","3,602","3,602","3,604","3,591","3,584"
"South Mississippi Correctional Institution","3,204","3,117","3,109","3,121","3,120","3,110","3,108","3,109","3,104","3,082"
"County Jails","1,690","2,097","2,114","2,165","2,176","2,206","2,206","2,206","2,209","2,219"
"COMMUNITY WORK CENTERS","1,848","1,782","1,769","1,762","1,778","1,750","1,751","1,751","1,785","1,789"
"Alcorn Satellite Facility","92","90","89","89","92","86","86","86","89","92"
"Bolivar Satellite Facility","102","101","101","101","101","102","102","102","102","101"
"Forrest Satellite Facility","96","92","92","92","94","93","93","94","95","95"
"George Satellite Facility","102","102","102","99","102","96","96","97","101","101"
"Harrison Satellite Facility","102","99","97","97","97","95","95","94","101","99"
"Jackson Satellite Facility","102","102","102","102","102","98","98","98","101","102"
"Jefferson Satellite Facility","102","98","98","98","97","96","96","95","96","94"
"Leflore Satellite Facility","102","98","98","98","98","99","99","99","101","100"
"Madison Satellite Facility","102","99","97","96","95","93","93","97","94","97"
"Noxubee Satellite Facility","92","86","86","86","91","89","89","89","90","90"
"Pike Satellite Facility","93","87","85","88","88","85","86","86","89","92"
"Quitman Satellite Facility","93","91","90","90","91","90","90","90","91","91"
"Rankin Satellite Facility","260","249","247","245","245","246","246","246","249","245"
"Simpson Satellite Facility","102","101","100","98","100","100","100","96","102","96"
"Washington Satellite Facility","102","100","100","99","99","100","100","100","102","102"
"Wilkinson Satellite Facility","102","95","93","92","91","91","91","91","88","98"
"Yazoo Satellite Facility","102","92","92","92","95","91","91","91","94","94"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,083","3,079","3,077","3,080","3,086","3,084","3,082","3,084","3,075"
"Bolivar County","294","294","293","293","294","291","291","291","293","293"
"Carroll County","280","280","280","279","280","280","279","279","281","280"
"George County","280","279","279","281","281","280","280","279","278","278"
"Holmes County","280","280","280","280","280","280","280","280","280","275"
"Issaquena County","274","273","273","269","270","274","274","274","272","271"
"Jefferson County","280","280","280","280","277","283","283","282","282","281"
"Kemper County","280","280","279","278","279","280","280","280","280","279"
"Leake County","280","280","280","279","280","280","280","280","280","280"
"Marion County","280","278","277","278","280","280","279","279","279","278"
"Stone County","280","280","279","280","280","280","280","280","280","280"
"Winston County","280","279","279","280","279","278","278","278","279","280"
"PRIVATE PRISONS","5,472","4,844","4,842","4,843","4,837","4,838","4,835","4,834","4,842","4,871"
"Delta","972","967","967","967","971","969","969","969","968","971"
"East Mississippi","1,000","897","897","899","898","896","894","894","894","895"
"Marshall County","1,000","999","999","999","998","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,001","1,000","999","992","994","994","994","994","1,022"
"Wilkinson County","1,000","980","979","979","978","979","978","977","986","983"
"RESTITUTION CENTERS","16","10","10","10","11","8","8","8","11","11"
"Greenwood","6","5","5","5","6","5","5","5","6","6"
"Hinds","6","4","4","4","4","2","2","2","4","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","6","8","11","7","52","49","48","17","6"
"TOTALS","23,516","22,774","22,770","22,798","22,796","22,847","22,837","22,833","22,841","22,833"
"","","1-Sep-08","2-Sep-08","3-Sep-08","4-Sep-08","5-Sep-08","6-Sep-08","7-Sep-08","8-Sep-08","9-Sep-08"
