"Location","Capacity","13-Feb-05","14-Feb-05","15-Feb-05","16-Feb-05","17-Feb-05","18-Feb-05","19-Feb-05","20-Feb-05","21-Feb-05","22-Feb-05","23-Feb-05","24-Feb-05"
"Mississippi State Penitentiary","4,744","4,448","4,465","4,457","4,460","4,468","4,447","4,447","4,446","4,442","4,456","4,470","4,458"
"Central Mississippi Correctional Facility","3,233","3,015","3,033","3,065","3,074","3,089","3,111","3,108","3,107","3,105","3,133","3,141","3,155"
"South Mississippi Correctional Institution","2,214","2,124","2,107","2,086","2,094","2,103","2,122","2,119","2,118","2,117","2,114","2,108","2,129"
"County Jails","2,327","1,941","1,948","1,941","1,940","1,915","1,870","1,870","1,870","1,874","1,839","1,810","1,772"
"COMMUNITY WORK CENTERS","1,816","1,642","1,688","1,690","1,704","1,705","1,643","1,642","1,641","1,696","1,696","1,703","1,704"
"Alcorn Satellite Facility","92","82","92","92","92","92","86","86","86","92","90","92","92"
"Bolivar Satellite Facility","102","96","101","99","99","99","94","94","94","100","102","102","100"
"Forrest Satellite Facility","96","94","95","94","96","96","95","95","95","96","96","95","92"
"George Satellite Facility","102","95","95","96","99","98","92","92","92","98","98","97","100"
"Harrison Satellite Facility","102","84","90","92","101","101","99","99","99","99","99","99","97"
"Jackson Satellite Facility","102","93","95","94","94","94","93","93","92","92","90","92","95"
"Jefferson Satellite Facility","102","102","99","98","98","101","96","96","96","101","101","99","95"
"Leflore Satellite Facility","102","96","100","100","98","98","92","92","92","98","98","98","102"
"Madison Satellite Facility","102","99","102","102","102","102","101","101","101","101","101","101","101"
"Noxubee Satellite Facility","92","82","88","87","89","87","85","85","85","87","87","92","92"
"Pike Satellite Facility","93","65","64","63","63","65","61","61","61","64","64","64","64"
"Quitman Satellite Facility","93","73","73","73","73","73","68","68","68","72","74","74","75"
"Rankin Satellite Facility","228","188","197","197","198","198","189","189","189","195","194","196","195"
"Simpson Satellite Facility","102","96","97","102","101","100","98","97","97","100","100","101","101"
"Washington Satellite Facility","102","98","98","98","98","98","96","96","96","98","99","98","100"
"Wilkinson Satellite Facility","102","100","101","101","101","101","99","99","99","101","101","101","101"
"Yazoo Satellite Facility","102","99","101","102","102","102","99","99","99","102","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,732","2,730","2,727","2,723","2,731","2,736","2,734","2,732","2,731","2,733","2,733","2,730"
"Bolivar County","250","249","248","246","246","250","250","250","250","250","250","250","248"
"Carroll County","250","248","248","247","251","249","250","250","250","250","250","249","249"
"George County","250","246","246","247","244","247","249","249","248","248","248","247","249"
"Holmes County","250","250","250","250","249","249","249","249","249","249","250","250","248"
"Issaquena County","250","242","241","240","240","244","243","242","241","241","236","237","240"
"Jefferson County","250","249","247","248","248","245","247","247","247","247","250","251","251"
"Kemper County","250","250","250","250","249","250","248","248","248","248","250","250","249"
"Leake County","250","250","250","250","249","249","250","249","249","248","249","250","249"
"Marion County","250","250","250","249","249","250","250","250","250","250","250","249","249"
"Stone County","250","249","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","249","250","250","248","248","250","250","250","250","250","250","248"
"PRIVATE PRISONS","5,088","4,747","4,751","4,771","4,769","4,768","4,772","4,772","4,770","4,767","4,775","4,785","4,795"
"Delta","960","959","960","958","958","958","959","959","958","957","958","958","959"
"East Mississippi","1,000","874","874","874","874","874","872","872","872","872","872","875","875"
"Marshall County","1,000","991","990","994","992","993","991","991","990","990","995","995","995"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","821","826","825","825","829","838","838","838","837","837","841","846"
"Wilkinson County","1,000","974","973","992","992","986","984","984","984","983","985","988","992"
"RESITITUTION CENTERS","18","14","14","14","14","14","14","14","14","14","14","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","58","5","3","3","5","59","59","59","3","5","6","6"
"TOTALS","22,196","20,726","20,746","20,759","20,786","20,803","20,779","20,770","20,762","20,754","20,770","20,774","20,767"
