"Location","Capacity","28-Nov-08","29-Nov-08","30-Nov-08","","Avg Population"
"Mississippi State Penitentiary","4,435","3,861","3,860","3,859","","3,880"
"Central Mississippi Correctional Facility","3,665","3,720","3,718","3,718","","3,726"
"South Mississippi Correctional Institution","3,204","3,104","3,104","3,104","","3,110"
"County Jails","1,790","1,818","1,818","1,818","","1,833"
"COMMUNITY WORK CENTERS","1,848","1,820","1,820","1,819","","1,794"
"Alcorn Satellite Facility","92","91","91","91","","88"
"Bolivar Satellite Facility","102","101","101","101","","100"
"Forrest Satellite Facility","96","95","95","95","","94"
"George Satellite Facility","102","102","102","102","","100"
"Harrison Satellite Facility","102","102","102","102","","100"
"Jackson Satellite Facility","102","101","101","101","","99"
"Jefferson Satellite Facility","102","101","101","101","","100"
"Leflore Satellite Facility","102","101","101","101","","100"
"Madison Satellite Facility","102","102","102","102","","101"
"Noxubee Satellite Facility","92","91","91","91","","90"
"Pike Satellite Facility","93","92","92","92","","90"
"Quitman Satellite Facility","93","89","89","89","","90"
"Rankin Satellite Facility","260","247","247","246","","245"
"Simpson Satellite Facility","102","100","100","100","","101"
"Washington Satellite Facility","102","102","102","102","","99"
"Wilkinson Satellite Facility","102","102","102","102","","99"
"Yazoo Satellite Facility","102","101","101","101","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,082","3,082","3,079","","3,078"
"Bolivar County","294","294","294","293","","293"
"Carroll County","280","280","280","280","","279"
"George County","280","279","279","279","","279"
"Holmes County","280","279","279","279","","280"
"Issaquena County","274","271","271","271","","272"
"Jefferson County","280","279","279","279","","280"
"Kemper County","280","280","280","280","","280"
"Leake County","280","280","280","280","","279"
"Marion County","280","280","280","278","","279"
"Stone County","280","280","280","280","","279"
"Winston County","280","280","280","280","","280"
"PRIVATE PRISONS","5,972","5,566","5,562","5,559","","5,480"
"Delta","972","972","971","971","","969"
"East Mississippi","1,500","1,370","1,368","1,367","","1,283"
"Marshall County","1,000","999","998","997","","999"
"Walnut Grove","1,500","1,235","1,235","1,235","","1,237"
"Wilkinson County","1,000","990","990","989","","993"
"RESTITUTION CENTERS","16","12","12","12","","14"
"Greenwood","6","4","4","4","","5"
"Hinds","6","4","4","4","","5"
"Pascagoula","4","4","4","4","","4"
"GOVERNOR'S MANSION","6","6","6","6","","6"
"E-CODE","0","11","11","11","","19"
"TOTALS","24,024","23,000","22,993","22,985","","22,940"
