"Location","Capacity","","13-Jun-03 14-Jun-03","15-Jun-03","16-Jun-03","17-Jun-03","18-Jun-03","19-Jun-03","20-Jun-03","21-Jun-03","22-Jun-03","23-Jun-03","24-Jun-03"
"MS STATE PENITENTIARY","5,768","5,710","5,704","5,702","5,715","5,716","5,719","5,712","5,698","5,696","5,696","5,688","5,681"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,173","3,173","3,171","3,178","3,172","3,169","3,159","3,156","3,156","3,157","3,157","3,167"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,178","2,180","2,178","2,173","2,181","2,182","2,203","2,196","2,195","2,195","2,192","2,183"
"COUNTY JAILS","2,176","2,081","2,081","2,081","2,059","2,062","2,062","2,072","2,086","2,086","2,086","2,097","2,087"
"COMMUNITY WORK CENTERS","1,816","1,272","1,270","1,271","1,339","1,341","1,351","1,359","1,355","1,352","1,354","1,409","1,404"
"Alcorn Satellite Facility","92","64","64","64","75","75","75","75","73","73","73","75","74"
"Bolivar Satellite Facility","102","72","72","72","74","74","73","73","70","70","70","72","72"
"Forrest Satellite Facility","96","71","71","71","74","74","74","75","72","72","72","74","73"
"George Satellite Facility","102","71","71","71","84","83","95","95","97","96","96","99","99"
"Harrison Satellite Facility","102","75","75","75","75","75","75","75","73","73","73","75","75"
"Jackson Satellite Facility","102","71","71","71","75","74","74","74","72","72","72","74","74"
"Jefferson Satellite Facility","102","69","69","69","75","75","75","75","72","72","72","74","74"
"Leflore Satellite Facility","102","71","70","70","72","72","76","86","96","96","96","97","97"
"Madison Satellite Facility","102","93","93","93","100","102","102","101","100","99","100","98","98"
"Noxubee Satellite Facility","92","74","73","74","74","74","74","74","71","70","71","73","72"
"Pike Satellite Facility","93","61","61","61","61","61","58","57","56","56","56","55","54"
"Quitman Satellite Facility","93","59","59","59","61","62","62","62","59","59","59","61","61"
"Rankin Satellite Facility","228","143","143","143","146","146","146","146","163","163","164","168","169"
"Simpson Satellite Facility","102","68","68","68","73","73","72","74","71","71","71","73","73"
"Washington Satellite Facility","102","68","68","68","73","73","72","72","70","70","70","71","71"
"Wilkinson Satellite Facility","102","70","70","70","73","74","74","74","74","74","73","73","73"
"Yazoo Satellite Facility","102","72","72","72","74","74","74","71","66","66","66","97","95"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,586","2,585","2,585","2,570","2,575","2,577","2,574","2,579","2,578","2,577","2,574","2,583"
"Bolivar County","250","235","235","235","235","237","236","236","236","236","236","236","234"
"Carroll County","250","235","235","235","235","235","235","235","235","235","235","234","235"
"George County (opened on May 10th)","250","235","235","235","225","224","233","231","232","232","232","231","234"
"Holmes County","250","235","235","235","235","235","235","235","237","237","236","236","236"
"Issaquena County","250","235","235","235","235","235","235","233","233","233","233","234","234"
"Jefferson County","250","235","234","234","233","234","233","233","234","234","234","234","235"
"Kemper County","250","235","235","235","235","235","235","235","235","235","235","235","235"
"Leake County","250","236","236","236","235","235","232","235","234","234","234","233","235"
"Marion County","250","235","235","235","235","235","235","235","234","234","234","234","235"
"Stone County","250","235","235","235","232","235","235","233","236","235","235","235","235"
"Winston County","250","235","235","235","235","235","233","233","233","233","233","232","235"
"PRIVATE PRISONS","3,750","3,378","3,378","3,375","3,369","3,369","3,368","3,379","3,377","3,376","3,376","3,373","3,376"
"East MS","1,000","682","682","682","682","682","682","682","682","682","682","682","681"
"Marshall County","1,000","991","991","988","986","986","986","995","994","994","994","992","992"
"Walnut Grove","750","714","714","714","713","710","709","711","710","710","710","709","716"
"Wilkinson County","1,000","991","991","991","988","991","991","991","991","990","990","990","987"
"RESITITUTION CENTERS","24","19","18","18","18","18","18","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","10","9","9","9","9","9","9","9","9","9","9","9"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","58","57","57","3","3","7","12","45","45","44","9","11"
"TOTALS","21,737","20,461","20,452","20,444","20,430","20,443","20,459","20,494","20,516","20,508","20,509","20,523","20,516"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42
(Hospital) & 5 at Family Visitation Apts.",
