"Location","Capacity","19-Oct-15","20-Oct-15","21-Oct-15","22-Oct-15","23-Oct-15","24-Oct-15","25-Oct-15","26-Oct-15","27-Oct-15"
"Mississippi State Penitentiary","3,590","3,207","3,207","3,207","3,207","3,207","3,205","3,205","3,212","3,211"
"MSP TVC","","95","95","95","95","95","94","94","90","89"
"Central Mississippi Correctional Facility","2,932","2,684","2,684","2,684","2,684","2,684","2,681","2,681","2,689","2,688"
"Youthful Offender Unit","58","27","27","27","27","27","27","27","26","25"
"CMCF TVC","","140","140","140","140","139","137","137","135","134"
"South Mississippi Correctional Institution 2,882","","2,697","2,697","2,697","2,697","2,696","2,696","2,696","2,675","2,674"
"SMCI TVC","","89","89","89","89","88","88","88","96","95"
"County Jails","2,002","1,250","1,279","1,252","1,245","1,254","1,253","1,253","1,261","1,290"
"COMMUNITY WORK CENTERS","1,870","1,140","1,125","1,125","1,125","1,110","1,108","1,108","1,136","1,134"
"Alcorn Satellite Facility","92","80","79","79","79","78","78","78","81","80"
"Bolivar Satellite Facility","102","68","67","67","67","66","66","66","69","68"
"Forrest Satellite Facility","96","43","42","42","42","41","41","41","48","48"
"George Satellite Facility","102","48","47","47","47","46","46","46","49","49"
"Harrison Satellite Facility","102","48","47","47","47","46","46","46","48","48"
"Jackson Satellite Facility","102","53","52","52","52","51","51","51","53","53"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","79","78","78","78","77","77","77","75","75"
"Madison Satellite Facility","102","67","66","66","66","65","65","65","65","65"
"Noxubee Satellite Facility","92","68","67","67","67","66","66","66","70","70"
"Pike Satellite Facility","93","74","73","73","73","72","72","72","73","73"
"Quitman Satellite Facility","93","61","60","60","60","59","59","59","65","65"
"Rankin Satellite Facility","260","170","170","170","170","170","168","168","167","167"
"Simpson Satellite Facility","102","100","99","99","99","98","98","98","96","96"
"Washington Satellite Facility","102","69","68","68","68","67","67","67","69","69"
"Wilkinson Satellite Facility","102","54","53","53","53","52","52","52","50","50"
"Yazoo Satellite Facility","102","58","57","57","57","56","56","56","58","58"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,741","3,733","3,747","3,755","3,749","3,747","3,747","3,684","3,684"
"Alcorn County","300","240","239","240","240","239","239","239","239","239"
"Bolivar County","369","280","279","280","280","279","279","279","278","278"
"Carroll County","280","228","227","228","228","227","227","227","228","228"
"Chickasaw County","300","282","283","284","284","283","283","283","271","271"
"George County","280","223","222","223","223","222","222","222","223","223"
"Holmes County","280","257","256","257","257","256","256","256","257","257"
"Issaquena County","274","243","242","243","244","244","244","244","241","241"
"Jefferson County","280","249","248","249","250","250","250","250","241","241"
"Kemper County","355","296","295","296","297","297","297","297","275","275"
"Leake County","280","240","239","240","241","241","241","241","236","236"
"Marion County","280","251","251","252","253","253","253","253","255","255"
"Stone County","280","275","275","276","277","277","277","277","272","272"
"Washington County","300","193","193","193","193","193","191","191","189","189"
"Winston County","280","232","232","233","234","234","234","234","226","226"
"Yazoo County","300","252","252","253","254","254","254","254","253","253"
"PRIVATE PRISONS","5,972","3,872","3,872","3,879","3,879","3,879","3,879","3,879","3,924","3,924"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,111","1,111","1,112","1,112","1,112","1,112","1,112","1,110","1,110"
"Marshall County","1,000","998","998","999","999","999","999","999","998","998"
"Walnut Grove","1,500","902","902","905","905","905","905","905","921","921"
"Wilkinson County","1,000","861","861","863","863","863","863","863","895","895"
"RESTITUTION CENTERS","16","11","11","17","17","17","17","17","11","11"
"Greenwood","6","4","4","6","6","6","6","6","4","4"
"Hinds","6","6","6","8","8","8","8","8","6","6"
"Pascagoula","4","1","1","3","3","3","3","3","1","1"
"TOTALS","23,744","18,953","18,959","18,959","18,960","18,945","18,932","18,932","18,939","18,959"
