"Location","Capacity","18-Jan-19","19-Jan-19","20-Jan-19","21-Jan-19","22-Jan-19","23-Jan-19","24-Jan-19","25-Jan-19","26-Jan-19","27-Jan-19","28-Jan-19","29-Jan-19","30-Jan-19","31-Jan-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,242","3,243","3,241","3,240","3,241","3,254","3,225","3,245","3,245","3,244","3,262","3,250","3,254","3,251","3,250"
"Central Mississippi Correctional Facility","4,131","3,828","3,828","3,828","3,831","3,744","3,693","3,801","3,780","3,816","3,817","3,778","3,756","3,774","3,757","3832"
"Youthful Offender Unit","58","36","36","36","34","34","36","36","36","36","36","35","35","34","34","36"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,016","3,013","3,013","3,012","3,039","3,047","3,051","3,032","3,028","3,028","3,016","3,010","2,980","2,941","3033"
"County Jails","1,781","1,292","1,292","1,292","1,292","1,284","1,245","1,234","1,229","1,229","1,229","1,224","1,261","1,254","1,256","1190"
"COMMUNITY WORK CENTERS","1,454","888","885","885","905","928","951","952","950","950","950","968","905","953","1,003","966"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","73","72","72","78","79","80","80","79","79","79","81","82","83","85","81"
"Delta TVC","324","211","209","209","204","198","225","224","224","224","224","235","228","248","248","235"
"Forrest Satellite Facility","96","55","55","55","60","58","57","56","54","54","54","54","55","55","55","58"
"George Satellite Facility","102","67","67","67","73","76","76","76","71","71","71","73","79","84","78","74"
"Harrison Satellite Facility","102","44","44","44","44","48","46","46","44","44","44","44","0","0","46","44"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","61","61","61","61","66","67","67","67","67","67","62","61","61","61","66"
