"Location","Capacity","1-Feb-08","2-Feb-08","3-Feb-08","4-Feb-08","5-Feb-08","6-Feb-08","7-Feb-08","8-Feb-08","9-Feb-08"
"Mississippi State Penitentiary","4,527","4,193","4,192","4,190","4,192","4,195","4,202","4,210","4,203","4,201"
"Central Mississippi Correctional Facility","3,665","3,531","3,536","3,536","3,536","3,560","3,548","3,589","3,571","3,570"
"South Mississippi Correctional Institution","3,204","3,055","3,053","3,052","3,039","3,030","3,044","3,036","3,036","3,034"
"County Jails","1,661","1,876","1,876","1,876","1,898","1,893","1,891","1,880","1,881","1,881"
"COMMUNITY WORK CENTERS","1,848","1,710","1,707","1,706","1,772","1,772","1,774","1,775","1,694","1,693"
"Alcorn Satellite Facility","92","86","86","86","92","92","92","91","87","87"
"Bolivar Satellite Facility","102","91","91","91","98","97","98","100","92","92"
"Forrest Satellite Facility","96","84","84","84","85","84","86","86","82","82"
"George Satellite Facility","102","99","99","99","101","100","100","100","98","97"
"Harrison Satellite Facility","102","98","98","98","102","102","102","102","102","102"
"Jackson Satellite Facility","102","89","89","89","95","95","95","95","91","91"
"Jefferson Satellite Facility","102","98","98","98","98","98","94","94","83","83"
"Leflore Satellite Facility","102","98","97","97","100","100","99","98","93","93"
"Madison Satellite Facility","102","97","97","97","101","101","101","100","99","99"
"Noxubee Satellite Facility","92","84","84","84","88","91","91","91","83","83"
"Pike Satellite Facility","93","80","81","81","86","86","86","86","84","84"
"Quitman Satellite Facility","93","88","87","87","91","88","88","88","82","82"
"Rankin Satellite Facility","260","247","246","245","251","253","253","254","250","250"
"Simpson Satellite Facility","102","94","94","94","101","99","99","99","95","95"
"Washington Satellite Facility","102","102","102","102","102","101","101","102","98","98"
"Wilkinson Satellite Facility","102","84","84","84","84","84","89","89","78","78"
"Yazoo Satellite Facility","102","91","90","90","97","101","100","100","97","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,079","3,077","3,075","3,068","3,075","3,076","3,070","3,084","3,080"
"Bolivar County","294","294","294","293","288","292","291","290","293","293"
"Carroll County","280","280","280","280","280","280","279","278","279","279"
"George County","280","278","278","278","278","279","280","280","280","280"
"Holmes County","280","280","280","280","280","280","280","279","280","280"
"Issaquena County","274","274","274","274","273","273","271","271","275","275"
"Jefferson County","280","279","278","278","278","277","276","272","277","277"
"Kemper County","280","278","278","277","277","280","280","280","280","280"
"Leake County","280","279","279","279","279","279","279","280","279","278"
"Marion County","280","280","280","280","280","279","280","280","281","280"
"Stone County","280","278","278","278","278","278","280","280","280","278"
"Winston County","280","279","278","278","277","278","280","280","280","280"
"PRIVATE PRISONS","4,972","4,793","4,791","4,785","4,798","4,797","4,797","4,781","4,796","4,795"
"Delta","972","967","967","967","967","965","968","970","970","970"
"East Mississippi","1,000","877","877","875","877","878","878","877","878","878"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","1,000","998","996","996"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","955","954","950","956","956","953","940","956","956"
"Wilkinson County","1,000","994","993","993","998","998","998","996","996","995"
"RESTITUTION CENTERS","16","12","12","12","12","12","13","13","14","14"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","5","5","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","68","63","63","3","2","4","6","72","73"
"TOTALS","22,987","22,322","22,312","22,300","22,323","22,341","22,354","22,365","22,356","22,346"
"","","1-Feb-08","2-Feb-08","3-Feb-08","4-Feb-08","5-Feb-08","6-Feb-08","7-Feb-08","8-Feb-08","9-Feb-08"
