"Location","Capacity","1-Mar-05","2-Mar-05","3-Mar-05","4-Mar-05","5-Mar-05","6-Mar-05","7-Mar-05","8-Mar-05","9-Mar-05","10-Mar-05","11-Mar-05","12-Mar-05","13-Mar-05"
"Mississippi State Penitentiary","4,744","4,427","4,436","4,451","4,428","4,421","4,420","4,416","4,454","4,463","4,472","4,478","4,475","4,472"
"Central Mississippi Correctional Facility","3,233","3,111","3,135","3,138","3,136","3,134","3,132","3,164","3,142","3,134","3,145","3,103","3,100","3,098"
"South Mississippi Correctional Institution","2,214","2,127","2,123","2,106","2,111","2,109","2,109","2,105","2,105","2,113","2,111","2,127","2,125","2,117"
"County Jails","2,327","1,810","1,821","1,851","1,838","1,838","1,838","1,830","1,833","1,856","1,869","1,858","1,858","1,858"
"COMMUNITY WORK CENTERS","1,816","1,713","1,701","1,706","1,674","1,672","1,670","1,722","1,726","1,724","1,729","1,712","1,713","1,711"
"Alcorn Satellite Facility","92","90","91","91","83","83","83","92","92","91","91","88","88","88"
"Bolivar Satellite Facility","102","102","102","102","97","97","96","99","99","100","101","97","97","97"
"Forrest Satellite Facility","96","96","95","96","93","93","93","96","95","92","92","89","90","90"
"George Satellite Facility","102","97","96","97","97","96","96","100","99","94","92","92","92","92"
"Harrison Satellite Facility","102","102","99","99","100","100","100","100","100","101","102","101","101","101"
"Jackson Satellite Facility","102","95","95","102","100","100","100","102","102","94","94","98","98","98"
"Jefferson Satellite Facility","102","102","97","96","96","96","96","88","93","94","98","96","96","96"
"Leflore Satellite Facility","102","102","102","100","98","98","98","101","101","101","101","98","98","98"
"Madison Satellite Facility","102","101","100","100","102","102","102","101","101","101","101","99","99","98"
"Noxubee Satellite Facility","92","92","90","90","83","83","83","89","90","89","90","87","87","87"
"Pike Satellite Facility","93","61","61","59","63","63","63","79","79","90","90","90","90","90"
"Quitman Satellite Facility","93","75","76","76","75","75","75","83","84","84","89","87","87","87"
"Rankin Satellite Facility","228","195","195","198","195","195","194","197","197","200","200","197","197","196"
"Simpson Satellite Facility","102","101","101","102","99","98","98","95","95","95","95","100","100","100"
"Washington Satellite Facility","102","101","100","97","97","97","97","101","101","100","99","97","97","97"
"Wilkinson Satellite Facility","102","100","100","100","97","97","97","98","100","100","96","100","100","100"
"Yazoo Satellite Facility","102","101","101","101","99","99","99","101","98","98","98","96","96","96"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,745","2,741","2,736","2,730","2,727","2,727","2,736","2,737","2,735","2,731","2,747","2,741","2,739"
"Bolivar County","250","250","250","249","250","250","250","250","250","248","249","250","250","249"
"Carroll County","250","249","249","249","250","250","250","250","250","250","250","250","248","248"
"George County","250","249","246","248","248","248","248","248","247","246","246","250","249","249"
"Holmes County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"Issaquena County","250","248","246","245","242","243","243","243","243","243","240","249","249","248"
"Jefferson County","250","250","250","248","246","245","245","247","249","248","249","250","249","249"
"Kemper County","250","250","250","250","247","245","245","248","249","250","249","249","249","249"
"Leake County","250","250","250","250","250","249","249","250","250","250","250","250","250","250"
"Marion County","250","250","250","250","250","250","250","250","250","250","249","250","249","249"
"Stone County","250","249","250","250","250","250","250","250","249","250","249","250","250","250"
"Winston County","250","250","250","247","247","247","247","250","250","250","250","249","249","249"
"PRIVATE PRISONS","5,088","4,772","4,778","4,776","4,776","4,774","4,772","4,771","4,769","4,765","4,760","4,761","4,756","4,756"
"Delta","960","957","953","951","956","957","955","959","959","959","956","957","955","955"
"East Mississippi","1,000","871","874","874","875","875","875","874","872","871","871","874","874","874"
"Marshall County","1,000","992","996","994","992","991","991","991","995","994","994","992","992","992"
"Tallahatchie County","128","127","127","127","128","128","128","128","128","127","127","127","127","127"
"Walnut Grove","1,000","838","842","839","836","835","835","832","833","833","834","833","832","832"
"Wilkinson County","1,000","987","986","991","989","988","988","987","982","981","978","978","976","976"
"RESTITUTION CENTERS","18","13","13","14","14","14","14","14","14","14","13","12","12","12"
"Greenwood","6","5","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","5","5","5","5","5","5","5","5","5","4","4","4","4"
"Pascagoula","6","3","2","3","3","3","3","3","3","3","3","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","6","6","8","53","53","54","8","8","9","10","47","47","53"
"TOTALS","22,196","20,729","20,759","20,791","20,765","20,747","20,741","20,771","20,793","20,818","20,845","20,850","20,832","20,821"
