"Location","Capacity","1-Nov-15","2-Nov-15","3-Nov-15","4-Nov-15","5-Nov-15","6-Nov-15","7-Nov-15","8-Nov-15","9-Nov-15"
"Mississippi State Penitentiary","3,590","3,276","3,276","3,276","3,276","3,274","3,274","3,274","3,273","3,275"
"MSP TVC","","86","86","86","86","87","87","87","86","80"
"Central Mississippi Correctional Facility","2,932","2,685","2,685","2,685","2,685","2,686","2,686","2,685","2,684","2,685"
"Youthful Offender Unit","58","25","25","25","25","26","26","26","25","27"
"CMCF TVC","","140","140","140","140","141","141","139","138","124"
"South Mississippi Correctional Institution 2,882","","2,694","2,694","2,694","2,694","2,695","2,695","2,695","2,694","2,699"
"SMCI TVC","","92","92","92","92","93","93","93","92","93"
"County Jails","1,780","1,288","1,291","1,304","1,259","1,221","1,204","1,202","1,204","1,191"
"COMMUNITY WORK CENTERS","1,848","1,113","1,128","1,128","1,128","1,143","1,143","1,141","1,135","1,125"
"Alcorn Satellite Facility","92","55","56","56","56","57","57","57","57","48"
"Bolivar Satellite Facility","102","71","72","72","72","73","73","73","73","73"
"Forrest Satellite Facility","96","46","47","47","47","48","48","48","48","48"
"George Satellite Facility","102","52","53","53","53","54","54","54","54","53"
"Harrison Satellite Facility","102","40","41","41","41","42","42","42","42","45"
"Jackson Satellite Facility","102","50","51","51","51","52","52","52","52","53"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","78","79","79","79","80","80","80","79","73"
"Madison Satellite Facility","102","68","69","69","69","70","70","70","69","69"
"Noxubee Satellite Facility","92","67","68","68","68","69","69","69","68","71"
"Pike Satellite Facility","93","71","72","72","72","73","73","73","72","73"
"Quitman Satellite Facility","93","62","63","63","63","64","64","64","64","61"
"Rankin Satellite Facility","260","178","178","178","178","178","178","176","174","174"
"Simpson Satellite Facility","102","98","99","99","99","100","100","100","100","98"
"Washington Satellite Facility","102","73","74","74","74","75","75","75","75","80"
"Wilkinson Satellite Facility","102","49","50","50","50","51","51","51","51","51"
"Yazoo Satellite Facility","102","55","56","56","56","57","57","57","57","55"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,569","3,574","3,572","3,583","3,596","3,596","3,594","3,592","3,633"
"Alcorn County","300","0","0","0","0","0","0","0","0","0"
"Bolivar County","369","278","279","279","279","280","280","280","280","297"
"Carroll County","280","273","274","274","274","275","275","275","275","273"
"Chickasaw County","300","269","270","270","271","272","272","272","272","261"
"George County","280","224","225","225","226","227","227","227","227","230"
"Holmes County","280","274","275","275","276","277","277","277","277","279"
"Issaquena County","274","252","252","252","253","254","254","254","254","249"
"Jefferson County","280","244","244","244","245","246","246","246","246","246"
"Kemper County","355","277","277","277","278","279","279","279","279","293"
"Leake County","280","240","240","240","241","242","242","242","242","245"
"Marion County","280","254","254","254","255","256","256","256","256","258"
"Stone County","280","273","273","273","274","275","275","275","275","276"
"Washington County","300","210","210","210","210","210","210","208","206","204"
"Winston County","280","224","224","223","224","225","225","225","225","239"
"Yazoo County","300","277","277","276","277","278","278","278","278","283"
"PRIVATE PRISONS","5,972","3,927","3,927","3,919","3,923","3,927","3,927","3,927","3,927","3,928"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,109","1,109","1,107","1,108","1,109","1,109","1,109","1,109","1,112"
"Marshall County","1,000","997","997","995","996","997","997","997","997","996"
"Walnut Grove","1,500","935","935","933","934","935","935","935","935","925"
"Wilkinson County","1,000","886","886","884","885","886","886","886","886","895"
"RESTITUTION CENTERS","16","11","11","7","7","7","7","7","7","10"
"Greenwood","6","4","4","3","3","3","3","3","3","4"
"Hinds","6","6","6","4","4","4","4","4","4","5"
"Pascagoula","4","1","1","0","0","0","0","0","0","1"
"TOTALS","23,516","18,906","18,929","18,928","18,898","18,896","18,879","18,870","18,857","18,870"
"","","1-Nov-15","2-Nov-15","3-Nov-15","4-Nov-15","5-Nov-15","6-Nov-15","7-Nov-15","8-Nov-15","9-Nov-15"
