"Location","Capacity","14-Jul-05","15-Jul-05","16-Jul-05","17-Jul-05","18-Jul-05","19-Jul-05","20-Jul-05","21-Jul-05","22-Jul-05","23-Jul-05","24-Jul-05","25-Jul-05","26-Jul-05"
"Mississippi State Penitentiary","4,630","4,595","4,597","4,594","4,592","4,582","4,586","4,586","4,582","4,575","4,569","4,567","4,577","4,581"
"Central Mississippi Correctional Facility","3,233","3,089","3,077","3,076","3,074","3,038","3,025","3,033","3,051","3,040","3,037","3,036","2,999","3,006"
"South Mississippi Correctional Institution","2,226","2,198","2,183","2,181","2,181","2,189","2,192","2,188","2,184","2,137","2,136","2,133","2,148","2,147"
"County Jails","2,247","1,675","1,695","1,695","1,695","1,731","1,745","1,749","1,782","1,771","1,771","1,771","1,774","1,744"
"COMMUNITY WORK CENTERS","1,816","1,698","1,628","1,627","1,623","1,690","1,689","1,694","1,693","1,656","1,652","1,652","1,699","1,717"
"Alcorn Satellite Facility","92","91","84","84","84","91","91","92","92","87","86","86","91","91"
"Bolivar Satellite Facility","102","98","97","97","96","100","100","101","100","99","99","99","99","99"
"Forrest Satellite Facility","96","95","89","89","89","95","94","94","92","93","93","93","94","94"
"George Satellite Facility","102","88","83","83","83","88","88","87","88","86","86","86","87","90"
"Harrison Satellite Facility","102","94","90","90","90","91","91","91","91","89","89","89","94","94"
"Jackson Satellite Facility","102","95","85","85","85","95","95","95","95","93","93","93","94","94"
"Jefferson Satellite Facility","102","95","90","90","89","93","93","93","90","95","95","95","96","95"
"Leflore Satellite Facility","102","100","97","97","97","99","99","102","102","98","98","98","102","102"
"Madison Satellite Facility","102","102","101","101","101","102","102","102","102","98","98","98","101","101"
"Noxubee Satellite Facility","92","87","88","88","88","89","89","89","89","83","83","83","90","88"
"Pike Satellite Facility","93","85","81","81","81","85","82","82","82","78","77","77","81","81"
"Quitman Satellite Facility","93","73","72","72","71","71","71","71","71","68","68","68","69","75"
"Rankin Satellite Facility","228","216","209","209","209","217","216","215","216","212","210","210","212","218"
"Simpson Satellite Facility","102","88","86","86","85","88","93","92","93","94","94","94","99","98"
"Washington Satellite Facility","102","99","92","91","91","99","99","99","102","100","100","100","101","100"
"Wilkinson Satellite Facility","102","91","88","88","88","89","88","88","87","87","87","87","87","97"
"Yazoo Satellite Facility","102","101","96","96","96","98","98","101","101","96","96","96","102","100"
"REGIONAL CORRECTIONAL FACILITIES","2,834","2,748","2,745","2,744","2,744","2,743","2,744","2,746","2,764","2,764","2,762","2,761","2,758","2,764"
"Bolivar County","250","250","250","250","250","248","248","249","249","250","250","250","250","247"
"Carroll County","250","250","249","249","249","249","249","250","250","250","248","247","250","250"
"George County","250","250","250","250","250","250","250","250","249","246","246","246","246","249"
"Holmes County","250","250","250","250","250","250","250","250","250","250","250","250","249","249"
"Issaquena County","274","251","249","249","249","249","249","248","269","272","272","272","269","269"
"Jefferson County","250","250","250","250","250","250","250","250","249","249","249","249","250","250"
"Kemper County","250","250","249","249","249","249","250","250","250","250","250","250","249","247"
"Leake County","280","248","249","248","248","250","250","250","250","250","250","250","250","258"
"Marion County","250","249","249","249","249","248","248","250","250","250","250","250","248","249"
"Stone County","280","250","250","250","250","250","250","250","249","248","248","248","248","246"
"Winston County","250","250","250","250","250","250","250","249","249","249","249","249","249","250"
"PRIVATE PRISONS","5,100","4,851","4,843","4,842","4,837","4,872","4,876","4,875","4,875","4,868","4,864","4,860","4,866","4,876"
"Delta","972","972","967","966","965","966","964","968","969","971","971","970","974","974"
"East Mississippi","1,000","874","874","874","874","874","875","875","875","873","872","871","871","875"
"Marshall County","1,000","995","989","989","989","988","993","992","995","995","994","993","995","991"
"Tallahatchie County","128","128","128","128","128","128","128","127","127","127","127","127","127","127"
"Walnut Grove","1,000","896","898","898","895","923","922","920","916","915","915","915","920","925"
"Wilkinson County","1,000","986","987","987","986","993","994","993","993","987","985","984","979","984"
"RESTITUTION CENTERS","16","14","14","14","14","14","12","12","12","11","11","11","10","10"
"Greenwood","6","5","5","5","5","5","3","3","3","3","3","3","3","3"
"Hinds","6","5","5","5","5","5","5","5","5","4","4","4","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","74","75","76","3","2","1","3","56","57","58","6","7"
"TOTALS","22,108","20,877","20,861","20,853","20,841","20,867","20,876","20,889","20,951","20,883","20,864","20,854","20,842","20,857"
"","","14-Jul-05","15-Jul-05","16-Jul-05","17-Jul-05","18-Jul-05","19-Jul-05","20-Jul-05","21-Jul-05","22-Jul-05","23-Jul-05","24-Jul-05","25-Jul-05","26-Jul-05"
