"Location","Capacity","10-Mar-11","11-Mar-11","12-Mar-11","13-Mar-11","14-Mar-11","15-Mar-11","16-Mar-11","17-Mar-11","18-Mar-11"
"Mississippi State Penitentiary","3,356","3,216","3,218","3,217","3,216","3,221","3,220","3,224","3,227","3,223"
"Central Mississippi Correctional Facility","3,449","3,239","3,236","3,232","3,232","3,248","3,258","3,264","3,240","3,213"
"South Mississippi Correctional Institution","3,204","3,180","3,181","3,177","3,176","3,180","3,186","3,183","3,175","3,176"
"County Jails","1,608","1,660","1,662","1,662","1,662","1,699","1,692","1,690","1,712","1,723"
"COMMUNITY WORK CENTERS","1,848","1,374","1,365","1,364","1,364","1,378","1,375","1,382","1,392","1,385"
"Alcorn Satellite Facility","92","68","63","63","62","65","65","65","65","62"
"Bolivar Satellite Facility","102","75","73","73","73","75","75","75","75","73"
"Forrest Satellite Facility","96","76","76","76","76","74","74","74","74","75"
"George Satellite Facility","102","80","78","78","78","82","82","82","81","79"
"Harrison Satellite Facility","102","81","78","78","78","77","75","75","74","76"
"Jackson Satellite Facility","102","77","77","77","77","76","75","74","74","68"
"Jefferson Satellite Facility","102","63","62","62","62","65","61","61","61","67"
"Leflore Satellite Facility","102","71","70","70","70","70","71","71","71","71"
"Madison Satellite Facility","102","75","81","81","81","84","87","90","90","91"
"Noxubee Satellite Facility","92","65","64","64","64","65","66","65","65","61"
"Pike Satellite Facility","93","76","75","75","75","76","76","76","76","80"
"Quitman Satellite Facility","93","63","60","60","60","60","60","60","60","60"
"Rankin Satellite Facility","260","182","187","187","187","191","191","191","192","191"
"Simpson Satellite Facility","102","87","89","88","89","86","85","89","93","93"
"Washington Satellite Facility","102","83","81","81","81","81","81","81","82","82"
"Wilkinson Satellite Facility","102","76","72","72","72","73","73","75","75","73"
"Yazoo Satellite Facility","102","76","79","79","79","78","78","78","84","83"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,027","3,022","3,020","3,015","3,005","3,012","3,020","3,020","3,023"
"Bolivar County","294","235","235","235","235","232","231","235","234","234"
"Carroll County","280","224","223","223","223","224","223","223","223","224"
"Chickasaw County","300","250","249","248","247","244","243","243","243","243"
"George County","280","224","224","224","224","223","224","223","223","224"
"Holmes County","280","224","224","224","223","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","219","219","220","221"
"Jefferson County","280","223","223","223","223","218","221","223","223","223"
"Kemper County","355","282","283","282","281","279","283","284","284","283"
"Leake County","280","224","223","223","223","223","224","224","224","224"
"Marion County","280","224","224","224","224","224","224","224","224","224"
"Stone County","280","224","223","223","222","222","223","223","223","224"
"Winston County","280","224","224","224","224","224","224","224","224","224"
"Yazoo County","300","250","248","248","247","249","249","251","251","251"
"PRIVATE PRISONS","5,972","5,244","5,240","5,238","5,237","5,231","5,230","5,239","5,242","5,223"
"Delta","972","902","900","900","900","903","901","904","904","902"
"East Mississippi","1,500","1,362","1,361","1,360","1,360","1,357","1,354","1,355","1,354","1,355"
"Marshall County","1,000","919","924","924","924","923","923","923","923","922"
"Walnut Grove","1,500","1,174","1,169","1,169","1,168","1,163","1,167","1,171","1,172","1,155"
"Wilkinson County","1,000","887","886","885","885","885","885","886","889","889"
"RESTITUTION CENTERS","16","10","7","7","7","7","7","7","7","7"
"Greenwood","6","6","3","3","3","3","3","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","5","28","30","30","6","5","4","5","30"
"TOTALS","23,222","20,960","20,964","20,952","20,944","20,980","20,990","21,018","21,025","21,008"
"","","10-Mar-11","11-Mar-11","12-Mar-11","13-Mar-11","14-Mar-11","15-Mar-11","16-Mar-11","17-Mar-11","18-Mar-11"
