"Location","Capacity","1-May-09","2-May-09","3-May-09","4-May-09","5-May-09","6-May-09","7-May-09","8-May-09","9-May-09"
"Mississippi State Penitentiary","4,627","4,106","4,104","4,101","4,112","4,105","4,087","4,088","4,078","4,076"
"Central Mississippi Correctional Facility","3,665","3,436","3,436","3,433","3,435","3,452","3,480","3,499","3,471","3,470"
"South Mississippi Correctional Institution","3,204","3,101","3,099","3,098","3,097","3,094","3,096","3,075","3,097","3,095"
"County Jails","1,752","1,757","1,757","1,757","1,728","1,713","1,703","1,717","1,742","1,742"
"COMMUNITY WORK CENTERS","1,848","1,643","1,641","1,639","1,619","1,625","1,626","1,544","1,526","1,527"
"Alcorn Satellite Facility","92","80","80","81","80","86","86","81","78","78"
"Bolivar Satellite Facility","102","93","93","93","86","88","88","84","81","81"
"Forrest Satellite Facility","96","80","80","80","78","77","77","74","70","70"
"George Satellite Facility","102","87","87","87","87","86","86","85","85","85"
"Harrison Satellite Facility","102","86","86","86","84","84","83","79","78","78"
"Jackson Satellite Facility","102","83","83","83","86","86","90","86","85","85"
"Jefferson Satellite Facility","102","90","90","90","88","88","86","83","82","82"
"Leflore Satellite Facility","102","86","86","86","87","86","85","81","79","79"
"Madison Satellite Facility","102","99","98","98","98","98","98","94","93","93"
"Noxubee Satellite Facility","92","84","84","84","82","81","81","74","72","72"
"Pike Satellite Facility","93","81","81","81","77","82","82","81","81","81"
"Quitman Satellite Facility","93","80","80","80","80","80","80","71","69","69"
"Rankin Satellite Facility","260","248","248","248","251","251","251","238","245","245"
"Simpson Satellite Facility","102","97","97","97","95","93","89","90","89","90"
"Washington Satellite Facility","102","94","94","94","90","89","94","82","80","80"
"Wilkinson Satellite Facility","102","79","79","79","78","78","78","73","71","71"
"Yazoo Satellite Facility","102","96","95","92","92","92","92","88","88","88"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,930","2,930","2,928","2,922","2,924","2,927","2,917","2,919","2,919"
"Bolivar County","294","279","279","279","278","278","279","279","280","280"
"Carroll County","280","266","266","266","266","266","266","265","265","265"
"George County","280","264","264","264","264","265","264","263","264","264"
"Holmes County","280","266","266","266","264","264","265","264","264","264"
"Issaquena County","274","259","259","258","255","256","259","258","258","258"
"Jefferson County","280","266","266","266","266","265","265","265","265","265"
"Kemper County","280","266","266","266","266","266","266","265","265","265"
"Leake County","280","266","266","265","265","266","265","264","265","265"
"Marion County","280","266","266","266","266","266","266","265","265","265"
"Stone County","280","266","266","266","266","266","266","264","264","264"
"Winston County","280","266","266","266","266","266","266","265","264","264"
"PRIVATE PRISONS","5,972","5,487","5,486","5,485","5,487","5,492","5,495","5,494","5,490","5,488"
"Delta","972","954","954","953","952","953","957","956","955","955"
"East Mississippi","1,500","1,364","1,363","1,363","1,364","1,364","1,363","1,366","1,365","1,365"
"Marshall County","1,000","982","982","982","982","980","983","983","982","981"
"Walnut Grove","1,500","1,213","1,213","1,213","1,215","1,218","1,218","1,213","1,211","1,210"
"Wilkinson County","1,000","974","974","974","974","977","974","976","977","977"
"RESTITUTION CENTERS","16","12","12","12","11","11","11","10","9","9"
"Greenwood","6","5","5","5","5","5","5","4","3","3"
"Hinds","6","5","5","5","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","27","26","26","6","8","11","9","28","28"
"TOTALS","24,178","22,505","22,497","22,485","22,423","22,430","22,442","22,359","22,366","22,360"
