"Location","Capacity","10-Nov-14","11-Nov-14","12-Nov-14","13-Nov-14","14-Nov-14","15-Nov-14","16-Nov-14","17-Nov-14","18-Nov-14"
"Mississippi State Penitentiary","4,648","3,128","3,113","3,111","3,125","3,131","3,129","3,115","3,126","3,132"
"Central Mississippi Correctional Facility","3,469","2,272","2,265","2,215","2,239","2,236","2,234","2,233","2,246","2,260"
"Youthful Offender Unit","58","33","33","33","33","33","33","33","33","32"
"CMCF TVC","350","118","118","108","105","105","104","103","102","102"
"South Mississippi Correctional Institution","3,282","2,796","2,859","2,791","2,788","2,732","2,733","2,730","2,652","2,638"
"County Jails","1,973","1,502","1,447","1,448","1,433","1,434","1,426","1,451","1,510","1,491"
"COMMUNITY WORK CENTERS","1,848","1,060","1,074","1,082","1,080","1,070","1,080","1,067","1,083","1,094"
"Alcorn Satellite Facility","92","85","85","85","85","84","84","84","84","87"
"Bolivar Satellite Facility","102","48","48","52","52","49","49","49","51","52"
"Forrest Satellite Facility","96","50","51","50","48","48","48","48","48","48"
"George Satellite Facility","102","49","50","51","51","52","52","51","51","51"
"Harrison Satellite Facility","102","42","43","43","43","42","42","42","42","41"
"Jackson Satellite Facility","102","43","47","46","46","45","45","45","47","46"
"Jefferson Satellite Facility","102","42","40","43","43","41","41","41","43","43"
"Leflore Satellite Facility","102","51","52","52","52","51","51","51","52","51"
"Madison Satellite Facility","102","56","55","55","54","54","54","54","54","51"
"Noxubee Satellite Facility","92","62","63","63","63","59","59","59","63","68"
"Pike Satellite Facility","93","87","82","79","79","78","78","78","78","80"
"Quitman Satellite Facility","93","53","56","56","56","57","57","57","56","57"
"Rankin Satellite Facility","260","167","176","177","174","175","185","173","178","180"
"Simpson Satellite Facility","102","94","93","93","92","98","98","98","98","101"
"Washington Satellite Facility","102","49","50","52","54","52","52","52","53","53"
"Wilkinson Satellite Facility","102","39","39","39","44","44","44","44","43","43"
"Yazoo Satellite Facility","102","43","44","46","44","41","41","41","42","42"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,249","4,227","4,236","4,236","4,225","4,222","4,221","4,216","4,215"
"Alcorn County","300","298","298","298","300","300","299","299","299","299"
"Bolivar County","369","359","357","362","361","359","359","359","358","356"
"Carroll County","280","263","262","261","259","257","257","257","257","263"
"Chickasaw County","300","297","299","298","299","299","299","299","301","301"
"George County","280","270","265","263","263","261","261","261","259","258"
"Holmes County","280","260","255","253","255","262","262","262","264","264"
"Issaquena County","274","262","259","255","253","253","253","253","251","253"
"Jefferson County","280","266","264","264","266","265","264","264","264","260"
"Kemper County","355","333","328","337","335","332","332","332","331","331"
"Leake County","280","249","251","258","258","257","257","257","256","256"
"Marion County","280","280","278","277","277","277","277","277","277","278"
"Stone County","280","277","277","275","276","275","275","274","274","274"
"Washington County","300","283","282","282","280","277","276","276","275","274"
"Winston County","280","264","266","266","267","265","265","265","264","262"
"Yazoo County","300","288","286","287","287","286","286","286","286","286"
"PRIVATE PRISONS","5,972","4,290","4,274","4,282","4,286","4,338","4,335","4,334","4,329","4,344"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,193","1,191","1,194","1,194","1,188","1,187","1,187","1,187","1,186"
"Marshall County","1,000","1,000","997","996","1,000","999","999","999","999","999"
"Walnut Grove","1,500","1,247","1,239","1,246","1,244","1,303","1,302","1,301","1,299","1,299"
"Wilkinson County","1,000","850","847","846","848","848","847","847","844","860"
"RESTITUTION CENTERS","16","8","5","5","5","4","4","4","6","6"
"Greenwood","6","3","3","3","3","2","2","2","3","3"
"Hinds","6","4","1","1","1","1","1","1","2","2"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","",""
"E-CODE","0","0","0","0","0","0","0","0","",""
"TOTALS","25,710","19,456","19,415","19,311","19,330","19,308","19,300","19,291","19,303","19,314"
