"Location","Capacity","19-Sep-13","20-Sep-13","21-Sep-13","22-Sep-13","23-Sep-13","24-Sep-13","25-Sep-13","26-Sep-13","27-Sep-13"
"Mississippi State Penitentiary","4,648","3,382","3,378","3,381","3,381","3,373","3,368","3,366","3,372","3,366"
"Central Mississippi Correctional Facility","3,557","3,307","3,302","3,299","3,301","3,324","3,326","3,338","3,348","3,328"
"Youthful Offender Unit","42","34","34","34","33","34","35","32","32","35"
"South Mississippi Correctional Institution","3,282","3,231","3,228","3,229","3,227","3,230","3,231","3,235","3,236","3,229"
"County Jails","1,882","2,204","2,218","2,218","2,218","2,212","2,227","2,236","2,243","2,268"
"COMMUNITY WORK CENTERS","1,848","1,402","1,383","1,380","1,377","1,400","1,410","1,403","1,405","1,402"
"Alcorn Satellite Facility","92","91","90","90","90","88","88","88","92","92"
"Bolivar Satellite Facility","102","72","69","69","69","71","70","70","70","69"
"Forrest Satellite Facility","96","67","69","69","69","71","71","69","69","71"
"George Satellite Facility","102","63","62","62","62","63","62","62","62","64"
"Harrison Satellite Facility","102","87","87","87","87","89","86","85","85","84"
"Jackson Satellite Facility","102","71","69","69","69","71","72","72","72","78"
"Jefferson Satellite Facility","102","65","64","64","64","63","63","66","66","65"
"Leflore Satellite Facility","102","68","63","63","63","68","67","67","67","64"
"Madison Satellite Facility","102","83","83","83","82","82","82","80","80","79"
"Noxubee Satellite Facility","92","77","74","73","73","76","76","76","75","71"
"Pike Satellite Facility","93","91","90","89","89","91","91","93","93","93"
"Quitman Satellite Facility","93","79","78","79","78","79","80","80","80","75"
"Rankin Satellite Facility","260","211","209","208","208","210","221","214","213","214"
"Simpson Satellite Facility","102","97","93","93","93","97","102","102","102","101"
"Washington Satellite Facility","102","72","70","70","69","69","68","68","68","70"
"Wilkinson Satellite Facility","102","51","50","50","50","50","50","50","50","51"
"Yazoo Satellite Facility","102","57","63","62","62","62","61","61","61","61"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,425","4,424","4,421","4,420","4,421","4,425","4,428","4,428","4,432"
"Alcorn County","300","300","300","300","300","299","299","298","297","300"
"Bolivar County","369","367","367","367","367","368","368","369","369","368"
"Carroll County","280","279","278","278","278","277","276","280","279","279"
"Chickasaw County","300","298","299","299","299","300","299","299","298","300"
"George County","280","280","278","276","276","276","280","279","279","279"
"Holmes County","280","279","280","280","280","280","280","280","280","279"
"Issaquena County","274","271","272","272","272","274","274","274","274","272"
"Jefferson County","280","281","280","280","280","279","279","280","280","280"
"Kemper County","355","353","355","355","355","355","355","355","355","355"
"Leake County","280","279","281","281","281","280","280","280","280","280"
"Marion County","280","280","280","280","280","280","280","280","280","281"
"Stone County","280","280","279","279","278","279","280","279","279","279"
"Washington County","300","299","296","296","296","296","296","295","298","298"
"Winston County","280","280","279","279","279","279","280","280","280","279"
"Yazoo County","300","299","300","299","299","299","299","300","300","303"
"PRIVATE PRISONS","5,972","4,386","4,387","4,387","4,386","4,388","4,397","4,399","4,393","4,397"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,200","1,200","1,200","1,200","1,200","1,199","1,201","1,198","1,200"
"Marshall County","1,000","996","996","996","996","997","997","997","996","999"
"Walnut Grove","1,500","1,296","1,297","1,297","1,296","1,297","1,306","1,307","1,305","1,305"
"Wilkinson County","1,000","894","894","894","894","894","895","894","894","893"
"RESTITUTION CENTERS","16","11","10","10","10","11","11","11","11","10"
"Greenwood","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","3","2","2","2","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,691","22,382","22,364","22,359","22,353","22,393","22,430","22,448","22,468","22,467"
