"Location","Capacity","10-Jan-15","11-Jan-15","12-Jan-15","13-Jan-15","14-Jan-15","15-Jan-15","16-Jan-15","17-Jan-15","18-Jan-15"
"Mississippi State Penitentiary","4,648","3,205","3,113","3,111","3,017","3,104","3,189","3,095","3,093","3,095"
"MSP TVC","108","0","90","89","88","85","88","84","84","78"
"Central Mississippi Correctional Facility","3,469","2,046","2,052","2,168","2,176","2,178","2,183","2,193","2,193","2,195"
"Youthful Offender Unit","58","33","33","33","33","33","33","33","33","33"
"CMCF TVC","158","109","104","98","95","92","92","97","97","92"
"South Mississippi Correctional Institution","3,282","2,489","2,490","2,585","2,582","2,579","2,565","2,558","2,558","2,557"
"SMCI TVC","0","97","97","96","93","89","88","87","87","87"
"County Jails","1,973","1,423","1,418","1,229","1,249","1,331","1,320","1,327","1,327","1,327"
"COMMUNITY WORK CENTERS","1,848","1,075","1,072","1,100","1,098","1,049","1,093","1,068","1,067","1,068"
"Alcorn Satellite Facility","92","65","65","66","66","66","65","65","65","65"
"Bolivar Satellite Facility","102","58","57","57","57","57","57","55","55","55"
"Forrest Satellite Facility","96","49","49","51","51","51","50","49","49","49"
"George Satellite Facility","102","46","46","50","50","50","50","50","50","50"
"Harrison Satellite Facility","102","49","48","48","48","48","48","45","44","45"
"Jackson Satellite Facility","102","46","46","49","48","48","49","48","48","48"
"Jefferson Satellite Facility","102","54","54","55","55","54","54","54","54","54"
"Leflore Satellite Facility","102","48","48","52","52","51","51","51","51","51"
"Madison Satellite Facility","102","49","49","49","49","49","49","49","49","49"
"Noxubee Satellite Facility","92","63","63","70","70","70","70","69","69","69"
"Pike Satellite Facility","93","81","81","82","81","82","81","80","80","80"
"Quitman Satellite Facility","93","45","45","46","46","0","46","46","46","46"
"Rankin Satellite Facility","260","178","178","180","180","179","179","170","170","170"
"Simpson Satellite Facility","102","99","99","98","98","97","97","95","95","95"
"Washington Satellite Facility","102","53","53","53","53","53","53","51","51","51"
"Wilkinson Satellite Facility","102","45","44","44","44","44","44","41","41","41"
"Yazoo Satellite Facility","102","47","47","50","50","50","50","50","50","50"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,163","4,161","4,158","4,154","4,142","4,136","4,131","4,131","4,130"
"Alcorn County","300","299","299","299","299","299","297","297","297","297"
"Bolivar County","369","363","363","362","361","357","357","357","357","357"
"Carroll County","280","265","265","265","265","265","265","265","265","264"
"Chickasaw County","300","299","299","299","299","299","299","299","299","299"
"George County","280","254","254","254","254","254","254","254","254","254"
"Holmes County","280","258","258","258","258","257","257","257","257","257"
"Issaquena County","274","245","245","245","245","243","243","243","243","243"
"Jefferson County","280","252","252","250","249","247","247","247","247","247"
"Kemper County","355","326","326","326","325","325","324","322","322","322"
"Leake County","280","250","250","250","250","249","247","247","247","247"
"Marion County","280","269","268","269","269","269","268","267","267","267"
"Stone County","280","274","274","274","274","274","274","273","273","273"
"Washington County","300","274","274","274","273","273","273","273","273","273"
"Winston County","280","273","273","272","272","271","271","271","271","271"
"Yazoo County","300","262","261","261","261","260","260","259","259","259"
"PRIVATE PRISONS","5,972","4,271","4,271","4,269","4,263","4,263","4,263","4,236","4,233","4,232"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,178","1,178","1,176","1,176","1,177","1,177","1,176","1,176","1,176"
"Marshall County","1,000","999","999","999","999","999","999","999","998","998"
"Walnut Grove","1,500","1,221","1,221","1,221","1,216","1,216","1,216","1,190","1,189","1,188"
"Wilkinson County","1,000","873","873","873","872","871","871","871","870","870"
"RESTITUTION CENTERS","16","11","11","11","10","11","11","11","11","11"
"Greenwood","6","4","4","4","3","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TOTALS","25,704","18,922","18,912","18,947","18,858","18,956","19,061","18,920","18,914","18,905"
