"Location","Capacity","14-Jan-04","15-Jan-04","16-Jan-04","17-Jan-04","18-Jan-04","19-Jan-04","20-Jan-04","21-Jan-04","22-Jan-04","23-Jan-04","24-Jan-04","25-Jan-04","26-Jan-04"
"MS STATE PENITENTIARY","5,768","5,590","5,573","5,556","5,557","5,556","5,551","5,606","5,616","5,613","5,603","5,604","5,604","5,616"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,215","3,257","3,233","3,235","3,234","3,232","3,173","3,162","3,193","3,207","3,207","3,206","3,219"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,110","2,099","2,129","2,127","2,126","2,125","2,121","2,121","2,110","2,104","2,103","2,101","2,093"
"COUNTY JAILS","2,176","1,908","1,912","1,895","1,895","1,895","1,901","1,904","1,920","1,907","1,902","1,902","1,902","1,891"
"COMMUNITY WORK CENTERS","1,816","1,526","1,531","1,454","1,454","1,454","1,546","1,545","1,544","1,549","1,481","1,480","1,480","1,546"
"Alcorn Satellite Facility","92","90","90","80","80","80","90","90","90","90","88","88","88","89"
"Bolivar Satellite Facility","102","81","81","75","75","75","81","81","81","81","78","78","78","84"
"Forrest Satellite Facility","96","96","96","92","92","92","96","96","96","94","90","90","90","93"
"George Satellite Facility","102","67","67","65","65","65","67","66","66","72","64","64","64","69"
"Harrison Satellite Facility","102","65","71","64","64","64","71","70","70","70","62","62","62","69"
"Jackson Satellite Facility","102","66","66","58","58","58","65","65","63","63","58","58","58","61"
"Jefferson Satellite Facility","102","72","71","67","67","67","72","72","70","71","69","69","69","76"
"Leflore Satellite Facility","102","102","102","92","92","92","101","101","101","101","94","94","94","102"
"Madison Satellite Facility","102","100","101","94","94","94","102","100","102","100","96","95","95","100"
"Noxubee Satellite Facility","92","91","91","87","87","87","91","91","92","90","86","87","87","90"
"Pike Satellite Facility","93","42","43","42","42","42","43","44","44","45","45","45","45","45"
"Quitman Satellite Facility","93","79","77","75","75","75","78","78","78","78","80","80","80","81"
"Rankin Satellite Facility","228","219","218","210","210","210","215","218","218","222","215","215","215","218"
"Simpson Satellite Facility","102","101","100","94","94","94","100","100","100","100","98","98","98","99"
"Washington Satellite Facility","102","89","89","94","94","94","101","101","101","100","91","90","90","98"
"Wilkinson Satellite Facility","102","69","69","71","71","71","72","72","72","72","71","71","71","72"
"Yazoo Satellite Facility","102","97","99","94","94","94","101","100","100","100","96","96","96","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,737","2,735","2,734","2,733","2,732","2,730","2,737","2,738","2,739","2,744","2,744","2,744","2,744"
"Bolivar County","250","248","249","248","248","248","248","249","249","248","250","250","250","250"
"Carroll County","250","248","248","248","248","248","248","249","249","249","249","249","249","248"
"George County (opened on May 10th)","250","248","247","247","247","246","246","250","250","250","250","250","250","250"
"Holmes County","250","249","250","250","250","250","249","249","249","249","249","249","249","249"
"Issaquena County","250","249","249","249","249","249","249","249","249","249","249","249","249","250"
"Jefferson County","250","248","247","248","248","248","248","247","246","249","250","250","250","250"
"Kemper County","250","249","249","249","249","249","249","250","250","249","248","248","248","248"
"Leake County","250","250","249","249","249","249","249","250","250","248","250","250","250","250"
"Marion County","250","250","250","250","250","250","250","248","248","250","250","250","250","250"
"Stone County","250","249","249","247","247","247","246","248","250","248","249","249","249","249"
"Winston County","250","249","248","249","248","248","248","248","248","250","250","250","250","250"
"PRIVATE PRISONS","3,750","3,447","3,442","3,443","3,441","3,437","3,434","3,442","3,451","3,445","3,442","3,443","3,441","3,442"
"East MS","1,000","731","731","731","731","729","729","730","730","728","727","727","726","726"
"Marshall County","1,000","993","992","989","989","988","988","990","989","989","989","988","988","986"
"Walnut Grove","750","734","732","732","732","732","732","738","739","737","735","737","737","741"
"Wilkinson County","1,000","989","987","991","989","988","985","984","993","991","991","991","990","989"
"RESITITUTION CENTERS","24","13","14","12","12","12","14","14","14","14","13","13","13","13"
"Greenwood","6","6","6","4","4","4","6","6","6","6","6","6","6","6"
"Hinds","12","4","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","2","2","2","2"
"GOVERNOR'S MANSION","6","0","0","0","0","0","0","0","0","0","5","5","5","5"
"E-CODE","","6","7","102","100","103","0","11","10","7","69","67","68","8"
"TOTALS","21,737","20,552","20,570","20,558","20,554","20,549","20,533","20,553","20,576","20,577","20,570","20,568","20,564","20,577"
