"Location","Capacity","13-Aug-03","14-Aug-03","15-Aug-03","16-Aug-03","17-Aug-03","18-Aug-03","19-Aug-03","20-Aug-03","21-Aug-03","22-Aug-03","23-Aug-03","24-Aug-03"
"MS STATE PENITENTIARY","5,768","5,743","5,718","5,687","5,682","5,680","5,670","5,692","5,690","5,717","5,705","5,705","5,703"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,107","3,099","3,099","3,102","3,100","3,127","3,129","3,057","3,051","3,027","3,025","3,025"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,120","2,123","2,115","2,115","2,115","2,101","2,098","2,126","2,124","2,127","2,126","2,126"
"COUNTY JAILS","2,176","2,010","1,993","2,018","2,018","2,018","2,003","2,033","2,026","2,027","2,020","2,020","2,020"
"COMMUNITY WORK CENTERS","1,816","1,424","1,450","1,435","1,433","1,433","1,459","1,457","1,460","1,459","1,450","1,449","1,449"
"Alcorn Satellite Facility","92","85","89","87","87","87","88","89","89","88","87","87","87"
"Bolivar Satellite Facility","102","65","70","69","69","69","69","69","69","68","64","63","63"
"Forrest Satellite Facility","96","74","78","89","89","89","87","87","96","96","95","95","95"
"George Satellite Facility","102","98","98","96","96","96","94","94","91","87","85","84","88"
"Harrison Satellite Facility","102","72","74","71","71","71","74","74","75","75","74","74","74"
"Jackson Satellite Facility","102","74","75","74","74","74","75","75","75","74","74","74","74"
"Jefferson Satellite Facility","102","76","82","78","78","78","80","79","79","79","77","78","78"
"Leflore Satellite Facility","102","89","91","89","89","89","90","90","90","90","89","89","89"
"Madison Satellite Facility","102","95","92","90","88","88","89","89","89","88","87","87","87"
"Noxubee Satellite Facility","92","70","70","69","69","69","69","69","68","68","71","71","71"
"Pike Satellite Facility","93","50","51","50","50","50","50","50","49","53","53","53","49"
"Quitman Satellite Facility","93","58","57","62","62","62","61","61","60","59","57","57","57"
"Rankin Satellite Facility","228","202","198","190","190","190","206","205","204","209","208","208","208"
"Simpson Satellite Facility","102","85","89","89","89","89","89","88","88","87","93","93","93"
"Washington Satellite Facility","102","85","88","86","86","86","87","87","87","87","87","87","87"
"Wilkinson Satellite Facility","102","56","57","52","52","52","55","55","55","55","54","54","54"
"Yazoo Satellite Facility","102","90","91","94","94","94","96","96","96","96","95","95","95"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,576","2,560","2,553","2,551","2,551","2,551","2,553","2,574","2,573","2,573","2,573","2,570"
"Bolivar County","250","231","216","214","214","214","212","212","235","231","233","233","233"
"Carroll County","250","234","233","233","233","233","235","234","234","234","236","236","235"
"George County (opened on May 10th)","250","233","233","235","235","235","234","234","233","235","233","233","233"
"Holmes County","250","235","235","235","235","235","235","235","235","235","235","235","235"
"Issaquena County","250","235","235","235","235","235","235","235","235","235","234","234","232"
"Jefferson County","250","235","235","234","234","234","234","234","235","235","235","235","235"
"Kemper County","250","234","234","233","231","231","231","231","231","231","230","230","230"
"Leake County","250","234","233","233","233","233","233","233","232","233","233","233","233"
"Marion County","250","236","236","232","232","232","232","235","234","234","234","234","234"
"Stone County","250","235","235","234","234","234","235","235","235","235","235","235","235"
"Winston County","250","234","235","235","235","235","235","235","235","235","235","235","235"
"PRIVATE PRISONS","3,750","3,461","3,443","3,457","3,457","3,454","3,457","3,447","3,449","3,429","3,444","3,444","3,444"
"East MS","1,000","728","728","728","728","727","726","726","725","725","724","724","724"
"Marshall County","1,000","990","977","986","986","985","990","986","983","983","991","991","991"
"Walnut Grove","750","750","747","748","748","748","747","746","749","729","736","736","736"
"Wilkinson County","1,000","993","991","995","995","994","994","989","992","992","993","993","993"
"RESITITUTION CENTERS","24","16","17","17","17","17","17","17","17","20","20","20","20"
"Greenwood","6","5","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","8","8","8","8","8","8","8","8","11","11","11","11"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","6","3","29","28","28","3","2","5","4","22","23","23"
"TOTALS","21,737","20,469","20,412","20,416","20,409","20,402","20,394","20,434","20,410","20,410","20,394","20,391","20,386"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","13-Aug-03","14-Aug-03","15-Aug-03","16-Aug-03","17-Aug-03","18-Aug-03","19-Aug-03","20-Aug-03","21-Aug-03","22-Aug-03","23-Aug-03","24-Aug-03"
