"Location","Capacity","11-Oct-01","12-Oct-01","13-Oct-01","14-Oct-01","15-Oct-01","16-Oct-01","17-Oct-01","18-Oct-01","19-Oct-01","20-Oct-01"
"MS STATE PENITENTIARY","5,612","5,223","5,218","5,213","5,211","5,231","5,230","5,239","5,243","5,262","5,261"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,017","2,988","2,986","2,985","2,988","2,980","2,976","3,000","3,030","3,030"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,055","2,078","2,077","2,077","2,072","2,092","2,094","2,077","2,057","2,057"
"COUNTY JAILS","2,122","1,620","1,609","1,608","1,609","1,619","1,627","1,648","1,637","1,600","1,598"
"COMMUNITY WORK CENTERS","1,320","1,235","1,212","1,212","1,211","1,248","1,247","1,249","1,241","1,196","1,196"
"Alcorn Satellite Facility","75","72","70","70","70","74","75","75","73","68","68"
"Bolivar Satellite Facility","75","73","69","69","69","75","75","75","74","71","71"
"Forrest Satellite Facility","75","74","73","73","73","74","74","74","74","71","71"
"George Satellite Facility","75","74","74","74","73","74","73","73","73","71","71"
"Harrison Satellite Facility","75","74","71","71","71","74","74","74","72","71","71"
"Jackson Satellite Facility","75","75","73","73","73","75","75","75","75","73","73"
"Jefferson Satellite Facility","75","74","74","74","74","75","75","75","73","66","66"
"Leflore Satellite Facility","75","72","69","69","69","75","75","75","75","69","69"
"Madison Satellite Facility","75","74","74","74","74","74","74","74","74","71","71"
"Noxubee Satellite Facility","75","70","67","67","67","74","74","74","74","71","71"
"Pike Satellite Facility","75","46","45","45","45","44","44","46","46","46","46"
"Quitman Satellite Facility","75","52","49","49","49","51","50","52","51","47","47"
"Rankin Satellite Facility","120","114","114","114","113","112","111","111","111","109","109"
"Simpson Satellite Facility","75","75","71","71","71","75","75","75","75","75","75"
"Washington Satellite Facility","75","69","75","75","75","75","75","74","74","71","71"
"Wilikinson Satellite Facility","75","74","74","74","74","74","73","72","72","71","71"
"Yazoo Satellite Facility","75","73","70","70","71","73","75","75","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,037","2,034","2,033","2,033","2,018","2,014","2,012","2,029","2,032","2,031"
"Bolivar County","250","207","206","206","206","206","206","206","206","206","205"
"Carroll County","250","199","199","199","199","199","198","198","199","199","199"
"Holmes County","250","199","200","200","200","199","200","200","200","199","199"
"Issaquena County","250","196","195","195","195","190","187","188","196","196","196"
"Jefferson County","250","212","212","211","211","210","210","210","212","212","212"
"Kemper County","250","224","223","223","223","221","221","221","226","226","226"
"Leake County","250","199","199","199","199","198","198","198","197","198","198"
"Marion County","250","200","200","200","200","199","199","199","199","199","199"
"Stone County","250","201","200","200","200","198","197","196","196","199","199"
"Winston County","250","200","200","200","200","198","198","196","198","198","198"
"PRIVATE PRISONS","3,900","3,505","3,506","3,504","3,504","3,502","3,499","3,498","3,503","3,503","3,502"
"Delta","1,000","842","842","842","842","842","842","842","841","841","841"
"East MS","500","499","499","498","498","498","498","497","496","496","496"
"Marshall County","1,000","870","869","869","869","867","866","864","862","862","862"
"Walnut Grove","500","407","411","411","411","411","409","409","412","412","412"
"Wilkinson County","900","887","885","884","884","884","884","886","892","892","891"
"RESITITUTION CENTERS","24","14","13","13","14","15","15","15","15","13","13"
"Greenwood","6","6","5","5","5","6","6","6","6","5","5"
"Hinds","12","8","8","8","8","8","8","8","8","7","7"
"Pascagoula","6","0","0","0","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","5","5"
"TOTALS","20,747","18,712","18,664","18,652","18,650","18,699","18,710","18,737","18,751","18,698","18,693"
"","","11-Oct-01","12-Oct-01","13-Oct-01","14-Oct-01","15-Oct-01","16-Oct-01","17-Oct-01","18-Oct-01","19-Oct-01","20-Oct-01"
