"Location","Capacity","1-Jan-03","2-Jan-03","3-Jan-03","4-Jan-03","5-Jan-03","6-Jan-03","7-Jan-03","8-Jan-03","9-Jan-03","10-Jan-03","11-Jan-03","12-Jan-03","13-Jan-03"
"MS STATE PENITENTIARY","5,711","5,505","5,504","5,494","5,493","5,491","5,491","5,500","5,519","5,528","5,519","5,518","5,515","5,530"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,048","3,068","3,087","3,091","3,091","3,082","3,067","3,026","3,031","3,017","3,018","3,017","3,006"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,109","2,125","2,112","2,112","2,112","2,119","2,114","2,132","2,126","2,136","2,135","2,132","2,121"
"COUNTY JAILS","2,121","2,008","1,993","1,964","1,964","1,964","2,004","2,030","2,036","2,026","2,030","2,030","2,030","2,028"
"COMMUNITY WORK CENTERS","1,350","1,290","1,285","1,287","1,285","1,285","1,287","1,288","1,280","1,281","1,160","1,162","1,162","1,287"
"Alcorn Satellite Facility","75","73","73","75","75","75","75","75","73","73","61","61","61","71"
"Bolivar Satellite Facility","75","69","69","68","68","68","68","68","72","71","68","68","68","72"
"Forrest Satellite Facility","75","75","75","74","74","74","74","74","74","72","66","66","66","73"
"George Satellite Facility","75","74","74","74","74","74","75","75","75","75","66","66","66","74"
"Harrison Satellite Facility","75","73","72","72","72","72","72","74","74","74","64","64","64","73"
"Jackson Satellite Facility","75","72","72","72","70","70","73","73","69","68","61","61","61","68"
"Jefferson Satellite Facility","75","67","62","62","62","62","62","62","62","63","63","63","63","74"
"Leflore Satellite Facility","75","75","75","75","75","75","75","75","72","74","69","69","69","75"
"Madison Satellite Facility","75","75","75","75","75","75","74","74","72","72","67","67","67","74"
"Noxubee Satellite Facility","75","72","72","74","74","74","74","74","73","73","62","62","62","73"
"Pike Satellite Facility","75","64","64","63","63","63","63","62","62","62","58","58","58","62"
"Quitman Satellite Facility","75","61","61","61","61","61","61","61","61","61","57","57","57","61"
"Rankin Satellite Facility","150","146","146","146","146","146","145","145","143","146","139","140","140","146"
"Simpson Satellite Facility","75","73","73","73","73","73","73","73","73","73","63","63","63","75"
"Washington Satellite Facility","75","73","73","73","73","73","73","73","75","74","65","66","66","73"
"Wilkinson Satellite Facility","75","75","75","75","75","75","75","75","75","75","68","68","68","72"
"Yazoo Satellite Facility","75","73","74","75","75","75","75","75","75","75","63","63","63","71"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,492","2,495","2,495","2,493","2,492","2,488","2,485","2,476","2,488","2,490","2,489","2,488","2,485"
"Bolivar County","250","227","227","227","226","226","225","227","227","227","227","227","226","226"
"Carroll County","250","228","228","228","228","228","228","226","220","225","225","225","225","225"
"George County (opened on May 10th)","250","226","227","226","226","226","225","225","219","227","227","227","227","226"
"Holmes County","250","225","227","226","226","226","226","226","225","225","227","227","227","227"
"Issaquena County","250","226","226","226","226","226","226","224","228","228","227","227","227","226"
"Jefferson County","250","226","227","227","227","227","227","225","226","225","227","227","227","227"
"Kemper County","250","227","227","226","225","224","224","225","225","225","224","224","224","224"
"Leake County","250","227","225","226","226","226","226","226","227","227","227","227","227","227"
"Marion County","250","227","227","227","227","227","227","227","226","226","226","225","225","224"
"Stone County","250","227","226","228","228","228","227","227","227","227","227","227","227","227"
"Winston County","250","226","228","228","228","228","227","227","226","226","226","226","226","226"
"PRIVATE PRISONS","3,750","3,411","3,410","3,415","3,415","3,415","3,412","3,410","3,405","3,395","3,393","3,392","3,392","3,389"
"Delta (Closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","727","727","725","725","725","725","725","723","723","723","723","723","722"
"Marshall County","1,000","978","977","985","985","985","984","983","981","983","983","982","982","980"
"Walnut Grove","750","715","714","713","713","713","711","710","709","699","697","697","697","697"
"Wilkinson County","1,000","991","992","992","992","992","992","992","992","990","990","990","990","990"
"RESITITUTION CENTERS","24","11","11","12","12","12","12","13","13","13","11","11","11","13"
"Greenwood","6","3","3","4","4","4","4","6","6","6","4","4","4","6"
"Hinds","12","7","7","7","7","7","7","6","6","6","6","6","6","6"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","5","5","5","6"
"TOTALS","21,025","19,880","19,897","19,872","19,871","19,868","19,901","19,913","19,893","19,894","19,761","19,760","19,752","19,865"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","1-Jan-03","2-Jan-03","3-Jan-03","4-Jan-03","5-Jan-03","6-Jan-03","7-Jan-03","8-Jan-03","9-Jan-03","10-Jan-03","11-Jan-03","12-Jan-03","13-Jan-03"
