"Location","Capacity","10-Oct-12","11-Oct-12","12-Oct-12","13-Oct-12","14-Oct-12","15-Oct-12","16-Oct-12","17-Oct-12","18-Oct-12"
"Mississippi State Penitentiary","4,648","3,386","3,379","3,376","3,374","3,373","3,371","3,369","3,374","3,370"
"Central Mississippi Correctional Facility","3,665","3,358","3,381","3,380","3,376","3,376","3,352","3,380","3,359","3,333"
"South Mississippi Correctional Institution","3,282","3,200","3,196","3,190","3,189","3,185","3,186","3,183","3,186","3,185"
"County Jails","1,816","2,166","2,188","2,203","2,203","2,203","2,199","2,194","2,243","2,266"
"COMMUNITY WORK CENTERS","1,848","1,563","1,550","1,533","1,529","1,527","1,539","1,540","1,542","1,507"
"Alcorn Satellite Facility","92","91","91","91","91","91","90","91","91","90"
"Bolivar Satellite Facility","102","79","77","75","75","75","76","76","76","75"
"Forrest Satellite Facility","96","84","82","79","79","79","83","83","83","82"
"George Satellite Facility","102","82","82","81","80","80","81","80","80","81"
"Harrison Satellite Facility","102","69","67","67","66","66","66","66","65","65"
"Jackson Satellite Facility","102","69","69","69","69","68","68","68","67","66"
"Jefferson Satellite Facility","102","83","83","88","88","88","87","87","84","84"
"Leflore Satellite Facility","102","82","82","82","82","82","80","80","82","79"
"Madison Satellite Facility","102","94","92","92","92","92","88","92","92","95"
"Noxubee Satellite Facility","92","81","80","77","77","77","80","80","80","77"
"Pike Satellite Facility","93","90","91","91","90","90","90","90","91","89"
"Quitman Satellite Facility","93","89","88","84","84","84","89","88","87","86"
"Rankin Satellite Facility","260","243","240","237","237","237","239","239","244","236"
"Simpson Satellite Facility","102","98","98","99","99","98","97","97","101","87"
"Washington Satellite Facility","102","80","81","78","78","78","81","79","80","78"
"Wilkinson Satellite Facility","102","55","54","51","50","50","51","51","46","44"
"Yazoo Satellite Facility","102","94","93","92","92","92","93","93","93","93"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,348","4,350","4,353","4,352","4,351","4,353","4,353","4,352","4,352"
"Alcorn County","300","298","297","297","297","297","298","301","301","299"
"Bolivar County","369","369","369","369","369","369","368","366","366","369"
"Carroll County","280","280","280","279","278","278","279","280","279","279"
"Chickasaw County","300","300","300","300","300","300","300","299","300","300"
"George County","280","274","276","279","279","279","280","280","280","279"
"Holmes County","280","279","279","280","280","280","280","280","279","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","276"
"Jefferson County","280","278","280","280","280","280","280","279","279","278"
"Kemper County","355","339","339","339","339","339","340","340","339","339"
"Leake County","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","280","279","279","279","279","280","280","279"
"Stone County","280","279","278","279","279","278","279","279","280","279"
"Washington County","300","239","238","238","238","238","238","237","236","235"
"Winston County","280","279","280","280","280","280","280","280","280","280"
"Yazoo County","300","300","300","300","300","300","298","298","299","300"
"PRIVATE PRISONS","5,972","4,122","4,122","4,120","4,119","4,118","4,167","4,167","4,168","4,170"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,188","1,192","1,192","1,191","1,191","1,189","1,190","1,191","1,183"
"Marshall County","1,000","1,000","999","999","999","998","1,000","1,000","1,000","999"
"Walnut Grove","1,500","1,028","1,025","1,025","1,025","1,025","1,074","1,071","1,071","1,084"
"Wilkinson County","1,000","906","906","904","904","904","904","906","906","904"
"RESTITUTION CENTERS","16","13","13","12","12","12","13","13","12","12"
"Greenwood","6","4","4","4","4","4","4","4","3","3"
"Hinds","6","5","5","4","4","4","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","2","28","28","27","6","6","6","7"
"TOTALS","25,691","22,162","22,181","22,195","22,182","22,172","22,186","22,205","22,242","22,202"
