"Location","Capacity","11-Aug-01","12-Aug-01","13-Aug-01","14-Aug-01","15-Aug-01","16-Aug-01","17-Aug-01","18-Aug-01","19-Aug-01","20-Aug-01"
"MS STATE PENITENTIARY","5,612","5,295","5,293","5,285","5,281","5,294","5,271","5,232","5,230","5,228","5,211"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,037","3,037","2,998","2,980","2,985","2,988","2,984","2,985","2,983","2,975"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,953","1,953","1,975","1,996","1,993","1,986","1,978","1,979","1,980","2,002"
"COUNTY JAILS","2,122","1,476","1,469","1,498","1,499","1,504","1,500","1,506","1,506","1,506","1,536"
"COMMUNITY WORK CENTERS","1,320","1,209","1,208","1,236","1,242","1,242","1,228","1,204","1,203","1,201","1,234"
"Alcorn Satellite Facility","75","70","70","73","74","74","71","74","74","74","75"
"Bolivar Satellite Facility","75","70","70","72","72","70","68","67","67","67","68"
"Forrest Satellite Facility","75","72","72","74","75","75","72","72","72","72","75"
"George Satellite Facility","75","74","74","75","73","73","72","67","66","65","68"
"Harrison Satellite Facility","75","74","73","73","74","74","75","72","72","72","74"
"Jackson Satellite Facility","75","70","70","74","74","74","73","68","68","68","75"
"Jefferson Satellite Facility","75","71","71","73","73","73","74","74","74","74","74"
"Leflore Satellite Facility","75","74","74","75","75","75","75","70","70","70","75"
"Madison Satellite Facility","75","72","72","74","73","73","72","70","71","71","72"
"Noxubee Satellite Facility","75","73","73","75","75","75","73","72","72","72","73"
"Pike Satellite Facility","75","59","58","61","58","59","58","57","57","56","57"
"Quitman Satellite Facility","75","44","44","46","46","46","46","42","42","42","46"
"Rankin Satellite Facility","120","108","108","110","109","109","106","109","109","108","109"
"Simpson Satellite Facility","75","70","70","67","71","71","74","71","70","71","73"
"Washington Satellite Facility","75","69","69","75","75","75","73","71","71","71","73"
"Wilikinson Satellite Facility","75","66","67","66","73","73","73","74","74","74","75"
"Yazoo Satellite Facility","75","73","73","73","72","73","73","74","74","74","72"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,013","2,013","2,005","2,001","2,002","2,020","2,025","2,025","2,025","2,025"
"Bolivar County","250","208","208","207","207","207","208","208","208","208","208"
"Carroll County","250","193","193","193","192","192","191","199","199","199","199"
"Holmes County","250","192","192","191","191","190","197","196","196","196","194"
"Issaquena County","250","194","194","194","194","199","197","195","195","195","199"
"Jefferson County","250","213","213","212","211","210","210","207","207","207","207"
"Kemper County","250","224","224","224","224","222","221","224","224","224","221"
"Leake County","250","201","201","200","200","200","200","200","200","200","200"
"Marion County","250","197","197","196","196","196","200","200","200","200","201"
"Stone County","250","193","193","192","191","191","199","199","199","199","199"
"Winston County","250","198","198","196","195","195","197","197","197","197","197"
"PRIVATE PRISONS","3,900","3,483","3,482","3,482","3,472","3,465","3,454","3,482","3,482","3,480","3,481"
"Delta","1,000","843","843","842","841","840","838","842","842","840","840"
"East MS","500","497","497","496","496","495","493","496","496","496","496"
"Marshall County","1,000","868","867","866","864","862","860","858","858","858","858"
"Walnut Grove","500","404","404","407","407","406","399","398","398","398","400"
"Wilkinson County","900","871","871","871","864","862","864","888","888","888","887"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","18","18","18","18"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","11","11","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,747","18,490","18,479","18,503","18,495","18,509","18,471","18,435","18,434","18,427","18,488"
