"Location","Capacity","19-Aug-12","20-Aug-12","21-Aug-12","22-Aug-12","23-Aug-12","24-Aug-12","25-Aug-12","26-Aug-12","27-Aug-12"
"Mississippi State Penitentiary","4,648","3,367","3,371","3,384","3,376","3,374","3,379","3,376","3,374","3,380"
"Central Mississippi Correctional Facility","3,665","3,190","3,191","3,207","3,216","3,216","3,215","3,215","3,214","3,299"
"South Mississippi Correctional Institution","3,282","3,203","3,209","3,214","3,220","3,209","3,188","3,188","3,186","3,183"
"County Jails","1,736","2,131","2,167","2,158","2,174","2,175","2,209","2,209","2,209","2,143"
"COMMUNITY WORK CENTERS","1,848","1,555","1,569","1,566","1,563","1,576","1,565","1,562","1,562","1,567"
"Alcorn Satellite Facility","92","90","91","90","90","88","87","86","86","90"
"Bolivar Satellite Facility","102","75","75","76","76","76","76","76","76","76"
"Forrest Satellite Facility","96","71","71","71","72","75","75","75","75","76"
"George Satellite Facility","102","85","85","84","85","85","84","84","84","84"
"Harrison Satellite Facility","102","68","69","68","66","66","66","66","66","67"
"Jackson Satellite Facility","102","73","75","75","75","75","75","74","75","76"
"Jefferson Satellite Facility","102","81","82","82","80","86","83","83","84","83"
"Leflore Satellite Facility","102","82","82","83","82","82","82","82","82","81"
"Madison Satellite Facility","102","90","90","91","90","91","89","89","88","88"
"Noxubee Satellite Facility","92","70","74","75","74","74","75","75","75","74"
"Pike Satellite Facility","93","92","93","92","93","93","93","93","93","93"
"Quitman Satellite Facility","93","89","90","90","89","89","92","91","91","92"
"Rankin Satellite Facility","260","240","243","245","244","243","241","241","240","241"
"Simpson Satellite Facility","102","101","99","99","102","101","101","101","101","98"
"Washington Satellite Facility","102","78","78","74","74","82","81","81","81","82"
"Wilkinson Satellite Facility","102","72","73","73","73","70","70","70","70","70"
"Yazoo Satellite Facility","102","98","99","98","98","100","95","95","95","96"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,351","4,349","4,355","4,357","4,355","4,349","4,341","4,334","4,334"
"Alcorn County","300","300","300","300","301","301","301","301","301","301"
"Bolivar County","369","369","369","369","368","368","368","367","367","367"
"Carroll County","280","278","278","280","280","280","280","280","280","280"
"Chickasaw County","300","299","298","298","300","300","300","300","299","298"
"George County","280","279","280","279","280","280","277","275","275","273"
"Holmes County","280","280","279","279","280","280","274","273","272","277"
"Issaquena County","274","273","272","274","274","274","274","273","273","273"
"Jefferson County","280","279","280","280","280","280","280","280","280","280"
"Kemper County","355","336","338","339","338","339","339","338","338","338"
"Leake County","280","280","278","280","279","279","280","280","279","279"
"Marion County","280","278","278","279","280","280","280","280","279","279"
"Stone County","280","280","280","280","278","277","279","279","278","278"
"Washington County","300","239","239","238","238","238","236","236","234","232"
"Winston County","280","280","279","279","280","280","280","279","279","280"
"Yazoo County","300","301","301","301","301","299","301","300","300","299"
"PRIVATE PRISONS","5,972","4,204","4,195","4,187","4,185","4,183","4,161","4,158","4,157","4,157"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,252","1,241","1,235","1,234","1,230","1,230","1,229","1,229","1,229"
"Marshall County","1,000","1,000","999","999","999","999","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,051","1,052","1,051","1,051","1,056","1,035","1,033","1,032","1,032"
"Wilkinson County","1,000","901","903","902","901","898","896","896","896","896"
"RESTITUTION CENTERS","16","13","13","13","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","24","7","6","7","10","20","18","18","0"
"TOTALS","25,611","22,038","22,071","22,090","22,111","22,111","22,099","22,080","22,067","22,076"
"","","19-Aug-12","20-Aug-12","21-Aug-12","22-Aug-12","23-Aug-12","24-Aug-12","25-Aug-12","26-Aug-12","27-Aug-12"
