"Location","Capacity","1-Aug-05","2-Aug-05","3-Aug-05","4-Aug-05","5-Aug-05","6-Aug-05","7-Aug-05","8-Aug-05","9-Aug-05","10-Aug-05","11-Aug-05","12-Aug-05","13-Aug-05"
"Mississippi State Penitentiary","4,630","4,521","4,478","4,431","4,463","4,462","4,458","4,457","4,472","4,487","4,483","4,473","4,466","4,463"
"Central Mississippi Correctional Facility","3,219","3,037","3,067","3,031","3,058","3,047","3,043","3,042","3,050","3,042","3,053","3,064","3,042","3,041"
"South Mississippi Correctional Institution","2,306","2,145","2,183","2,239","2,212","2,191","2,187","2,185","2,183","2,180","2,180","2,178","2,175","2,175"
"County Jails","2,240","1,735","1,710","1,721","1,681","1,677","1,677","1,677","1,644","1,611","1,611","1,647","1,685","1,685"
"COMMUNITY WORK CENTERS","1,816","1,688","1,691","1,712","1,709","1,675","1,672","1,670","1,702","1,700","1,697","1,694","1,662","1,658"
"Alcorn Satellite Facility","92","88","88","88","88","88","88","88","91","89","88","89","86","86"
"Bolivar Satellite Facility","102","101","101","101","101","100","100","100","102","102","101","101","96","96"
"Forrest Satellite Facility","96","88","88","96","95","95","95","95","95","94","94","94","88","88"
"George Satellite Facility","102","90","90","91","89","87","87","87","89","90","90","90","90","90"
"Harrison Satellite Facility","102","101","101","100","99","98","97","97","97","96","95","95","95","95"
"Jackson Satellite Facility","102","92","91","90","90","86","86","86","87","85","87","88","90","90"
"Jefferson Satellite Facility","102","90","90","90","88","87","86","86","87","87","87","87","86","86"
"Leflore Satellite Facility","102","99","100","100","99","98","98","98","101","101","101","101","99","99"
"Madison Satellite Facility","102","102","102","101","102","100","100","99","100","102","102","102","102","102"
"Noxubee Satellite Facility","92","89","89","89","90","87","87","87","90","91","91","90","89","88"
"Pike Satellite Facility","93","75","73","78","78","78","77","76","75","74","74","74","73","72"
"Quitman Satellite Facility","93","72","72","72","72","70","70","70","72","72","72","71","71","71"
"Rankin Satellite Facility","228","213","213","224","224","217","217","217","223","223","223","222","215","215"
"Simpson Satellite Facility","102","99","100","100","99","95","95","95","95","94","94","93","90","90"
"Washington Satellite Facility","102","99","99","98","98","96","96","96","102","101","101","101","100","99"
"Wilkinson Satellite Facility","102","93","93","93","95","92","92","92","95","98","98","97","95","95"
"Yazoo Satellite Facility","102","97","101","101","102","101","101","101","101","101","99","99","97","96"
"REGIONAL CORRECTIONAL FACILITIES","2,968","2,819","2,823","2,822","2,836","2,856","2,855","2,854","2,854","2,854","2,857","2,856","2,854","2,852"
"Bolivar County","294","247","248","247","249","249","249","249","248","245","249","249","250","249"
"Carroll County","250","249","249","250","250","250","250","250","250","250","250","250","248","247"
"George County","250","249","249","249","249","250","250","250","248","249","249","249","249","249"
"Holmes County","280","250","249","249","249","249","249","249","249","248","248","248","250","250"
"Issaquena County","274","268","273","272","270","272","272","271","272","272","272","272","271","271"
"Jefferson County","250","250","250","248","247","246","245","245","247","250","250","250","249","249"
"Kemper County","280","249","246","248","262","280","280","280","280","280","279","278","279","279"
"Leake County","280","280","280","280","280","280","280","280","280","280","280","280","280","280"
"Marion County","280","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Stone County","280","278","279","279","280","280","280","280","280","280","280","280","278","278"
"Winston County","250","249","250","250","250","250","250","250","250","250","250","250","250","250"
"PRIVATE PRISONS","5,100","4,872","4,872","4,869","4,850","4,856","4,855","4,853","4,854","4,851","4,857","4,855","4,865","4,864"
"Delta","972","968","966","967","967","967","967","967","966","965","967","967","968","968"
"East Mississippi","1,000","875","875","875","874","874","874","872","873","873","873","869","871","871"
"Marshall County","1,000","995","995","995","993","994","993","993","993","991","990","992","994","993"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","922","920","918","919","915","915","915","916","915","914","914","920","920"
"Wilkinson County","1,000","984","988","986","969","978","978","978","978","979","985","985","984","984"
"RESTITUTION CENTERS","16","10","9","9","9","9","9","9","11","11","11","11","13","13"
"Greenwood","6","3","2","2","2","2","2","2","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","6","5","4","45","45","44","7","8","8","8","41","43"
"TOTALS","22,301","20,839","20,844","20,844","20,827","20,823","20,806","20,796","20,782","20,749","20,762","20,791","20,808","20,799"
"","","1-Aug-05","2-Aug-05","3-Aug-05","4-Aug-05","5-Aug-05","6-Aug-05","7-Aug-05","8-Aug-05","9-Aug-05","10-Aug-05","11-Aug-05","12-Aug-05","13-Aug-05"
