"Location","Capacity","21-Sep-01","22-Sep-01","23-Sep-01","24-Sep-01","25-Sep-01","26-Sep-01","27-Sep-01","28-Sep-01","29-Sep-01","30-Sep-01"
"MS STATE PENITENTIARY","5,612","5,204","5,204","5,200","5,195","5,192","5,200","5,195","5,222","5,221","5,223"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,053","3,053","3,051","3,040","3,039","3,041","3,049","3,025","3,022","3,021"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,988","1,984","1,982","1,989","2,019","2,019","2,038","2,045","2,045","2,045"
"COUNTY JAILS","2,122","1,519","1,519","1,519","1,554","1,563","1,562","1,569","1,600","1,599","1,598"
"COMMUNITY WORK CENTERS","1,320","1,210","1,209","1,210","1,253","1,252","1,256","1,255","1,224","1,221","1,222"
"Alcorn Satellite Facility","75","72","72","72","74","75","75","75","73","73","73"
"Bolivar Satellite Facility","75","72","72","72","74","74","74","74","74","74","74"
"Forrest Satellite Facility","75","71","71","71","74","74","74","74","71","70","71"
"George Satellite Facility","75","71","71","71","73","73","73","73","72","72","72"
"Harrison Satellite Facility","75","73","73","73","74","74","74","74","74","74","74"
"Jackson Satellite Facility","75","68","68","68","73","73","73","72","72","72","72"
"Jefferson Satellite Facility","75","70","70","70","74","73","75","75","73","73","73"
"Leflore Satellite Facility","75","70","70","70","74","74","74","74","71","71","71"
"Madison Satellite Facility","75","67","66","66","66","67","71","71","69","69","69"
"Noxubee Satellite Facility","75","65","65","66","74","74","73","73","70","70","70"
"Pike Satellite Facility","75","52","52","52","55","53","51","51","50","50","50"
"Quitman Satellite Facility","75","56","56","56","55","55","55","55","55","55","54"
"Rankin Satellite Facility","120","116","116","116","118","117","116","116","114","114","115"
"Simpson Satellite Facility","75","72","72","72","75","75","75","75","71","71","71"
"Washington Satellite Facility","75","71","71","71","73","75","75","75","71","71","71"
"Wilikinson Satellite Facility","75","71","71","71","73","72","73","73","73","71","71"
"Yazoo Satellite Facility","75","73","73","73","74","74","75","75","71","71","71"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,032","2,032","2,031","2,034","2,031","2,033","2,034","2,032","2,032","2,031"
"Bolivar County","250","203","203","203","203","202","207","207","207","207","207"
"Carroll County","250","199","199","199","198","198","198","198","200","200","200"
"Holmes County","250","201","201","201","197","198","197","197","196","196","196"
"Issaquena County","250","199","199","198","198","198","198","198","198","198","198"
"Jefferson County","250","212","212","212","212","212","212","212","212","212","212"
"Kemper County","250","225","225","225","224","224","222","222","221","221","221"
"Leake County","250","201","201","201","201","200","200","200","200","200","199"
"Marion County","250","193","193","193","200","200","200","201","200","200","200"
"Stone County","250","198","198","198","200","199","199","199","198","198","198"
"Winston County","250","201","201","201","201","200","200","200","200","200","200"
"PRIVATE PRISONS","3,900","3,493","3,493","3,493","3,490","3,490","3,488","3,486","3,485","3,485","3,485"
"Delta","1,000","840","840","840","839","839","839","837","837","837","837"
"East MS","500","497","497","497","495","495","494","494","494","494","494"
"Marshall County","1,000","868","868","868","868","868","868","867","867","867","867"
"Walnut Grove","500","405","405","405","405","405","404","405","405","405","405"
"Wilkinson County","900","883","883","883","883","883","883","883","882","882","882"
"RESITITUTION CENTERS","24","13","13","13","18","18","18","18","18","18","18"
"Greenwood","6","4","4","4","6","6","6","6","6","6","6"
"Hinds","12","8","8","8","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,747","18,518","18,513","18,505","18,579","18,610","18,623","18,650","18,657","18,649","18,649"
