"Location","Capacity","19-Jan-17","20-Jan-17","21-Jan-17","22-Jan-17","23-Jan-17","24-Jan-17","25-Jan-17","26-Jan-17","27-Jan-17","28-Jan-17","29-Jan-17","30-Jan-17","31-Jan-17","Avg Population"
"Mississippi State Penitentiary","3590","3314","3320","3319","3318","3354","3352","3,363","3,373","3,362","3,362","3,362","3,369","3367","3352"
"Central Mississippi Correctional Facility","3,858","3,392","3,332","3,329","3,327","3,298","3,334","3,296","3,347","3,349","3,349","3,349","3,356","3414","3402"
"Youthful Offender Unit","58","26","26","26","26","24","24","24","24","24","24","24","25","25","26"
"CMCF TVC","","4","4","4","4","4","4","4","4","10","10","10","10","10","5"
"South Mississippi Correctional Institution","3,082","3,055","3,045","3,045","3,045","3,065","3,067","3,070","3,067","3,067","3,067","3,064","3,068","3068","3054"
"County Jails","1,781","1,288","1,337","1,337","1,337","1,289","1,265","1,241","1,229","1,236","1,236","1,236","1,249","1231","1192"
"COMMUNITY WORK CENTERS","1,348","950","947","941","937","942","936","944","939","943","942","936","938","932","960"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","70","70","70","70","69","69","68","68","68","68","68","68","68","67"
"George Satellite Facility","102","73","73","72","72","70","71","72","72","70","70","70","71","70","72"
"Harrison Satellite Facility","102","55","55","55","55","54","54","54","54","54","54","54","53","53","55"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","66","64","62","59","54","50","52","51","61","61","57","58","56","60"
"Leflore TVC Support","20","6","5","5","5","6","6","6","6","6","6","6","7","7","7"
"Madison Satellite Facility","102","78","82","82","82","82","74","74","73","72","72","72","72","69","78"
"Noxubee Satellite Facility","92","82","80","80","80","82","82","82","82","85","85","85","85","85","83"
"Pike Satellite Facility","93","79","79","79","79","86","86","86","86","83","83","83","83","86","81"
"Quitman Satellite Facility","93","51","49","49","49","49","55","58","57","57","56","56","56","58","53"
"Rankin Satellite Facility","182","161","158","158","158","162","162","162","160","157","157","157","157","157","161"
"Rankin RID","28","3","3","3","3","3","3","3","3","3","3","3","3","2","3"
"Flowood TVC","50","20","20","19","19","19","19","19","19","18","18","17","17","17","20"
"Simpson TVC","82","56","56","54","53","51","50","49","47","51","51","50","50","48","55"
"Simpson TVC Support","20","18","18","18","18","18","18","18","18","18","18","18","18","17","17"
"Washington Satellite Facility","102","73","74","74","74","75","75","75","75","75","75","75","75","74","74"
"Wilkinson Satellite Facility","102","59","61","61","61","62","62","66","68","65","65","65","65","65","61"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,770","3,778","3,777","3,777","3,780","3,782","3,800","3,788","3,790","3,787","3,784","3,784","3,776","3844"
"Alcorn County","300","239","240","240","240","240","240","239","239","239","239","239","239","239","239"
"Bolivar County","369","292","293","293","293","293","293","294","289","294","294","294","294","292","292"
"Carroll County","280","224","224","224","224","223","223","224","224","224","224","224","224","224","224"
"Chickasaw County","310","248","248","248","248","247","246","248","248","248","248","248","248","248","248"
"George County","280","221","217","217","217","223","223","224","224","224","224","223","222","222","230"
"Holmes County","280","219","222","222","222","222","222","223","223","223","223","223","222","221","222"
"Issaquena County","274","273","273","273","273","270","270","274","274","274","274","273","273","273","272"
"Jefferson County","280","275","275","275","275","273","270","280","279","276","276","276","280","279","274"
"Kemper County","355","343","352","352","352","350","350","352","352","348","348","348","349","349","349"
"Leake County","280","198","198","198","198","200","200","199","198","198","198","198","200","199","198"
"Marion County","280","256","256","255","255","255","255","253","252","252","252","252","251","251","257"
"Stone County","326","307","307","307","307","307","307","307","307","307","307","307","305","304","309"
"Washington County","300","213","213","213","213","213","223","223","222","222","222","221","220","220","216"
"Winston County","280","224","223","223","223","223","220","221","220","221","218","218","219","217","228"
"Yazoo County","300","238","237","237","237","241","240","239","237","240","240","240","238","238","241"
"PRIVATE PRISONS","5,972","3,060","3,057","3,056","3,057","3,068","3,066","3,080","3,077","3,076","3,076","3,076","3,072","3,071","3080"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,172","1,170","1,170","1,171","1,176","1,175","1,180","1,179","1,177","1,177","1,177","1,174","1,173","1177"
"Marshall County","1,000","996","999","998","998","1,000","999","999","999","1,000","1,000","1,000","1,000","1,000","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","892","888","888","888","892","892","901","899","899","899","899","898","898","897"
"RESTITUTION CENTERS","16","14","14","14","14","14","13","13","11","12","12","12","14","14","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","4","6","6","6","6","6","5"
"Pascagoula","4","4","4","4","4","4","3","3","3","2","2","2","4","4","3"
"TOTALS","24,199","18,873","18,860","18,848","18,842","18,838","18,843","18,835","18,859","18,869","18,865","18,853","18,885","18,908","18925"
"","","19-Jan-17","20-Jan-17","21-Jan-17","22-Jan-17","23-Jan-17","24-Jan-17","25-Jan-17","26-Jan-17","27-Jan-17","28-Jan-17","29-Jan-17","30-Jan-17","31-Jan-17","Avg Population"
