"Location","Capacity","1-Oct-05","2-Oct-05","3-Oct-05","4-Oct-05","5-Oct-05","6-Oct-05","7-Oct-05","8-Oct-05","9-Oct-05","10-Oct-05","11-Oct-05","12-Oct-05","13-Oct-05"
"Mississippi State Penitentiary","4,730","4,330","4,330","4,342","4,343","4,355","4,360","4,355","4,355","4,350","4,354","4,365","4,357","4,371"
"Central Mississippi Correctional Facility","3,219","3,212","3,210","3,164","3,185","3,202","3,206","3,189","3,189","3,187","3,186","3,166","3,166","3,149"
"South Mississippi Correctional Institution","2,306","2,217","2,216","2,228","2,206","2,204","2,202","2,215","2,215","2,214","2,223","2,221","2,243","2,220"
"County Jails","2,240","1,605","1,605","1,656","1,615","1,636","1,629","1,640","1,640","1,640","1,631","1,645","1,628","1,642"
"COMMUNITY WORK CENTERS","1,816","1,602","1,601","1,661","1,657","1,650","1,652","1,564","1,564","1,559","1,644","1,655","1,649","1,657"
"Alcorn Satellite Facility","92","85","85","92","92","92","92","87","87","87","92","92","90","92"
"Bolivar Satellite Facility","102","90","90","93","93","93","93","83","83","82","90","94","95","95"
"Forrest Satellite Facility","96","88","88","91","90","91","90","88","88","87","89","90","90","90"
"George Satellite Facility","102","84","84","92","91","90","89","84","84","84","90","89","89","88"
"Harrison Satellite Facility","102","87","87","88","88","88","94","89","89","89","93","92","91","91"
"Jackson Satellite Facility","102","91","91","93","92","91","91","85","85","84","89","87","87","87"
"Jefferson Satellite Facility","102","78","78","88","86","85","84","77","77","77","83","83","82","81"
"Leflore Satellite Facility","102","98","98","99","99","99","99","92","92","91","99","98","98","99"
"Madison Satellite Facility","102","87","86","87","86","84","88","83","83","84","87","96","94","95"
"Noxubee Satellite Facility","92","81","82","83","88","88","87","80","80","80","87","87","87","90"
"Pike Satellite Facility","93","74","72","73","73","70","69","67","67","67","69","69","69","69"
"Quitman Satellite Facility","93","81","81","84","83","83","81","77","77","77","82","82","81","81"
"Rankin Satellite Facility","228","215","215","225","224","224","224","219","219","217","221","221","220","218"
"Simpson Satellite Facility","102","101","101","101","101","101","101","96","96","96","99","100","98","98"
"Washington Satellite Facility","102","89","89","92","92","92","96","90","90","90","95","95","100","100"
"Wilkinson Satellite Facility","102","81","81","86","86","86","86","85","85","85","87","87","86","86"
"Yazoo Satellite Facility","102","92","93","94","93","93","88","82","82","82","92","93","92","97"
"REGIONAL CORRECTIONAL FACILITIES","3,028","2,985","2,983","2,968","2,987","2,985","2,988","2,990","2,990","2,984","2,982","2,984","2,986","3,001"
"Bolivar County","294","293","292","290","293","294","294","294","294","294","293","293","291","291"
"Carroll County","250","250","250","250","249","247","248","249","249","249","249","250","249","249"
"George County","280","279","279","278","279","279","279","280","280","279","277","277","278","280"
"Holmes County","280","278","278","278","280","280","279","278","278","278","278","278","280","280"
"Issaquena County","274","271","271","269","270","270","274","271","271","270","270","269","273","270"
"Jefferson County","250","250","250","248","248","250","250","250","250","250","249","249","248","249"
"Kemper County","280","280","280","278","280","280","280","279","279","278","280","280","280","279"
"Leake County","280","278","278","277","280","278","279","280","280","279","279","280","280","279"
"Marion County","280","277","277","277","280","279","277","280","280","280","279","280","280","280"
"Stone County","280","280","279","279","279","280","280","280","280","278","279","279","278","280"
"Winston County","280","249","249","244","249","248","248","249","249","249","249","249","249","264"
"PRIVATE PRISONS","5,100","4,853","4,852","4,843","4,851","4,844","4,841","4,844","4,844","4,842","4,840","4,836","4,834","4,837"
"Delta","972","967","967","962","967","965","969","970","970","970","967","967","971","970"
"East Mississippi","1,000","865","865","863","862","860","870","869","869","868","865","865","865","867"
"Marshall County","1,000","994","993","993","995","994","994","991","991","990","995","995","995","992"
"Tallahatchie County","128","128","128","128","128","128","127","127","127","127","127","128","128","128"
"Walnut Grove","1,000","916","916","915","914","913","908","916","916","916","916","913","910","910"
"Wilkinson County","1,000","983","983","982","985","984","973","971","971","971","970","968","965","970"
"RESTITUTION CENTERS","16","12","12","12","12","12","11","10","10","10","11","11","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","5","4","4","4","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","46","44","4","5","0","7","86","87","85","6","4","4","5"
"TOTALS","22,461","20,867","20,858","20,883","20,866","20,893","20,901","20,898","20,899","20,876","20,882","20,892","20,883","20,898"
