"Location","Capacity","10-Apr-13","11-Apr-13","12-Apr-13","13-Apr-13","14-Apr-13","15-Apr-13","16-Apr-13","17-Apr-13","18-Apr-13"
"Mississippi State Penitentiary","4,648","3,382","3,386","3,374","3,371","3,368","3,361","3,380","3,382","3,378"
"Central Mississippi Correctional Facility","3,557","3,253","3,287","3,286","3,284","3,283","3,311","3,318","3,340","3,348"
"Youthful Offender Unit","42","28","23","22","25","26","26","27","27","28"
"South Mississippi Correctional Institution 3,282","","3,223","3,223","3,224","3,220","3,223","3,225","3,223","3,231","3,236"
"County Jails","1,872","2,390","2,373","2,397","2,397","2,397","2,400","2,381","2,365","2,347"
"COMMUNITY WORK CENTERS","1,848","1,529","1,530","1,535","1,534","1,527","1,527","1,524","1,536","1,551"
"Alcorn Satellite Facility","92","91","89","91","91","91","91","92","92","92"
"Bolivar Satellite Facility","102","76","76","74","74","74","74","73","73","73"
"Forrest Satellite Facility","96","76","75","77","77","77","78","76","76","75"
"George Satellite Facility","102","81","80","78","78","76","75","74","80","80"
"Harrison Satellite Facility","102","78","78","79","79","79","80","81","82","82"
"Jackson Satellite Facility","102","76","79","77","77","75","74","73","74","75"
"Jefferson Satellite Facility","102","74","74","74","74","74","74","74","73","78"
"Leflore Satellite Facility","102","79","78","76","75","75","76","76","76","81"
"Madison Satellite Facility","102","84","84","89","89","89","89","89","89","91"
"Noxubee Satellite Facility","92","80","79","79","79","79","79","79","79","78"
"Pike Satellite Facility","93","90","90","88","88","88","87","86","91","93"
"Quitman Satellite Facility","93","84","89","88","88","88","88","86","84","84"
"Rankin Satellite Facility","260","233","235","235","235","233","231","237","237","237"
"Simpson Satellite Facility","102","96","98","95","95","95","96","96","97","97"
"Washington Satellite Facility","102","73","73","83","83","82","82","82","82","82"
"Wilkinson Satellite Facility","102","68","69","69","69","69","70","68","69","71"
"Yazoo Satellite Facility","102","90","84","83","83","83","83","82","82","82"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,431","4,426","4,428","4,425","4,422","4,426","4,425","4,426","4,419"
"Alcorn County","300","300","300","300","300","300","300","300","300","298"
"Bolivar County","369","369","368","368","368","368","367","367","370","370"
"Carroll County","280","279","279","279","278","278","279","280","280","280"
"Chickasaw County","300","300","300","300","299","299","299","298","298","300"
"George County","280","280","280","279","279","278","279","279","279","278"
"Holmes County","280","280","280","280","280","280","279","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","279","279","280","280","280","280","280","279","279"
"Kemper County","355","353","355","354","353","353","354","354","352","349"
"Leake County","280","282","275","277","277","277","279","280","280","279"
"Marion County","280","280","279","279","279","279","280","280","280","277"
"Stone County","280","279","280","280","280","280","280","280","280","280"
"Washington County","300","298","298","298","298","297","297","295","294","294"
"Winston County","280","279","280","280","280","280","280","279","281","281"
"Yazoo County","300","299","299","300","300","299","299","299","299","300"
"PRIVATE PRISONS","5,972","4,314","4,318","4,324","4,322","4,321","4,322","4,322","4,317","4,303"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,121","1,123","1,125","1,124","1,124","1,124","1,126","1,122","1,116"
"Marshall County","1,000","997","997","999","998","998","998","998","997","996"
"Walnut Grove","1,500","1,291","1,293","1,295","1,295","1,295","1,297","1,298","1,300","1,296"
"Wilkinson County","1,000","905","905","905","905","904","903","900","898","895"
"RESTITUTION CENTERS","16","17","18","27","28","28","22","21","22","20"
"Greenwood","6","4","4","4","4","4","4","3","3","3"
"Hinds","6","6","6","6","6","6","4","4","4","4"
"Pascagoula","4","1","1","1","1","1","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","7","16","17","17","10","10","11","9"
"TOTALS","25,681","22,567","22,584","22,617","22,606","22,593","22,620","22,621","22,646","22,640"
"","","10-Apr-13","11-Apr-13","12-Apr-13","13-Apr-13","14-Apr-13","15-Apr-13","16-Apr-13","17-Apr-13","18-Apr-13"
