"Location","Capacity","27-Dec-04","28-Dec-04","29-Dec-04","30-Dec-04","31-Dec-04"
"MS STATE PENITENTIARY","4,760","4,623","4,624","4,638","4,624","4,621"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,043","3,063","3,052","3,063","3,063"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,182","2,184","2,169","2,164","2,164"
"COUNTY JAILS","2,295","1,927","1,919","1,902","1,872","1,872"
"COMMUNITY WORK CENTERS","1,816","1,713","1,712","1,727","1,729","1,728"
"Alcorn Satellite Facility","92","89","87","87","89","89"
"Bolivar Satellite Facility","102","101","100","101","101","101"
"Forrest Satellite Facility","96","96","96","95","96","96"
"George Satellite Facility","102","101","100","101","99","99"
"Harrison Satellite Facility","102","99","99","102","101","101"
"Jackson Satellite Facility","102","97","99","99","98","99"
"Jefferson Satellite Facility","102","99","99","102","102","101"
"Leflore Satellite Facility","102","100","100","102","101","101"
"Madison Satellite Facility","102","102","102","102","102","102"
"Noxubee Satellite Facility","92","91","90","91","90","90"
"Pike Satellite Facility","93","61","61","60","63","63"
"Quitman Satellite Facility","93","73","74","73","76","76"
"Rankin Satellite Facility","228","206","204","209","207","207"
"Simpson Satellite Facility","102","102","101","101","102","102"
"Washington Satellite Facility","102","98","100","101","102","102"
"Wilkinson Satellite Facility","102","101","100","100","100","100"
"Yazoo Satellite Facility","102","97","100","101","100","99"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,735","2,725","2,735","2,740","2,736"
"Bolivar County","250","247","246","244","246","246"
"Carroll County","250","250","250","250","250","250"
"George County","250","250","247","250","250","249"
"Holmes County","250","249","247","247","250","249"
"Issaquena County","250","245","246","245","245","245"
"Jefferson County","250","248","248","249","250","249"
"Kemper County","250","250","250","250","250","249"
"Leake County","250","249","249","250","250","250"
"Marion County","250","249","249","250","250","250"
"Stone County","250","248","245","250","249","249"
"Winston County","250","250","248","250","250","250"
"PRIVATE PRISONS","5,088","4,773","4,773","4,747","4,752","4,753"
"Delta","960","952","952","949","955","955"
"East MS","1,000","873","872","871","870","870"
"Marshall County","1,000","992","992","992","993","993"
"Tallahatchie County","128","128","128","127","127","127"
"Walnut Grove","1,000","843","843","821","824","825"
"Wilkinson County","1,000","985","986","987","983","983"
"RESITITUTION CENTERS","18","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","","6","6","8","13","11"
"TOTALS","22,180","21,020","21,024","20,996","20,975","20,966"
"","","27-Dec-04","28-Dec-04","29-Dec-04","30-Dec-04","31-Dec-04"
