"Location","Capacity","1-Jan-15","2-Jan-15","3-Jan-15","4-Jan-15","5-Jan-15","6-Jan-15","7-Jan-15","8-Jan-15","9-Jan-15"
"Mississippi State Penitentiary","4,648","3,109","3,104","3,111","3,106","3,102","3,093","3,177","3,096","3,112"
"MSP TVC","108","99","97","89","94","94","88","0","96","93"
"Central Mississippi Correctional Facility","3,469","2,173","2,176","2,181","2,182","2,207","2,226","2,215","2,116","2,156"
"Youthful Offender Unit","58","34","34","34","34","34","34","35","34","33"
"CMCF TVC","158","122","121","119","110","106","100","100","100","109"
"South Mississippi Correctional Institution","3,282","2,532","2,528","2,530","2,535","2,523","2,521","2,528","2,493","2,489"
"SMCI TVC","0","94","94","94","88","87","83","81","97","97"
"County Jails","1,973","1,389","1,390","1,387","1,380","1,364","1,358","1,340","1,409","1,314"
"COMMUNITY WORK CENTERS","1,848","1,111","1,109","1,106","1,117","1,096","1,090","1,084","1,085","1,076"
"Alcorn Satellite Facility","92","62","62","62","62","61","62","63","63","65"
"Bolivar Satellite Facility","102","56","56","56","56","56","58","58","58","58"
"Forrest Satellite Facility","96","48","48","48","48","49","49","49","52","49"
"George Satellite Facility","102","50","49","48","48","48","44","44","44","46"
"Harrison Satellite Facility","102","46","46","46","46","47","47","48","48","49"
"Jackson Satellite Facility","102","48","48","48","48","47","48","48","48","46"
"Jefferson Satellite Facility","102","51","51","51","51","55","55","55","55","54"
"Leflore Satellite Facility","102","55","55","55","55","54","54","52","53","49"
"Madison Satellite Facility","102","55","55","55","55","47","44","44","43","49"
"Noxubee Satellite Facility","92","75","74","74","74","72","71","72","72","63"
"Pike Satellite Facility","93","86","86","86","86","88","86","82","82","81"
"Quitman Satellite Facility","93","50","50","50","49","49","50","49","46","45"
"Rankin Satellite Facility","260","184","184","182","194","179","178","176","177","178"
"Simpson Satellite Facility","102","100","100","100","100","97","97","96","95","99"
"Washington Satellite Facility","102","49","49","49","49","53","53","53","53","53"
"Wilkinson Satellite Facility","102","44","44","44","44","43","43","44","45","45"
"Yazoo Satellite Facility","102","52","52","52","52","51","51","51","51","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,182","4,179","4,176","4,173","4,166","4,153","4,149","4,158","4,163"
"Alcorn County","300","298","298","298","297","297","297","296","298","299"
"Bolivar County","369","357","357","357","357","356","356","356","361","363"
"Carroll County","280","266","266","266","266","266","265","266","264","265"
"Chickasaw County","300","300","300","300","300","298","298","297","300","299"
"George County","280","259","258","256","256","257","257","256","254","254"
"Holmes County","280","261","261","260","260","260","259","257","257","258"
"Issaquena County","274","250","250","250","250","247","246","246","243","245"
"Jefferson County","280","254","254","254","254","254","253","251","250","252"
"Kemper County","355","320","320","320","320","319","313","316","318","326"
"Leake County","280","258","258","258","258","257","257","253","250","250"
"Marion County","280","272","272","272","272","272","271","270","270","269"
"Stone County","280","273","272","272","272","272","272","274","274","274"
"Washington County","300","272","272","272","271","273","271","271","271","274"
"Winston County","280","273","272","272","271","271","267","269","273","273"
"Yazoo County","300","269","269","269","269","267","271","271","275","262"
"PRIVATE PRISONS","5,972","4,268","4,265","4,265","4,262","4,248","4,247","4,254","4,258","4,272"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,162","1,162","1,162","1,161","1,157","1,161","1,174","1,176","1,178"
"Marshall County","1,000","998","998","998","998","998","996","996","996","999"
"Walnut Grove","1,500","1,230","1,227","1,227","1,226","1,217","1,214","1,209","1,210","1,222"
"Wilkinson County","1,000","878","878","878","877","876","876","875","876","873"
"RESTITUTION CENTERS","16","9","9","9","9","9","9","9","11","11"
"Greenwood","6","3","3","3","3","3","3","3","4","4"
"Hinds","6","3","3","3","3","3","3","3","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TOTALS","25,704","19,122","19,106","19,101","19,090","19,036","19,002","18,972","18,953","18,925"
