"Location","Capacity","1-Feb-05","2-Feb-05","3-Feb-05","4-Feb-05","5-Feb-05","6-Feb-05","7-Feb-05","8-Feb-05","9-Feb-05","10-Feb-05","11-Feb-05","12-Feb-05"
"Mississippi State Penitentiary","4,744","4,510","4,514","4,502","4,492","4,489","4,485","4,490","4,476","4,470","4,464","4,451","4,448"
"Central Mississippi Correctional Facility","3,233","3,082","3,057","3,050","3,047","3,047","3,046","3,055","3,045","3,051","3,035","3,017","3,017"
"South Mississippi Correctional Institution","2,214","2,123","2,119","2,136","2,145","2,145","2,145","2,145","2,158","2,143","2,138","2,125","2,123"
"County Jails","2,327","1,813","1,855","1,857","1,874","1,874","1,874","1,874","1,897","1,911","1,923","1,941","1,941"
"COMMUNITY WORK CENTERS","1,816","1,705","1,706","1,705","1,644","1,643","1,641","1,692","1,680","1,682","1,691","1,648","1,644"
"Alcorn Satellite Facility","92","90","91","91","87","87","87","90","90","89","89","82","82"
"Bolivar Satellite Facility","102","101","100","99","97","97","97","96","93","93","100","96","96"
"Forrest Satellite Facility","96","94","94","94","93","93","93","91","95","96","96","94","94"
"George Satellite Facility","102","101","101","99","94","94","94","97","96","95","89","95","95"
"Harrison Satellite Facility","102","101","98","100","99","98","97","98","95","94","90","84","84"
"Jackson Satellite Facility","102","99","100","101","96","96","96","101","98","98","98","93","93"
"Jefferson Satellite Facility","102","100","99","100","93","93","93","100","100","102","102","102","101"
"Leflore Satellite Facility","102","100","100","100","99","99","99","101","101","101","102","96","96"
"Madison Satellite Facility","102","101","101","102","99","99","99","101","101","100","102","100","99"
"Noxubee Satellite Facility","92","90","90","91","87","87","87","91","91","91","90","84","84"
"Pike Satellite Facility","93","65","64","64","63","63","63","63","62","63","66","65","65"
"Quitman Satellite Facility","93","71","71","71","64","64","63","70","72","74","74","73","73"
"Rankin Satellite Facility","228","195","196","196","190","190","190","197","192","194","195","189","189"
"Simpson Satellite Facility","102","98","97","98","94","94","94","96","95","95","97","97","96"
"Washington Satellite Facility","102","102","102","102","99","99","99","101","101","100","99","99","98"
"Wilkinson Satellite Facility","102","99","101","101","100","100","100","101","97","97","101","100","100"
"Yazoo Satellite Facility","102","98","101","96","90","90","90","98","101","100","101","99","99"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,726","2,728","2,739","2,742","2,739","2,738","2,740","2,735","2,741","2,741","2,739","2,733"
"Bolivar County","250","246","248","249","248","247","247","249","248","248","248","250","249"
"Carroll County","250","250","250","250","248","248","248","247","249","249","250","248","248"
"George County","250","247","248","247","249","248","248","248","248","250","250","247","246"
"Holmes County","250","249","249","248","249","249","248","250","250","250","250","250","250"
"Issaquena County","250","249","248","249","249","249","249","248","247","245","245","244","242"
"Jefferson County","250","237","237","248","251","250","250","250","250","250","250","250","249"
"Kemper County","250","250","250","250","249","249","249","250","247","250","250","250","250"
"Leake County","250","250","250","249","250","250","250","250","250","250","250","250","250"
"Marion County","250","250","249","250","250","250","250","249","249","250","249","250","250"
"Stone County","250","250","250","250","250","250","250","250","249","250","250","250","250"
"Winston County","250","248","249","249","249","249","249","249","248","249","249","250","249"
"PRIVATE PRISONS","5,088","4,750","4,759","4,750","4,753","4,752","4,751","4,739","4,739","4,748","4,752","4,751","4,748"
"Delta","960","951","959","957","956","955","954","952","952","957","957","959","959"
"East Mississippi","1,000","874","875","876","875","875","875","875","875","875","874","874","874"
"Marshall County","1,000","989","994","995","995","995","995","990","989","991","993","993","992"
"Tallahatchie County","128","127","127","127","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","823","815","814","819","819","819","819","816","818","823","822","821"
"Wilkinson County","1,000","986","989","981","980","980","980","975","979","979","977","975","974"
"RESITITUTION CENTERS","18","14","14","14","12","12","12","15","14","14","14","14","14"
"Greenwood","6","5","5","5","5","5","5","6","6","6","6","6","6"
"Hinds","6","5","5","5","4","4","4","5","5","5","5","5","5"
"Pascagoula","6","4","4","4","3","3","3","4","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","7","5","5","60","60","60","3","5","4","4","55","58"
"TOTALS","22,196","20,735","20,762","20,763","20,774","20,766","20,757","20,758","20,754","20,769","20,767","20,746","20,731"
