"Location","Capacity","1-Jul-11","2-Jul-11","3-Jul-11","4-Jul-11","5-Jul-11","6-Jul-11","7-Jul-11","8-Jul-11","9-Jul-11"
"Mississippi State Penitentiary","3,356","3,092","3,086","3,085","3,083","3,087","3,084","3,079","3,086","3,085"
"Central Mississippi Correctional Facility","3,449","3,243","3,241","3,241","3,238","3,251","3,269","3,283","3,291","3,287"
"South Mississippi Correctional Institution","3,204","3,134","3,131","3,130","3,129","3,137","3,148","3,143","3,132","3,130"
"County Jails","1,629","1,820","1,820","1,820","1,834","1,805","1,773","1,785","1,795","1,795"
"COMMUNITY WORK CENTERS","1,848","1,585","1,584","1,584","1,584","1,571","1,575","1,570","1,538","1,538"
"Alcorn Satellite Facility","92","86","86","86","86","85","85","85","77","77"
"Bolivar Satellite Facility","102","88","87","87","87","86","86","85","82","82"
"Forrest Satellite Facility","96","81","82","82","82","81","81","80","79","79"
"George Satellite Facility","102","76","76","76","76","77","76","76","81","81"
"Harrison Satellite Facility","102","90","90","90","90","89","89","88","88","88"
"Jackson Satellite Facility","102","87","87","87","87","87","86","86","86","86"
"Jefferson Satellite Facility","102","76","76","76","76","76","76","76","77","77"
"Leflore Satellite Facility","102","91","91","91","91","91","90","89","87","87"
"Madison Satellite Facility","102","94","94","94","94","90","88","88","89","89"
"Noxubee Satellite Facility","92","88","88","88","88","88","89","89","85","85"
"Pike Satellite Facility","93","84","84","84","84","84","84","84","84","84"
"Quitman Satellite Facility","93","82","82","82","82","81","92","92","87","88"
"Rankin Satellite Facility","260","197","197","197","197","196","195","195","192","192"
"Simpson Satellite Facility","102","102","101","101","101","97","97","96","94","93"
"Washington Satellite Facility","102","96","96","96","96","96","95","95","89","89"
"Wilkinson Satellite Facility","102","78","78","78","78","78","77","77","76","76"
"Yazoo Satellite Facility","102","89","89","89","89","89","89","89","85","85"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,280","3,278","3,275","3,274","3,279","3,277","3,274","3,278","3,277"
"Alcorn County","300","248","248","248","248","248","250","250","250","250"
"Bolivar County","294","234","234","234","234","234","235","235","235","234"
"Carroll County","280","224","224","224","224","224","223","223","224","224"
"Chickasaw County","300","249","248","248","248","248","249","248","248","248"
"George County","280","224","224","224","224","224","224","221","220","220"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","218","217","217","217","219","220","220","220","220"
"Jefferson County","280","224","224","223","223","223","223","223","225","225"
"Kemper County","355","284","284","282","282","285","285","285","285","285"
"Leake County","280","225","225","225","225","225","224","224","224","224"
"Marion County","280","224","224","224","224","224","224","225","225","225"
"Stone County","280","224","224","224","224","224","223","223","224","224"
"Winston County","280","225","225","225","224","224","223","223","224","224"
"Yazoo County","300","253","253","253","253","253","250","250","250","250"
"PRIVATE PRISONS","5,972","5,127","5,125","5,121","5,113","5,120","5,122","5,124","5,112","5,111"
"Delta","972","904","904","903","901","903","902","900","897","897"
"East Mississippi","1,500","1,354","1,354","1,354","1,351","1,347","1,349","1,351","1,351","1,351"
"Marshall County","1,000","1,000","1,000","1,000","1,000","998","998","1,000","999","998"
"Walnut Grove","1,500","981","979","978","976","988","989","986","978","978"
"Wilkinson County","1,000","888","888","886","885","884","884","887","887","887"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","10","8","8"
"Greenwood","6","6","6","6","6","6","6","6","4","4"
"Hinds","6","6","6","6","6","6","6","4","4","4"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","9","9","9","8","8","6","7","53","7"
"TOTALS","23,543","21,307","21,291","21,282","21,280","21,275","21,271","21,280","21,298","21,243"
"","","1-Jul-11","2-Jul-11","3-Jul-11","4-Jul-11","5-Jul-11","6-Jul-11","7-Jul-11","8-Jul-11","9-Jul-11"
