"Location","Capacity","1-Oct-14","2-Oct-14","3-Oct-14","4-Oct-14","5-Oct-14","6-Oct-14","7-Oct-14","8-Oct-14","9-Oct-14"
"Mississippi State Penitentiary","4,648","3,323","3,313","3,309","3,307","3,306","3,294","3,304","3,305","3,304"
"Central Mississippi Correctional Facility","3,469","2,336","2,338","2,329","2,331","2,332","2,338","2,321","2,324","2,324"
"Youthful Offender Unit","58","33","33","33","33","33","33","32","35","35"
"CMCF TVC","350","110","111","110","109","108","108","110","111","111"
"South Mississippi Correctional Institution","3,282","3,071","3,064","3,067","3,066","3,064","3,009","2,968","2,917","2,917"
"County Jails","1,973","1,622","1,627","1,657","1,656","1,657","1,640","1,660","1,615","1,608"
"COMMUNITY WORK CENTERS","1,848","1,093","1,085","1,075","1,075","1,074","1,085","1,077","1,071","1,067"
"Alcorn Satellite Facility","92","74","70","70","70","70","70","74","74","74"
"Bolivar Satellite Facility","102","46","46","48","48","48","48","48","48","48"
"Forrest Satellite Facility","96","50","49","49","49","48","49","49","49","49"
"George Satellite Facility","102","54","56","56","56","56","53","53","52","53"
"Harrison Satellite Facility","102","41","42","46","46","46","46","46","45","45"
"Jackson Satellite Facility","102","46","46","46","46","46","49","49","48","47"
"Jefferson Satellite Facility","102","52","50","47","47","47","48","47","47","47"
"Leflore Satellite Facility","102","48","47","45","44","44","46","46","48","49"
"Madison Satellite Facility","102","50","50","52","52","52","54","53","52","52"
"Noxubee Satellite Facility","92","73","72","70","70","70","71","68","68","68"
"Pike Satellite Facility","93","88","87","83","83","83","84","82","82","81"
"Quitman Satellite Facility","93","60","59","59","59","59","59","59","59","58"
"Rankin Satellite Facility","260","175","175","171","172","172","172","171","171","171"
"Simpson Satellite Facility","102","101","102","100","100","100","102","101","100","99"
"Washington Satellite Facility","102","45","45","45","45","45","45","43","43","43"
"Wilkinson Satellite Facility","102","44","44","44","44","44","44","43","40","40"
"Yazoo Satellite Facility","102","46","45","44","44","44","45","45","45","43"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,313","4,318","4,309","4,306","4,305","4,304","4,319","4,332","4,310"
"Alcorn County","300","294","300","300","300","300","300","297","297","297"
"Bolivar County","369","365","365","365","365","365","367","367","366","364"
"Carroll County","280","280","279","279","279","279","277","276","277","276"
"Chickasaw County","300","298","298","299","299","299","298","300","299","298"
"George County","280","276","275","276","276","276","274","276","278","278"
"Holmes County","280","269","270","272","272","272","272","271","271","271"
"Issaquena County","274","256","268","263","263","263","262","265","264","264"
"Jefferson County","280","263","260","260","260","260","260","264","263","259"
"Kemper County","355","355","355","354","354","354","354","351","350","343"
"Leake County","280","257","250","251","251","251","253","264","276","274"
"Marion County","280","279","279","279","279","279","279","280","280","278"
"Stone County","280","278","278","278","278","278","277","276","278","278"
"Washington County","300","280","279","279","279","279","278","278","277","277"
"Winston County","280","275","276","269","268","267","266","267","269","266"
"Yazoo County","300","288","286","285","283","283","287","287","287","287"
"PRIVATE PRISONS","5,972","4,048","4,043","3,994","3,994","3,991","4,049","4,103","4,145","4,185"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,196","1,196","1,193","1,193","1,191","1,191","1,190","1,189","1,188"
"Marshall County","1,000","996","997","997","997","997","997","1,000","1,000","1,000"
"Walnut Grove","1,500","1,019","1,016","996","996","995","1,052","1,105","1,152","1,194"
"Wilkinson County","1,000","837","834","808","808","808","809","808","804","803"
"RESTITUTION CENTERS","16","6","6","5","5","5","6","6","4","4"
"Greenwood","6","3","3","2","2","2","2","4","2","2"
"Hinds","6","2","2","2","2","2","3","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","","","","","","0","0","0","0"
"TOTALS","25,710","19,955","19,938","19,888","19,882","19,875","19,866","19,900","19,859","19,865"
