"Location","Capacity","1-Jul-03","2-Jul-03","3-Jul-03","4-Jul-03","5-Jul-03","6-Jul-03","7-Jul-03","8-Jul-03","9-Jul-03","10-Jul-03","11-Jul-03","12-Jul-03","13-Jul-03"
"MS STATE PENITENTIARY","5,768","5,674","5,698","5,691","5,688","5,688","5,686","5,701","5,669","5,674","5,646","5,637","5,633","5,633"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,172","3,159","3,164","3,161","3,162","3,161","3,159","3,160","3,155","3,152","3,136","3,136","3,136"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,185","2,184","2,175","2,172","2,172","2,170","2,168","2,163","2,158","2,187","2,168","2,164","2,166"
"COUNTY JAILS","2,176","2,016","2,006","2,017","2,018","2,018","2,018","2,036","2,041","2,055","2,057","2,064","2,064","2,064"
"COMMUNITY WORK CENTERS","1,816","1,443","1,437","1,437","1,436","1,435","1,434","1,427","1,402","1,411","1,407","1,330","1,330","1,329"
"Alcorn Satellite Facility","92","91","90","89","89","89","89","86","86","86","86","83","83","83"
"Bolivar Satellite Facility","102","72","71","72","72","72","72","72","70","70","70","65","65","65"
"Forrest Satellite Facility","96","73","73","74","74","74","74","74","71","69","71","71","71","71"
"George Satellite Facility","102","100","99","98","98","98","98","98","97","97","95","90","90","90"
"Harrison Satellite Facility","102","75","75","74","74","74","74","74","71","71","71","65","65","65"
"Jackson Satellite Facility","102","71","71","71","71","71","71","71","69","74","74","71","71","70"
"Jefferson Satellite Facility","102","73","73","71","71","71","71","71","71","70","74","69","69","69"
"Leflore Satellite Facility","102","96","96","96","96","96","96","94","93","93","93","84","84","84"
"Madison Satellite Facility","102","99","89","89","89","88","88","88","85","90","90","87","87","87"
"Noxubee Satellite Facility","92","72","72","71","71","71","71","67","67","70","70","66","66","66"
"Pike Satellite Facility","93","59","58","58","58","58","57","57","57","57","56","52","52","52"
"Quitman Satellite Facility","93","66","66","67","67","67","67","68","68","69","68","66","66","66"
"Rankin Satellite Facility","228","170","170","170","170","170","170","170","168","167","168","158","158","158"
"Simpson Satellite Facility","102","75","75","78","78","78","78","80","78","78","78","71","71","71"
"Washington Satellite Facility","102","82","92","92","92","92","92","91","90","90","89","85","85","85"
"Wilkinson Satellite Facility","102","70","68","68","68","68","68","68","68","68","63","59","59","59"
"Yazoo Satellite Facility","102","99","99","99","98","98","98","98","93","92","91","88","88","88"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,576","2,573","2,578","2,578","2,578","2,578","2,575","2,575","2,572","2,573","2,581","2,581","2,580"
"Bolivar County","250","235","235","233","233","233","233","231","234","233","232","234","234","233"
"Carroll County","250","235","236","235","235","235","235","234","234","234","234","236","235","235"
"George County (opened on May 10th)","250","234","233","234","234","234","234","233","233","233","234","234","235","235"
"Holmes County","250","233","232","234","234","234","234","234","232","232","233","233","233","233"
"Issaquena County","250","233","233","233","233","233","233","235","235","235","234","236","236","236"
"Jefferson County","250","235","235","235","235","235","235","235","234","233","233","233","233","233"
"Kemper County","250","235","234","234","234","234","234","234","234","235","235","235","235","235"
"Leake County","250","234","234","235","235","235","235","235","236","236","236","236","236","236"
"Marion County","250","232","232","235","235","235","235","234","235","234","234","234","234","234"
"Stone County","250","235","234","235","235","235","235","235","235","234","235","235","235","235"
"Winston County","250","235","235","235","235","235","235","235","233","233","233","235","235","235"
"PRIVATE PRISONS","3,750","3,386","3,392","3,392","3,392","3,390","3,389","3,385","3,399","3,407","3,420","3,430","3,430","3,430"
"East MS","1,000","678","683","681","681","681","681","681","701","712","731","729","729","729"
"Marshall County","1,000","993","992","995","995","994","993","991","990","988","987","993","993","993"
"Walnut Grove","750","723","723","723","723","723","723","722","717","717","713","716","716","716"
"Wilkinson County","1,000","992","994","993","993","992","992","991","991","990","989","992","992","992"
"RESITITUTION CENTERS","24","18","18","18","18","18","18","18","17","17","17","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","5","5","5","2","2","2"
"Hinds","12","9","9","9","9","9","9","9","9","9","9","8","8","8"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","5","5","5"
"E-CODE","","4","7","6","7","6","5","6","0","3","5","87","89","87"
"TOTALS","21,737","20,480","20,480","20,484","20,476","20,473","20,465","20,481","20,432","20,458","20,470","20,451","20,445","20,443"
