"Location","Capacity 1-Jun-19","","2-Jun-19","3-Jun-19","4-Jun-19","5-Jun-19","6-Jun-19","7-Jun-19","8-Jun-19","9-Jun-19","10-Jun-19","11-Jun-19","12-Jun-19","13-Jun-19","14-Jun-19","15-Jun-19","16-Jun-19","17-Jun-19","18-Jun-19","19-Jun-19","20-Jun-19"
"Mississippi State Penitentiary","3,560","3,207","3,207","3,204","3,217","3,240","3,237","3,229","3,228","3,228","3,223","3,219","3,242","3,227","3,226","3,226","3,222","3,229","3,226","3,229","3,229"
"Central Mississippi Correctional Facility","4,131","3,786","3,786","3,790","3,782","3,763","3,777","3,790","3,788","3,787","3,791","3,803","3,793","3,813","3,836","3,834","3,834","3,820","3,824","3,820","3,820"
"Youthful Offender Unit","58","29","28","28","27","26","26","26","26","26","26","30","26","26","26","26","26","26","26","30","30"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,646","2,646","2,646","2,652","2,656","2,653","2,649","2,648","2,659","2,651","2,662","2,662","2,657","2,655","2,652","2,652","2,646","2,642","2,650","2,650"
"County Jails","1,793","1,358","1,358","1,353","1,332","1,388","1,346","1,331","1,331","1,331","1,242","1,318","1,297","1,309","1,325","1,325","1,325","1,320","1,311","1,299","1,304"
"COMMUNITY WORK CENTERS","1,372","1,038","1,032","1,082","1,081","1,080","1,077","1,069","1,067","1,066","1,094","1,082","1,090","1,094","1,064","1,062","1,063","1,087","1,077","1,088","1,084"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","70","70","78","78","78","78","77","77","77","78","79","81","82","80","80","80","81","81","81","81"
"Delta TVC","324","312","308","319","314","317","310","309","306","306","322","316","323","317","313","312","312","315","303","315","315"
"Forrest Satellite Facility","96","57","57","73","73","76","76","75","73","73","76","75","75","72","72","72","72","74","74","69","69"
"George Satellite Facility","102","48","48","50","50","49","48","48","48","48","47","47","47","47","47","47","47","47","47","46","46"
"Harrison Satellite Facility","102","48","48","49","52","49","48","49","49","49","49","49","48","48","48","48","48","48","48","47","47"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","65","65","68","67","66","68","69","71","71","71","71","72","72","70","70","70","71","71","71","71"
"Noxubee Satellite Facility","58","46","46","54","54","53","54","54","54","54","53","53","53","53","53","53","53","52","52","52","52"
"Pike Satellite Facility","93","83","83","84","84","84","84","85","85","85","85","85","85","85","84","84","84","82","81","82","83"
"Quitman Satellite Facility","93","63","63","59","63","63","63","63","63","63","63","61","61","61","61","60","60","69","69","75","73"
"Rankin Satellite Facility","178","142","142","150","150","150","150","145","145","145","149","149","149","158","142","142","142","152","152","151","149"
"Rankin RID","28","13","13","13","13","13","13","12","13","13","10","10","10","10","10","10","10","11","11","11","11"
"Flowood TVC","50","32","30","28","26","26","26","26","26","25","33","30","30","30","26","26","27","26","30","30","30"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","59","59","57","57","56","59","57","57","57","58","57","56","59","58","58","58","59","58","58","57"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,279","4,279","4,288","4,284","4,284","4,296","4,293","4,292","4,290","4,285","4,310","4,302","4,307","4,299","4,299","4,296","4,287","4,293","4,286","4,286"
"Alcorn County","300","300","300","300","300","299","299","299","299","299","299","299","300","300","300","300","300","300","300","299","299"
"Bolivar County","369","292","292","290","293","292","291","294","294","294","294","293","294","294","294","294","292","291","294","293","293"
"Carroll County","280","275","275","275","275","275","280","280","280","280","280","280","279","278","277","277","277","277","276","274","274"
"Chickasaw County","310","307","307","306","306","306","309","309","309","309","309","308","308","310","308","308","308","308","308","305","305"
"George County","342","339","339","339","337","337","341","340","340","340","339","339","335","331","330","330","330","333","331","331","331"
"Holmes County","280","280","280","282","282","280","280","280","280","280","280","280","280","280","279","279","279","278","276","273","273"
"Issaquena County","297","310","310","309","308","308","308","306","306","304","302","302","301","312","310","310","310","309","309","305","305"
"Jefferson County","280","279","279","279","280","282","282","281","281","281","281","281","278","280","279","279","279","278","278","278","278"
"Kemper County","355","343","343","348","346","351","351","350","350","350","349","352","352","352","352","352","351","349","350","350","350"
"Leake County","280","275","275","273","273","274","273","272","272","272","272","280","279","277","276","276","276","275","276","276","276"
"Marion County","280","280","280","279","279","279","279","278","278","278","278","278","278","278","279","279","279","279","280","280","280"
"Stone County","326","279","279","279","278","276","276","280","280","280","280","280","280","280","280","280","280","280","280","280","280"
"Washington County","300","161","161","161","160","160","159","159","159","159","158","158","158","157","156","156","156","154","154","163","163"
"Winston County","280","265","265","273","273","271","271","270","269","269","269","280","280","279","278","278","278","277","278","276","276"
"Yazoo County","300","294","294","295","294","294","297","295","295","295","295","300","300","299","301","301","301","299","303","303","303"
"PRIVATE PRISONS","5,472","3,192","3,192","3,192","3,181","3,186","3,181","3,180","3,179","3,178","3,174","3,160","3,164","3,164","3,162","3,162","3,162","3,174","3,174","3,166","3,166"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,270","1,270","1,266","1,257","1,253","1,246","1,245","1,244","1,244","1,242","1,241","1,244","1,245","1,244","1,244","1,244","1,252","1,252","1,250","1,250"
"Marshall County","1,000","997","997","999","999","999","999","999","999","998","996","997","997","996","995","995","995","1,000","1,000","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","925","925","927","925","934","936","936","936","936","936","922","923","923","923","923","923","922","922","917","917"
"RESTITUTION CENTERS","10","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2"
"TRANSITIONAL HOUSING","122","25","25","25","25","24","25","24","24","24","0","25","24","25","24","23","23","23","23","23","23"
"Madison","40","5","5","5","5","4","5","4","4","4","5","5","5","5","4","4","4","4","4","4","4"
"Noxubee","34","17","17","17","17","17","17","17","17","17","17","17","17","16","16","16","16","16","16","16","16"
"Rankin/Flowood","8","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1"
"TOTALS","24,179","19,568","19,561","19,616","19,589","19,655","19,626","19,599","19,591","19,597","19,494","19,617","19,608","19,630","19,625","19,617","19,610","19,619","19,603","19,598","19,599"
"","","1-Jun-19","2-Jun-19","3-Jun-19","4-Jun-19","5-Jun-19","6-Jun-19","7-Jun-19","8-Jun-19","9-Jun-19","10-Jun-19","11-Jun-19","12-Jun-19","13-Jun-19","14-Jun-19","15-Jun-19","16-Jun-19","17-Jun-19","18-Jun-19","19-Jun-19","20-Jun-19"
