"Location","Capacity","10-May-13","11-May-13","12-May-13","13-May-13","14-May-13","15-May-13","16-May-13","17-May-13","18-May-13"
"Mississippi State Penitentiary","4,648","3,335","3,335","3,334","3,345","3,348","3,369","3,366","3,367","3,366"
"Central Mississippi Correctional Facility","3,557","3,329","3,327","3,326","3,328","3,348","3,344","3,376","3,355","3,353"
"Youthful Offender Unit","42","31","31","31","29","30","31","31","32","32"
"South Mississippi Correctional Institution","3,282","3,237","3,234","3,233","3,235","3,236","3,235","3,237","3,225","3,223"
"County Jails","1,872","2,312","2,312","2,312","2,310","2,295","2,308","2,305","2,331","2,331"
"COMMUNITY WORK CENTERS","1,848","1,553","1,552","1,551","1,540","1,534","1,538","1,529","1,482","1,481"
"Alcorn Satellite Facility","92","92","92","91","87","91","92","92","92","92"
"Bolivar Satellite Facility","102","71","71","71","71","68","68","68","68","68"
"Forrest Satellite Facility","96","76","75","75","74","74","73","71","62","62"
"George Satellite Facility","102","85","86","86","83","83","83","82","77","77"
"Harrison Satellite Facility","102","82","82","82","81","82","80","82","79","79"
"Jackson Satellite Facility","102","77","77","77","77","77","77","78","73","73"
"Jefferson Satellite Facility","102","72","72","72","71","72","71","71","69","69"
"Leflore Satellite Facility","102","84","84","84","81","80","81","80","80","80"
"Madison Satellite Facility","102","89","89","89","90","89","91","88","91","91"
"Noxubee Satellite Facility","92","76","75","75","75","75","80","81","74","73"
"Pike Satellite Facility","93","92","92","92","92","92","92","92","92","92"
"Quitman Satellite Facility","93","91","91","91","91","91","92","88","91","91"
"Rankin Satellite Facility","260","236","236","236","237","237","235","235","232","232"
"Simpson Satellite Facility","102","99","99","99","99","98","98","97","94","94"
"Washington Satellite Facility","102","81","81","81","79","76","77","76","70","70"
"Wilkinson Satellite Facility","102","73","73","73","72","70","69","69","64","64"
"Yazoo Satellite Facility","102","77","77","77","80","79","79","79","74","74"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,424","4,422","4,421","4,416","4,426","4,422","4,425","4,419","4,414"
"Alcorn County","300","298","298","298","297","297","297","300","300","299"
"Bolivar County","369","368","368","368","368","369","370","369","370","370"
"Carroll County","280","280","280","280","280","279","279","277","277","277"
"Chickasaw County","300","300","300","300","300","299","299","300","300","300"
"George County","280","277","276","276","276","280","278","280","280","280"
"Holmes County","280","280","280","280","280","280","279","279","279","279"
"Issaquena County","274","274","274","274","273","273","272","274","272","271"
"Jefferson County","280","280","280","279","279","280","280","280","280","280"
"Kemper County","355","355","355","355","355","355","355","354","354","353"
"Leake County","280","276","276","276","276","280","280","280","281","281"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","280","279","279","280","280","280","278","278","278"
"Washington County","300","298","298","298","297","296","296","296","295","295"
"Winston County","280","279","279","279","276","278","278","279","277","277"
"Yazoo County","300","299","299","299","299","300","299","299","296","294"
"PRIVATE PRISONS","5,972","4,285","4,284","4,282","4,295","4,297","4,305","4,310","4,311","4,311"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,120","1,119","1,119","1,117","1,120","1,120","1,121","1,119","1,119"
"Marshall County","1,000","999","999","998","997","997","999","999","999","999"
"Walnut Grove","1,500","1,279","1,279","1,278","1,290","1,289","1,294","1,298","1,301","1,301"
"Wilkinson County","1,000","887","887","887","891","891","892","892","892","892"
"RESTITUTION CENTERS","16","12","12","12","12","12","11","10","9","9"
"Greenwood","6","5","5","5","5","5","4","3","3","3"
"Hinds","6","4","4","4","4","4","4","4","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,518","22,509","22,502","22,510","22,526","22,563","22,589","22,531","22,520"
