"Location","Capacity","10-Nov-11","11-Nov-11","12-Nov-11","13-Nov-11","14-Nov-11","15-Nov-11","16-Nov-11","17-Nov-11","18-Nov-11"
"Mississippi State Penitentiary","3,356","3,076","3,076","3,075","3,075","3,083","3,076","3,077","3,092","3,081"
"Central Mississippi Correctional Facility","3,449","3,087","3,085","3,082","3,082","3,071","3,095","3,073","3,066","3,031"
"South Mississippi Correctional Institution","3,256","3,198","3,196","3,196","3,195","3,198","3,190","3,188","3,180","3,185"
"County Jails","1,616","2,057","2,062","2,062","2,062","2,066","2,050","2,018","1,989","1,999"
"COMMUNITY WORK CENTERS","1,848","1,475","1,412","1,410","1,410","1,464","1,475","1,471","1,474","1,496"
"Alcorn Satellite Facility","92","87","79","79","79","85","85","83","84","84"
"Bolivar Satellite Facility","102","86","81","81","81","90","91","90","86","86"
"Forrest Satellite Facility","96","77","75","75","75","83","82","81","85","81"
"George Satellite Facility","102","76","76","76","76","74","74","73","73","82"
"Harrison Satellite Facility","102","80","78","78","78","80","79","82","80","79"
"Jackson Satellite Facility","102","82","77","77","77","81","85","84","83","84"
"Jefferson Satellite Facility","102","77","72","72","72","76","75","74","73","77"
"Leflore Satellite Facility","102","87","86","86","86","87","92","90","90","90"
"Madison Satellite Facility","102","90","88","87","87","90","87","86","87","94"
"Noxubee Satellite Facility","92","79","73","73","73","78","78","78","79","78"
"Pike Satellite Facility","93","65","61","61","61","62","62","62","61","61"
"Quitman Satellite Facility","93","58","52","53","53","56","57","57","57","67"
"Rankin Satellite Facility","260","191","189","187","187","189","190","189","190","191"
"Simpson Satellite Facility","102","95","93","93","93","91","91","91","95","92"
"Washington Satellite Facility","102","86","77","77","77","84","90","90","90","90"
"Wilkinson Satellite Facility","102","72","71","71","71","71","71","74","74","73"
"Yazoo Satellite Facility","102","87","84","84","84","87","86","87","87","87"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,496","3,491","3,486","3,484","3,480","3,486","3,530","3,527","3,523"
"Alcorn County","300","250","250","249","249","248","249","249","250","249"
"Bolivar County","294","233","232","232","231","231","234","234","233","235"
"Carroll County","280","224","223","223","223","223","224","224","224","224"
"Chickasaw County","300","249","249","249","249","247","246","250","249","248"
"George County","280","224","224","224","224","224","224","224","224","223"
"Holmes County","280","224","223","223","223","224","223","224","224","224"
"Issaquena County","274","220","219","219","219","219","219","224","225","221"
"Jefferson County","280","225","225","224","224","224","224","224","224","224"
"Kemper County","355","284","284","284","284","284","283","283","283","283"
"Leake County","280","224","224","224","224","224","224","224","224","223"
"Marion County","280","226","226","226","225","225","225","225","222","224"
"Stone County","280","223","223","223","223","223","224","225","226","226"
"Washington County","300","215","215","215","215","212","212","245","244","243"
"Winston County","280","224","224","221","221","221","224","224","224","225"
"Yazoo County","300","251","250","250","250","251","251","251","251","251"
"PRIVATE PRISONS","5,972","5,158","5,155","5,153","5,150","5,153","5,154","5,152","5,166","5,139"
"Delta","972","900","900","899","898","900","901","899","902","901"
"East Mississippi","1,500","1,348","1,348","1,347","1,346","1,348","1,345","1,346","1,346","1,344"
"Marshall County","1,000","997","997","997","997","1,000","1,000","999","998","1,000"
"Walnut Grove","1,500","1,030","1,027","1,027","1,026","1,024","1,024","1,024","1,033","1,009"
"Wilkinson County","1,000","883","883","883","883","881","884","884","887","885"
"RESTITUTION CENTERS","16","10","9","9","9","10","10","10","9","9"
"Greenwood","6","4","3","3","3","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","5","65","67","67","7","3","3","3","5"
"TOTALS","23,882","21,567","21,556","21,545","21,539","21,537","21,544","21,527","21,511","21,473"
"","","10-Nov-11","11-Nov-11","12-Nov-11","13-Nov-11","14-Nov-11","15-Nov-11","16-Nov-11","17-Nov-11","18-Nov-11"
