"Location","Capacity","19-Dec-14","20-Dec-14","21-Dec-14","22-Dec-14","23-Dec-14","24-Dec-14","25-Dec-14","26-Dec-14","27-Dec-14"
"Mississippi State Penitentiary","4,648","3,178","3,178","3,176","3,177","3,195","3,208","3,207","3,206","3,206"
"Central Mississippi Correctional Facility","3,469","2,225","2,222","2,221","2,267","2,186","2,136","2,134","2,135","2,134"
"Youthful Offender Unit","58","35","35","35","35","35","34","34","34","34"
"CMCF TVC","350","83","81","80","79","103","126","124","121","121"
"South Mississippi Correctional Institution 3,282","","2,589","2,588","2,588","2,583","2,593","2,624","2,622","2,620","2,618"
"County Jails","1,973","1,446","1,435","1,446","1,426","1,435","1,454","1,459","1,454","1,454"
"COMMUNITY WORK CENTERS","1,848","1,137","1,134","1,134","1,128","1,125","1,131","1,130","1,129","1,129"
"Alcorn Satellite Facility","92","69","69","69","68","65","65","65","64","64"
"Bolivar Satellite Facility","102","56","56","56","56","54","54","54","54","54"
"Forrest Satellite Facility","96","51","51","51","51","50","50","49","49","49"
"George Satellite Facility","102","52","52","52","52","51","51","51","51","51"
"Harrison Satellite Facility","102","48","48","48","49","49","49","49","49","49"
"Jackson Satellite Facility","102","50","50","50","47","47","46","47","47","47"
"Jefferson Satellite Facility","102","54","54","54","53","53","53","53","53","53"
"Leflore Satellite Facility","102","55","55","55","55","55","55","55","55","55"
"Madison Satellite Facility","102","53","53","53","53","51","54","54","54","54"
"Noxubee Satellite Facility","92","76","76","76","76","76","76","76","76","76"
"Pike Satellite Facility","93","85","85","85","84","88","87","87","87","87"
"Quitman Satellite Facility","93","53","51","51","52","51","51","51","51","51"
"Rankin Satellite Facility","260","189","189","189","188","188","188","188","188","188"
"Simpson Satellite Facility","102","96","96","96","95","94","100","100","100","100"
"Washington Satellite Facility","102","51","51","51","51","51","50","50","50","50"
"Wilkinson Satellite Facility","102","45","44","44","44","47","47","46","46","46"
"Yazoo Satellite Facility","102","54","54","54","54","55","55","55","55","55"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,223","4,217","4,213","4,211","4,227","4,219","4,211","4,206","4,202"
"Alcorn County","300","299","298","298","297","300","300","300","300","298"
"Bolivar County","369","369","369","368","368","363","359","358","357","356"
"Carroll County","280","261","260","260","261","267","266","266","266","266"
"Chickasaw County","300","298","298","298","297","300","300","300","300","300"
"George County","280","251","250","250","248","256","256","256","256","255"
"Holmes County","280","265","265","265","265","262","260","260","260","260"
"Issaquena County","274","252","252","251","251","254","255","255","254","254"
"Jefferson County","280","258","257","256","257","258","258","258","258","258"
"Kemper County","355","330","330","330","329","330","330","330","330","330"
"Leake County","280","249","249","248","250","249","250","249","249","249"
"Marion County","280","275","274","274","271","274","270","270","270","270"
"Stone County","280","274","274","274","274","274","274","274","274","274"
"Washington County","300","281","280","280","282","281","281","276","277","277"
"Winston County","280","278","278","278","278","276","277","276","274","274"
"Yazoo County","300","283","283","283","283","283","283","283","281","281"
"PRIVATE PRISONS","5,972","4,298","4,294","4,292","4,290","4,300","4,288","4,287","4,286","4,285"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,173","1,171","1,170","1,170","1,171","1,159","1,159","1,159","1,159"
"Marshall County","1,000","995","994","993","993","998","997","997","996","996"
"Walnut Grove","1,500","1,237","1,236","1,236","1,236","1,241","1,248","1,247","1,247","1,247"
"Wilkinson County","1,000","893","893","893","891","890","884","884","884","883"
"RESTITUTION CENTERS","16","9","9","8","7","7","7","7","7","7"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","2","1","1","1","1","1","1"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","","0","0","0","0","0"
"E-CODE","0","0","0","0","","0","0","0","0","0"
"TOTALS","25,710","19,223","19,204","19,193","19,203","19,206","19,227","19,215","19,198","19,190"
"","","19-Dec-14","20-Dec-14","21-Dec-14","22-Dec-14","23-Dec-14","24-Dec-14","25-Dec-14","26-Dec-14","27-Dec-14"
