"Location","Capacity","28-Nov-12","29-Nov-12","30-Nov-12","Avg Population"
"Mississippi State Penitentiary","4,648","3,361","3,359","3,380","3,371"
"Central Mississippi Correctional Facility","3,665","3,326","3,341","3,338","3,344"
"South Mississippi Correctional Institution","3,282","3,181","3,188","3,186","3,175"
"County Jails","1,816","2,316","2,297","2,296","2,240"
"COMMUNITY WORK CENTERS","1,848","1,466","1,464","1,467","1,488"
"Alcorn Satellite Facility","92","91","90","89","90"
"Bolivar Satellite Facility","102","74","74","74","73"
"Forrest Satellite Facility","96","65","65","64","67"
"George Satellite Facility","102","71","71","71","75"
"Harrison Satellite Facility","102","69","69","69","72"
"Jackson Satellite Facility","102","62","62","61","67"
"Jefferson Satellite Facility","102","67","66","66","70"
"Leflore Satellite Facility","102","72","72","72","74"
"Madison Satellite Facility","102","82","82","88","85"
"Noxubee Satellite Facility","92","73","73","73","73"
"Pike Satellite Facility","93","90","90","89","90"
"Quitman Satellite Facility","93","93","93","92","91"
"Rankin Satellite Facility","260","248","247","246","246"
"Simpson Satellite Facility","102","100","101","101","99"
"Washington Satellite Facility","102","69","69","67","73"
"Wilkinson Satellite Facility","102","48","48","53","47"
"Yazoo Satellite Facility","102","92","92","92","98"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,351","4,349","4,353","4,352"
"Alcorn County","300","300","300","300","299"
"Bolivar County","369","368","368","368","367"
"Carroll County","280","277","276","279","279"
"Chickasaw County","300","299","300","300","299"
"George County","280","280","280","280","279"
"Holmes County","280","280","280","280","279"
"Issaquena County","274","274","274","274","274"
"Jefferson County","280","280","280","280","280"
"Kemper County","355","338","337","339","339"
"Leake County","280","279","280","280","279"
"Marion County","280","279","278","279","280"
"Stone County","280","280","279","279","280"
"Washington County","300","237","237","237","239"
"Winston County","280","280","280","279","280"
"Yazoo County","300","300","300","299","300"
"PRIVATE PRISONS","5,972","4,259","4,264","4,259","4,264"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,147","1,148","1,145","1,163"
"Marshall County","1,000","999","999","995","999"
"Walnut Grove","1,500","1,208","1,213","1,214","1,199"
"Wilkinson County","1,000","905","904","905","903"
"RESTITUTION CENTERS","16","14","13","14","14"
"Greenwood","6","5","5","5","5"
"Hinds","6","5","5","5","5"
"Pascagoula","4","4","3","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","12","10","13","14"
"TOTALS","25,691","22,286","22,285","22,306","22,263"
"","","28-Nov-12","29-Nov-12","30-Nov-12",""
