"Location","Capacity","1-Sep-10","2-Sep-10","3-Sep-10","4-Sep-10","5-Sep-10","6-Sep-10","7-Sep-10","8-Sep-10","9-Sep-10"
"Mississippi State Penitentiary","4,435","3,444","3,447","3,432","3,429","3,428","3,425","3,432","3,440","3,457"
"Central Mississippi Correctional Facility","3,449","3,219","3,209","3,178","3,178","3,175","3,173","3,170","3,158","3,134"
"South Mississippi Correctional Institution","3,204","3,169","3,165","3,155","3,153","3,153","3,149","3,162","3,164","3,162"
"County Jails","1,483","1,682","1,704","1,733","1,733","1,733","1,737","1,757","1,748","1,736"
"COMMUNITY WORK CENTERS","1,848","1,593","1,590","1,601","1,601","1,598","1,597","1,586","1,591","1,557"
"Alcorn Satellite Facility","92","76","75","75","75","75","75","75","75","72"
"Bolivar Satellite Facility","102","88","88","86","86","86","86","83","83","79"
"Forrest Satellite Facility","96","71","70","71","71","71","71","71","71","66"
"George Satellite Facility","102","92","92","92","92","92","92","92","92","87"
"Harrison Satellite Facility","102","73","72","72","72","72","72","72","74","71"
"Jackson Satellite Facility","102","83","83","82","82","82","82","82","82","78"
"Jefferson Satellite Facility","102","87","87","87","87","87","87","87","85","81"
"Leflore Satellite Facility","102","81","81","87","87","87","87","86","86","86"
"Madison Satellite Facility","102","95","94","102","102","102","102","100","101","99"
"Noxubee Satellite Facility","92","87","87","88","88","86","86","84","84","80"
"Pike Satellite Facility","93","93","93","92","92","92","92","92","92","91"
"Quitman Satellite Facility","93","89","89","90","90","90","90","89","89","81"
"Rankin Satellite Facility","260","220","221","221","221","221","221","221","223","231"
"Simpson Satellite Facility","102","94","94","94","94","94","94","95","95","95"
"Washington Satellite Facility","102","88","88","87","87","86","86","86","86","86"
"Wilkinson Satellite Facility","102","79","79","79","79","79","79","79","79","76"
"Yazoo Satellite Facility","102","97","97","96","96","96","95","92","94","98"
"REGIONAL CORRECTIONAL FACILITIES","3,463","2,527","2,524","2,527","2,527","2,525","2,524","2,527","2,527","2,529"
"Bolivar County","294","234","235","235","235","235","235","234","236","235"
"Carroll County","280","224","224","223","223","223","222","223","223","224"
"Chickasaw County","300","0","0","0","0","0","0","0","0","0"
"George County","280","222","224","224","224","224","224","223","224","224"
"Holmes County","280","224","224","223","223","223","223","224","224","224"
"Issaquena County","274","218","219","219","219","219","219","219","214","219"
"Jefferson County","280","224","224","224","224","224","224","224","224","224"
"Kemper County","355","284","283","283","283","282","282","283","283","283"
"Leake County","280","226","226","225","225","225","225","226","226","226"
"Marion County","280","223","221","226","226","225","225","225","225","224"
"Stone County","280","224","223","223","223","223","223","223","224","224"
"Winston County","280","224","221","222","222","222","222","223","224","222"
"Yazoo County","300","0","0","0","0","0","0","0","0","0"
"PRIVATE PRISONS","5,972","5,325","5,330","5,338","5,334","5,332","5,330","5,325","5,351","5,346"
"Delta","972","900","903","900","900","900","899","898","900","902"
"East Mississippi","1,500","1,359","1,361","1,366","1,363","1,361","1,360","1,363","1,364","1,360"
"Marshall County","1,000","923","923","925","925","925","925","923","947","945"
"Walnut Grove","1,500","1,191","1,191","1,195","1,194","1,194","1,194","1,190","1,189","1,192"
"Wilkinson County","1,000","952","952","952","952","952","952","951","951","947"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","8","8","8"
"Greenwood","6","2","2","2","2","2","2","2","2","2"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","7","9","5","5","10","9","7","7","43"
"TOTALS","23,876","20,980","20,992","20,983","20,974","20,968","20,958","20,980","21,000","20,978"
