"Location","Capacity","24-Nov-16","25-Nov-16","26-Nov-16","27-Nov-16","28-Nov-16","29-Nov-16","30-Nov-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,371","3,371","3,373","3,370","3342","3367","3332","3312"
"Central Mississippi Correctional Facility","3,858","3,243","3,243","3,242","3,241","3271","3241","3222","3263"
"Youthful Offender Unit","58","32","32","32","32","32","32","32","33"
"CMCF TVC","","4","4","4","4","4","4","6","15"
"South Mississippi Correctional Institution","3,082","2,975","2,975","2,974","2,974","2997","2993","3020","2966"
"County Jails","1,781","1,179","1,179","1,179","1,179","1180","1202","1231","1229"
"COMMUNITY WORK CENTERS","1,348","903","900","896","893","894","881","873","930"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","68","67","67","67","67","65","64","66"
"George Satellite Facility","102","78","78","78","78","78","77","78","80"
"Harrison Satellite Facility","102","50","50","50","50","50","50","50","50"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","44","44","42","41","41","38","38","60"
"Leflore TVC Support","20","11","11","11","11","11","11","11","13"
"Madison Satellite Facility","102","73","73","72","72","72","72","72","74"
"Noxubee Satellite Facility","92","69","69","69","69","69","69","69","68"
"Pike Satellite Facility","93","84","84","84","84","84","84","86","86"
"Quitman Satellite Facility","93","58","57","57","57","57","55","50","58"
"Rankin Satellite Facility","182","150","150","150","150","150","148","148","149"
"Rankin RID","28","3","3","3","3","3","3","2","4"
"Flowood TVC","50","17","16","17","17","17","17","16","21"
"Simpson TVC","82","57","57","55","53","52","49","48","61"
"Simpson TVC Support","20","12","12","12","12","12","12","12","13"
"Washington Satellite Facility","102","65","65","65","65","65","65","65","64"
"Wilkinson Satellite Facility","102","64","64","64","64","66","66","64","66"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4438","4,139","4,143","4,141","4,140","4,139","4,101","4,088","4,180"
"Alcorn County","300","275","275","275","275","275","246","245","288"
"Bolivar County","369","282","282","282","282","282","282","280","289"
"Carroll County","280","254","254","254","254","254","252","252","263"
"Chickasaw County","300","309","309","309","309","308","306","305","307"
"George County","280","270","270","270","270","277","276","273","276"
"Holmes County","280","264","264","264","264","262","263","263","273"
"Issaquena County","274","254","254","254","254","252","252","253","266"
"Jefferson County","280","272","277","276","276","276","279","279","276"
"Kemper County","355","351","351","351","350","350","348","348","346"
"Leake County","280","200","200","200","200","200","199","198","196"
"Marion County","280","278","278","278","278","277","276","275","278"
"Stone County","280","327","327","326","326","326","325","323","325"
"Washington County","300","229","229","229","229","229","227","225","226"
"Winston County","280","276","275","275","275","274","275","273","275"
"Yazoo County","300","298","298","298","298","297","295","296","295"
"PRIVATE PRISONS","5,972","3,044","3,044","3,044","3,044","3,022","3,043","3,057","3,053"
"Delta","972","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,154","1,152","1,152","1,152","1,152","1,152","1,162","1159"
"Marshall County","1,000","996","997","997","997","997","996","996","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","894","895","895","895","873","895","899","896"
"RESTITUTION CENTERS","16","13","12","12","12","10","10","12","13"
"Greenwood","6","5","4","4","4","4","4","4","5"
"Hinds","6","6","6","6","6","4","4","6","5"
"Pascagoula","4","2","2","2","2","2","2","2","2"
"TOTALS","24,143","18,903","18,903","18,897","18,889","18,891","18,874","18,873","18,993"
