"Location","Capacity","10-Jun-07","11-Jun-07","12-Jun-07","13-Jun-07","14-Jun-07","15-Jun-07","16-Jun-07","17-Jun-07","18-Jun-07"
"Mississippi State Penitentiary","4,534","4,538","4,533","4,552","4,545","4,531","4,544","4,540","4,540","4,524"
"Central Mississippi Correctional Facility","3,425","3,330","3,347","3,374","3,375","3,376","3,362","3,364","3,363","3,372"
"South Mississippi Correctional Institution","2,684","2,570","2,585","2,572","2,556","2,572","2,579","2,577","2,575","2,591"
"County Jails","1,793","1,907","1,899","1,877","1,863","1,899","1,878","1,878","1,878","1,862"
"COMMUNITY WORK CENTERS","1,816","1,691","1,743","1,739","1,743","1,750","1,699","1,699","1,697","1,747"
"Alcorn Satellite Facility","92","84","89","89","87","87","81","81","81","89"
"Bolivar Satellite Facility","102","101","102","100","100","100","97","97","97","100"
"Forrest Satellite Facility","96","89","87","88","94","94","92","92","92","94"
"George Satellite Facility","102","100","100","99","100","101","99","99","100","100"
"Harrison Satellite Facility","102","95","96","95","101","101","97","97","97","99"
"Jackson Satellite Facility","102","90","97","99","99","99","96","96","96","99"
"Jefferson Satellite Facility","102","92","97","97","97","97","93","93","92","94"
"Leflore Satellite Facility","102","95","101","101","100","100","96","96","96","100"
"Madison Satellite Facility","102","98","101","101","101","101","100","100","100","100"
"Noxubee Satellite Facility","92","90","92","92","92","92","82","82","82","91"
"Pike Satellite Facility","93","80","83","82","82","80","84","84","84","91"
"Quitman Satellite Facility","93","85","90","90","89","88","82","82","80","82"
"Rankin Satellite Facility","228","202","207","208","207","207","201","201","201","210"
"Simpson Satellite Facility","102","99","102","102","102","102","98","98","98","102"
"Washington Satellite Facility","102","93","98","98","95","102","102","102","102","101"
"Wilkinson Satellite Facility","102","97","99","99","98","98","100","100","100","95"
"Yazoo Satellite Facility","102","101","102","99","99","101","99","99","99","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,076","3,070","3,069","3,072","3,072","3,074","3,072","3,072","3,075"
"Bolivar County","294","291","291","293","293","293","292","292","292","291"
"Carroll County","280","280","279","279","278","278","277","277","277","278"
"George County","280","280","280","279","278","279","279","279","279","279"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","273","273","278","275","276","276","276","276"
"Jefferson County","274","273","272","272","271","273","274","274","274","274"
"Kemper County","280","280","277","279","280","278","280","279","279","280"
"Leake County","280","280","280","279","280","280","280","280","280","280"
"Marion County","280","279","279","278","278","279","279","279","279","278"
"Stone County","280","280","280","280","279","280","280","280","280","279"
"Winston County","280","279","279","277","277","277","277","276","276","280"
"PRIVATE PRISONS","5,100","4,881","4,872","4,866","4,869","4,878","4,876","4,874","4,874","4,878"
"Delta","972","966","962","965","965","970","969","969","969","969"
"East Mississippi","1,000","878","876","876","876","876","877","877","877","877"
"Marshall County","1,000","995","994","993","994","992","993","992","992","991"
"Tallahatchie County","128","128","128","128","128","127","127","127","127","128"
"Walnut Grove","1,000","950","949","944","944","951","949","948","948","947"
"Wilkinson County","1,000","964","963","960","962","962","961","961","961","966"
"RESTITUTION CENTERS","16","9","10","10","10","10","10","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","2","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","","67","10","9","8","10","63","61","61","7"
"TOTALS","22,456","22,074","22,074","22,073","22,046","22,103","22,090","22,080","22,075","22,071"
