"Location","Capacity","11-May-14","12-May-14","13-May-14","14-May-14","15-May-14","16-May-14","17-May-14","18-May-14","19-May-14","20-May-14","21-May-14"
"Mississippi State Penitentiary","4,648","3,280","3,292","3,290","3,285","3,297","3,305","3,302","3,302","3,285","3,297","3,285"
"Central Mississippi Correctional Facility","3,665","2,802","2,791","2,785","2,817","2,739","2,729","2,730","2,729","2,782","2,768","2,782"
"Youthful Offender Unit","42","39","39","39","39","39","39","39","39","39","39","39"
"South Mississippi Correctional Institution","3,282","3,204","3,217","3,210","3,214","3,215","3,208","3,210","3,208","3,200","3,193","3,200"
"County Jails","2,020","1,851","1,842","1,854","1,874","1,885","1,864","1,859","1,859","1,798","1,814","1,798"
"COMMUNITY WORK CENTERS","1,848","1,156","1,171","1,169","1,173","1,171","1,148","1,147","1,147","1,147","1,148","1,147"
"Alcorn Satellite Facility","92","85","85","85","90","89","92","92","92","89","89","89"
"Bolivar Satellite Facility","102","45","45","45","44","46","46","46","46","44","44","44"
"Forrest Satellite Facility","96","46","51","51","51","53","51","51","51","51","51","51"
"George Satellite Facility","102","66","66","67","67","64","60","60","60","62","62","62"
"Harrison Satellite Facility","102","57","59","58","58","58","57","57","57","61","60","61"
"Jackson Satellite Facility","102","49","51","50","50","49","46","46","46","48","48","48"
"Jefferson Satellite Facility","102","40","40","40","40","45","42","42","42","46","46","46"
"Leflore Satellite Facility","102","56","56","56","56","55","55","55","55","53","53","53"
"Madison Satellite Facility","102","62","62","62","61","61","59","59","59","57","57","57"
"Noxubee Satellite Facility","92","77","77","75","75","71","70","70","70","69","69","69"
"Pike Satellite Facility","93","86","83","83","83","82","81","81","81","79","81","79"
"Quitman Satellite Facility","93","69","70","72","72","71","66","66","66","66","67","66"
"Rankin Satellite Facility","260","194","196","196","196","192","186","185","185","190","191","190"
"Simpson Satellite Facility","102","99","101","100","99","97","97","97","97","98","94","98"
"Washington Satellite Facility","102","46","46","46","46","47","50","50","50","46","47","46"
"Wilkinson Satellite Facility","102","44","45","45","47","46","46","46","46","44","45","44"
"Yazoo Satellite Facility","102","35","38","38","38","45","44","44","44","44","44","44"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,393","4,403","4,414","4,400","4,391","4,395","4,393","4,388","4,404","4,392","4,401"
"Alcorn County","300","296","296","296","299","296","296","296","296","300","300","299"
"Bolivar County","369","369","369","369","369","369","369","369","368","366","365","365"
"Carroll County","280","277","277","280","279","275","275","275","274","280","272","279"
"Chickasaw County","300","297","296","300","299","299","300","300","300","298","300","298"
"George County","280","280","279","280","279","277","280","280","280","278","278","278"
"Holmes County","280","275","280","279","279","279","279","279","279","280","280","280"
"Issaquena County","274","273","273","273","272","272","272","272","272","274","274","274"
"Jefferson County","280","279","279","279","279","279","279","279","279","281","281","281"
"Kemper County","355","350","354","354","353","350","350","350","350","355","353","355"
"Leake County","280","280","280","280","277","280","280","279","279","277","277","277"
"Marion County","280","279","279","279","279","279","278","278","278","280","277","280"
"Stone County","280","280","282","282","282","281","281","281","281","281","281","281"
"Washington County","300","286","286","286","284","282","282","282","280","278","278","278"
"Winston County","280","276","278","277","271","273","275","274","274","277","277","277"
"Yazoo County","300","296","295","300","299","300","299","299","298","299","299","299"
"PRIVATE PRISONS","5000","4338","4338","4340","4338","4341","4339","4338","4336","4336","4331","4336"
"East Mississippi","1,500","1,196","1,197","1,198","1,197","1,192","1,196","1,195","1,194","1,195","1,193","1,195"
"Marshall County","1,000","998","997","998","998","998","1000","1000","1,000","1000","1000","1000"
"Walnut Grove","1,500","1,268","1,264","1,264","1,264","1,270","1,262","1,262","1,261","1,263","1,262","1,263"
"Wilkinson County","1,000","876","880","880","879","881","881","881","881","878","876","878"
"RESTITUTION CENTERS","16","9","9","9","9","9","10","12","12","13","13","13"
"Greenwood","6","2","2","2","2","2","2","4","4","5","5","5"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","3","3","3","3","3","3"
"TOTALS","24,959","21,072","21,102","21,110","21,149","21,087","21,037","21,030","21,020","21,004","20,995","21,001"
