"","","","","","","","","","",""
"Location","Capacity","10-Sep-13","11-Sep-13","12-Sep-13","13-Sep-13","14-Sep-13","15-Sep-13","16-Sep-13","17-Sep-13","18-Sep-13"
"Mississippi State Penitentiary","4,648","3,387","3,381","3,380","3,383","3,383","3,381","3,386","3,380","3,378"
"Central Mississippi Correctional Facility","3,557","3,353","3,330","3,324","3,318","3,319","3,316","3,321","3,337","3,310"
"Youthful Offender Unit","42","34","34","33","33","31","33","34","34","34"
"South Mississippi Correctional Institution 3,282","","3,227","3,231","3,235","3,221","3,217","3,216","3,222","3,223","3,231"
"County Jails","1,882","2,230","2,193","2,195","2,192","2,228","2,192","2,195","2,196","2,207"
"COMMUNITY WORK CENTERS","1,848","1,419","1,421","1,417","1,417","1,379","1,413","1,413","1,413","1,410"
"Alcorn Satellite Facility","92","91","89","89","92","92","92","91","91","90"
"Bolivar Satellite Facility","102","66","68","74","74","74","74","75","73","72"
"Forrest Satellite Facility","96","73","69","69","68","67","67","67","67","67"
"George Satellite Facility","102","68","65","63","62","62","62","62","63","63"
"Harrison Satellite Facility","102","91","89","89","89","89","89","89","89","88"
"Jackson Satellite Facility","102","73","70","69","74","74","74","74","73","71"
"Jefferson Satellite Facility","102","57","61","62","62","62","62","61","61","64"
"Leflore Satellite Facility","102","73","75","75","72","72","72","71","70","69"
"Madison Satellite Facility","102","77","79","79","85","85","85","85","85","84"
"Noxubee Satellite Facility","92","80","80","79","79","79","79","78","78","78"
"Pike Satellite Facility","93","93","93","93","92","92","91","92","92","91"
"Quitman Satellite Facility","93","87","86","84","83","47","82","80","82","80"
"Rankin Satellite Facility","260","220","215","212","210","209","209","211","211","214"
"Simpson Satellite Facility","102","102","100","99","96","96","96","97","97","97"
"Washington Satellite Facility","102","64","70","69","70","70","70","70","71","71"
"Wilkinson Satellite Facility","102","45","54","54","51","51","51","50","50","51"
"Yazoo Satellite Facility","102","59","58","58","58","58","58","60","60","60"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,430","4,433","4,434","4,429","4,426","4,425","4,422","4,428","4,410"
"Alcorn County","300","298","300","299","298","298","298","298","298","300"
"Bolivar County","369","368","368","367","367","367","367","369","369","367"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"Chickasaw County","300","300","300","300","299","299","299","300","299","288"
"George County","280","280","278","280","280","280","280","280","280","280"
"Holmes County","280","280","280","280","280","280","280","279","280","280"
"Issaquena County","274","274","274","274","274","274","274","273","273","273"
"Jefferson County","280","280","279","280","280","280","280","279","280","278"
"Kemper County","355","354","355","355","355","354","354","355","355","353"
"Leake County","280","281","281","281","281","281","281","281","280","279"
"Marion County","280","280","280","280","280","279","279","279","279","280"
"Stone County","280","279","279","280","279","279","279","276","276","275"
"Washington County","300","297","300","298","296","295","294","294","300","300"
"Winston County","280","279","280","280","280","280","280","279","279","278"
"Yazoo County","300","300","299","300","300","300","300","300","300","299"
"PRIVATE PRISONS","5,972","4,398","4,408","4,407","4,382","4,380","4,379","4,377","4,376","4,395"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,199","1,201","1,200","1,199","1,198","1,198","1,199","1,198","1,198"
"Marshall County","1,000","994","1,000","999","999","999","999","998","997","998"
"Walnut Grove","1,500","1,311","1,309","1,310","1,287","1,286","1,285","1,284","1,284","1,303"
"Wilkinson County","1,000","894","898","898","897","897","897","896","897","896"
"RESTITUTION CENTERS","16","12","12","10","10","10","10","11","11","12"
"Greenwood","6","4","4","4","4","4","4","6","6","6"
"Hinds","6","5","5","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","2","2","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,691","22,490","22,443","22,435","22,385","22,373","22,365","22,381","22,398","22,387"
"","","10-Sep-13","11-Sep-13","12-Sep-13","13-Sep-13","14-Sep-13","15-Sep-13","16-Sep-13","17-Sep-13","18-Sep-13"
