"Location","Capacity","27-May-05","28-May-05","29-May-05","30-May-05","31-May-05"
"Mississippi State Penitentiary","4,630","4,516","4,515","4,509","4,506","0"
"Central Mississippi Correctional Facility","3,233","3,035","3,035","3,034","3,033","0"
"South Mississippi Correctional Institution","2,214","2,166","2,164","2,161","2,161","0"
"County Jails","2,329","1,792","1,792","1,792","1,792","0"
"COMMUNITY WORK CENTERS","1,816","1,730","1,729","1,728","1,726","0"
"Alcorn Satellite Facility","92","90","90","90","90","0"
"Bolivar Satellite Facility","102","98","99","99","99","0"
"Forrest Satellite Facility","96","96","96","96","96","0"
"George Satellite Facility","102","94","94","94","94","0"
"Harrison Satellite Facility","102","102","102","102","102","0"
"Jackson Satellite Facility","102","102","102","102","102","0"
"Jefferson Satellite Facility","102","90","90","90","89","0"
"Leflore Satellite Facility","102","100","100","100","100","0"
"Madison Satellite Facility","102","102","102","102","102","0"
"Noxubee Satellite Facility","92","86","86","86","86","0"
"Pike Satellite Facility","93","89","89","89","89","0"
"Quitman Satellite Facility","93","83","83","82","82","0"
"Rankin Satellite Facility","228","211","211","211","211","0"
"Simpson Satellite Facility","102","97","97","97","97","0"
"Washington Satellite Facility","102","99","97","97","96","0"
"Wilkinson Satellite Facility","102","91","91","91","91","0"
"Yazoo Satellite Facility","102","100","100","100","100","0"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,743","2,742","2,740","2,738","0"
"Bolivar County","250","249","249","249","249","0"
"Carroll County","250","250","250","250","250","0"
"George County","250","248","247","247","247","0"
"Holmes County","250","250","250","250","250","0"
"Issaquena County","250","249","249","248","248","0"
"Jefferson County","250","249","249","249","249","0"
"Kemper County","250","249","249","249","249","0"
"Leake County","250","250","250","250","250","0"
"Marion County","250","249","249","249","248","0"
"Stone County","250","250","250","249","248","0"
"Winston County","250","250","250","250","250","0"
"PRIVATE PRISONS","5,088","4,819","4,818","4,815","4,815","0"
"Delta","960","953","953","953","953","0"
"East Mississippi","1,000","867","867","867","867","0"
"Marshall County","1,000","995","994","993","993","0"
"Tallahatchie County","128","128","128","128","128","0"
"Walnut Grove","1,000","891","891","890","890","0"
"Wilkinson County","1,000","985","985","984","984","0"
"RESTITUTION CENTERS","18","10","10","10","10","0"
"Greenwood","6","6","6","6","6","0"
"Hinds","6","3","3","3","3","0"
"Pascagoula","6","1","1","1","1","0"
"GOVERNOR'S MANSION","6","5","5","5","5","0"
"E-CODE","","6","6","6","4","0"
"TOTALS","22,084","20,822","20,816","20,800","20,790","0"
