"Location","Capacity","28-Sep-07","29-Sep-07","30-Sep-07","","Avg Population"
"Mississippi State Penitentiary","4,527","4,437","4,435","4,431","","4,434"
"Central Mississippi Correctional Facility","3,425","3,485","3,482","3,483","","3,437"
"South Mississippi Correctional Institution","2,884","2,811","2,809","2,808","","2,782"
"County Jails","1,606","1,905","1,905","1,905","","1,858"
"COMMUNITY WORK CENTERS","1,816","1,716","1,714","1,711","","1,748"
"Alcorn Satellite Facility","92","81","81","81","","89"
"Bolivar Satellite Facility","102","102","102","102","","99"
"Forrest Satellite Facility","96","91","91","90","","89"
"George Satellite Facility","102","97","97","97","","100"
"Harrison Satellite Facility","102","93","92","92","","98"
"Jackson Satellite Facility","102","93","93","93","","98"
"Jefferson Satellite Facility","102","97","97","97","","99"
"Leflore Satellite Facility","102","99","99","99","","100"
"Madison Satellite Facility","102","97","97","97","","100"
"Noxubee Satellite Facility","92","92","92","92","","90"
"Pike Satellite Facility","93","85","85","85","","88"
"Quitman Satellite Facility","93","87","87","87","","89"
"Rankin Satellite Facility","228","213","212","211","","216"
"Simpson Satellite Facility","102","97","97","97","","98"
"Washington Satellite Facility","102","99","99","98","","99"
"Wilkinson Satellite Facility","102","94","94","94","","97"
"Yazoo Satellite Facility","102","99","99","99","","99"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,078","3,075","3,069","","3,077"
"Bolivar County","294","294","294","293","","293"
"Carroll County","280","280","280","279","","279"
"George County","280","279","279","278","","279"
"Holmes County","280","280","280","280","","280"
"Issaquena County","274","268","268","267","","272"
"Jefferson County","280","280","279","278","","277"
"Kemper County","280","280","280","280","","279"
"Leake County","280","280","280","279","","279"
"Marion County","280","280","279","279","","279"
"Stone County","280","278","278","278","","280"
"Winston County","280","279","278","278","","279"
"PRIVATE PRISONS","4,972","4,785","4,785","4,775","","4,770"
"Delta","972","972","972","971","","969"
"East Mississippi","1,000","888","888","886","","888"
"Marshall County","1,000","995","995","993","","994"
"Tallahatchie County","0","0","0","0","","0"
"Walnut Grove","1,000","938","938","934","","927"
"Wilkinson County","1,000","992","992","991","","992"
"RESTITUTION CENTERS","16","13","13","13","","13"
"Greenwood","6","6","6","6","","5"
"Hinds","6","4","4","4","","5"
"Pascagoula","4","3","3","3","","4"
"GOVERNOR'S MANSION","6","5","5","5","","5"
"E-CODE","","36","37","38","","26"
"TOTALS","22,340","22,271","22,260","22,238","","22,152"
"","","28-Sep-07","29-Sep-07","30-Sep-07","",""
