"Location","Capacity","1-Feb-06","2-Feb-06","3-Feb-06","4-Feb-06","5-Feb-06","6-Feb-06","7-Feb-06","8-Feb-06","9-Feb-06"
"Mississippi State Penitentiary","4,529","4,322","4,338","4,317","4,315","4,311","4,327","4,323","4,336","4,332"
"Central Mississippi Correctional Facility","3,233","3,170","3,174","3,186","3,178","3,177","3,164","3,175","3,197","3,193"
"South Mississippi Correctional Institution","2,306","2,108","2,100","2,096","2,096","2,097","2,089","2,091","2,083","2,095"
"County Jails","2,177","1,657","1,674","1,664","1,664","1,664","1,679","1,693","1,688","1,709"
"COMMUNITY WORK CENTERS","1,816","1,726","1,729","1,683","1,681","1,681","1,736","1,741","1,723","1,732"
"Alcorn Satellite Facility","92","90","92","82","82","82","92","91","91","91"
"Bolivar Satellite Facility","102","98","98","96","96","96","97","97","99","99"
"Forrest Satellite Facility","96","86","84","83","83","83","88","88","84","82"
"George Satellite Facility","102","99","99","97","95","95","96","96","92","90"
"Harrison Satellite Facility","102","94","94","92","92","92","94","97","91","91"
"Jackson Satellite Facility","102","97","97","95","95","95","97","97","97","97"
"Jefferson Satellite Facility","102","95","92","90","90","90","94","95","95","95"
"Leflore Satellite Facility","102","95","96","93","93","93","98","100","99","98"
"Madison Satellite Facility","102","100","101","94","94","94","99","99","99","98"
"Noxubee Satellite Facility","92","89","90","83","84","84","89","89","87","89"
"Pike Satellite Facility","93","81","87","92","91","91","92","90","90","93"
"Quitman Satellite Facility","93","84","86","85","85","85","85","85","86","86"
"Rankin Satellite Facility","228","224","224","222","222","222","227","227","226","228"
"Simpson Satellite Facility","102","98","97","95","95","95","96","96","96","101"
"Washington Satellite Facility","102","101","101","100","100","100","101","102","99","99"
"Wilkinson Satellite Facility","102","98","98","96","96","96","97","97","98","98"
"Yazoo Satellite Facility","102","97","93","88","88","88","94","95","94","97"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,045","3,046","3,048","3,047","3,045","3,047","3,052","3,047","3,048"
"Bolivar County","294","293","292","291","291","291","293","295","294","293"
"Carroll County","280","280","280","278","278","278","280","280","280","280"
"George County","280","277","278","280","280","279","279","280","280","279"
"Holmes County","280","279","279","280","280","280","280","280","280","280"
"Issaquena County","274","271","270","273","272","271","271","273","273","274"
"Jefferson County","250","250","250","250","250","250","250","249","247","247"
"Kemper County","280","280","280","279","279","279","277","278","280","280"
"Leake County","280","279","280","280","280","280","280","280","279","280"
"Marion County","280","278","279","279","279","279","280","280","280","280"
"Stone County","280","279","279","280","280","280","280","280","280","279"
"Winston County","280","279","279","278","278","278","277","277","274","276"
"PRIVATE PRISONS","5,100","4,756","4,744","4,754","4,751","4,750","4,748","4,750","4,765","4,760"
"Delta","972","967","965","967","966","966","966","970","971","970"
"East Mississippi","1,000","826","826","826","826","826","826","826","825","824"
"Marshall County","1,000","994","994","993","992","992","992","995","994","994"
"Tallahatchie County","128","128","128","127","127","127","127","126","127","127"
"Walnut Grove","1,000","923","911","921","920","920","917","912","924","921"
"Wilkinson County","1,000","918","920","920","920","919","920","921","924","924"
"RESTITUTION CENTERS","16","14","14","14","14","14","14","14","13","13"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","5","5","5","5","5","5","5","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","4","2","60","63","59","7","8","7","7"
"TOTALS","22,241","20,808","20,827","20,828","20,815","20,804","20,817","20,853","20,865","20,895"
"","","1-Feb-06","2-Feb-06","3-Feb-06","4-Feb-06","5-Feb-06","6-Feb-06","7-Feb-06","8-Feb-06","9-Feb-06"
