"","","","","","","","","","",""
"Location","Capacity","1-Aug-13","2-Aug-13","3-Aug-13","4-Aug-13","5-Aug-13","6-Aug-13","7-Aug-13","8-Aug-13","9-Aug-13"
"Mississippi State Penitentiary","4,648","3,388","3,382","3,381","3,379","3,376","3,374","3,383","3,386","3,379"
"Central Mississippi Correctional Facility","3,557","3,342","3,346","3,344","3,342","3,349","3,381","3,339","3,313","3,313"
"Youthful Offender Unit","42","36","36","36","36","36","35","36","36","35"
"South Mississippi Correctional Institution 3,282","","3,253","3,233","3,228","3,227","3,218","3,224","3,232","3,236","3,235"
"County Jails","1,872","2,199","2,212","2,212","2,212","2,203","2,200","2,201","2,217","2,220"
"COMMUNITY WORK CENTERS","1,848","1,464","1,463","1,461","1,461","1,472","1,469","1,461","1,459","1,448"
"Alcorn Satellite Facility","92","89","89","89","89","89","89","88","91","91"
"Bolivar Satellite Facility","102","76","76","76","76","75","75","75","75","75"
"Forrest Satellite Facility","96","63","67","67","67","67","66","66","66","66"
"George Satellite Facility","102","73","74","73","73","70","70","70","70","68"
"Harrison Satellite Facility","102","86","87","87","87","88","89","90","88","86"
"Jackson Satellite Facility","102","74","74","74","74","80","80","80","79","78"
"Jefferson Satellite Facility","102","64","62","62","62","64","64","61","61","59"
"Leflore Satellite Facility","102","74","74","74","74","76","75","73","71","68"
"Madison Satellite Facility","102","82","84","84","84","83","85","84","82","81"
"Noxubee Satellite Facility","92","75","74","74","74","75","76","77","78","76"
"Pike Satellite Facility","93","92","92","92","92","92","92","90","90","93"
"Quitman Satellite Facility","93","93","93","93","93","93","93","93","93","92"
"Rankin Satellite Facility","260","233","232","232","232","232","229","234","231","229"
"Simpson Satellite Facility","102","101","100","100","100","101","101","100","102","101"
"Washington Satellite Facility","102","76","75","74","74","77","77","74","72","72"
"Wilkinson Satellite Facility","102","54","50","50","50","51","51","50","50","53"
"Yazoo Satellite Facility","102","59","60","60","60","59","57","56","60","60"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,429","4,434","4,433","4,430","4,421","4,419","4,428","4,426","4,422"
"Alcorn County","300","300","300","300","299","299","299","297","298","298"
"Bolivar County","369","369","368","368","368","367","367","367","369","366"
"Carroll County","280","280","280","280","279","278","277","278","279","278"
"Chickasaw County","300","300","300","300","300","299","298","300","300","300"
"George County","280","280","280","280","280","280","280","280","280","280"
"Holmes County","280","279","280","280","280","279","279","280","279","280"
"Issaquena County","274","274","273","273","273","271","274","275","274","273"
"Jefferson County","280","273","280","280","280","279","279","281","280","280"
"Kemper County","355","355","355","355","355","354","354","355","354","355"
"Leake County","280","280","280","280","279","279","278","278","277","278"
"Marion County","280","280","279","279","279","279","278","280","279","279"
"Stone County","280","280","280","279","279","279","277","277","282","280"
"Washington County","300","300","299","299","299","299","299","299","296","296"
"Winston County","280","278","279","279","279","278","279","280","279","279"
"Yazoo County","300","301","301","301","301","301","301","301","300","300"
"PRIVATE PRISONS","5,972","4,408","4,422","4,421","4,421","4,414","4,413","4,414","4,409","4,389"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,191","1,194","1,194","1,194","1,193","1,193","1,198","1,196","1,196"
"Marshall County","1,000","997","999","998","998","998","998","998","999","999"
"Walnut Grove","1,500","1,320","1,328","1,328","1,328","1,325","1,325","1,322","1,321","1,301"
"Wilkinson County","1,000","900","901","901","901","898","897","896","893","893"
"RESTITUTION CENTERS","16","14","12","12","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,533","22,540","22,528","22,520","22,501","22,527","22,506","22,494","22,453"
"","","1-Aug-13","2-Aug-13","3-Aug-13","4-Aug-13","5-Aug-13","6-Aug-13","7-Aug-13","8-Aug-13","9-Aug-13"
