"Location","Capacity","19-Mar-12","20-Mar-12","21-Mar-12","22-Mar-12","23-Mar-12","24-Mar-12","25-Mar-12","26-Mar-12","27-Mar-12"
"Mississippi State Penitentiary","4,648","3,256","3,275","3,267","3,276","3,264","3,262","3,260","3,257","3,271"
"Central Mississippi Correctional Facility","3,665","3,088","3,095","3,065","3,075","3,060","3,058","3,057","3,058","3,064"
"South Mississippi Correctional Institution","3,282","3,175","3,174","3,178","3,172","3,185","3,183","3,180","3,175","3,185"
"County Jails","1,667","2,223","2,226","2,255","2,251","2,251","2,256","2,256","2,238","2,224"
"COMMUNITY WORK CENTERS","1,848","1,453","1,453","1,481","1,477","1,487","1,487","1,487","1,485","1,482"
"Alcorn Satellite Facility","92","88","88","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","71","71","69","69","67","67","67","63","62"
"Forrest Satellite Facility","96","76","76","75","77","76","76","76","76","79"
"George Satellite Facility","102","79","78","80","79","77","77","77","75","75"
"Harrison Satellite Facility","102","70","70","70","84","83","83","83","83","81"
"Jackson Satellite Facility","102","80","83","85","86","85","85","85","85","85"
"Jefferson Satellite Facility","102","68","68","69","69","72","72","72","74","74"
"Leflore Satellite Facility","102","80","80","79","79","76","76","76","78","78"
"Madison Satellite Facility","102","89","90","92","92","91","91","91","91","91"
"Noxubee Satellite Facility","92","79","79","79","77","75","75","75","77","77"
"Pike Satellite Facility","93","92","92","93","92","92","92","92","92","92"
"Quitman Satellite Facility","93","89","89","91","89","88","88","88","87","84"
"Rankin Satellite Facility","260","181","178","185","185","184","184","184","184","184"
"Simpson Satellite Facility","102","82","82","91","76","100","100","100","100","99"
"Washington Satellite Facility","102","75","75","77","77","76","76","76","78","79"
"Wilkinson Satellite Facility","102","66","66","67","67","66","66","66","66","66"
"Yazoo Satellite Facility","102","88","88","87","87","87","87","87","84","84"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,279","4,271","4,276","4,281","4,273","4,272","4,271","4,271","4,269"
"Alcorn County","300","299","296","297","297","297","297","297","296","296"
"Bolivar County","294","294","293","294","296","296","296","296","296","294"
"Carroll County","280","282","280","278","277","279","279","279","278","278"
"Chickasaw County","300","299","298","297","297","296","296","295","295","295"
"George County","280","280","278","279","280","278","278","278","279","280"
"Holmes County","280","279","280","279","280","279","279","279","280","280"
"Issaquena County","274","275","275","273","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","280","280","280","280","280","280"
"Kemper County","355","340","339","339","340","340","340","340","340","340"
"Leake County","280","278","279","280","280","280","280","280","278","278"
"Marion County","280","279","279","280","280","280","280","280","280","280"
"Stone County","280","279","279","280","279","278","278","278","279","279"
"Washington County","300","237","237","241","240","239","238","238","236","236"
"Winston County","280","278","277","278","280","279","279","279","279","279"
"Yazoo County","300","300","301","301","301","298","298","298","301","300"
"PRIVATE PRISONS","5,972","4,132","4,134","4,143","4,143","4,164","4,162","4,161","4,162","4,172"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,306","1,305","1,309","1,309","1,329","1,327","1,327","1,327","1,326"
"Marshall County","1,000","998","998","1,000","1,000","1,000","1,000","1,000","999","999"
"Walnut Grove","1,500","944","945","949","948","950","950","950","952","963"
"Wilkinson County","1,000","884","886","885","886","885","885","884","884","884"
"RESTITUTION CENTERS","16","11","11","11","11","10","10","10","12","12"
"Greenwood","6","4","4","4","4","4","4","4","5","5"
"Hinds","6","3","3","3","3","2","2","2","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","5","7","6","29","30","31","4","6"
"TOTALS","25,467","21,623","21,644","21,683","21,692","21,723","21,720","21,713","21,662","21,685"
