"Location","Capacity","28-Mar-15","29-Mar-15","30-Mar-15","","31-Mar-15 Avg Population"
"Mississippi State Penitentiary","4,648","3,211","3,212","3,122","3,122","3,125"
"MSP TVC","108","92","91","90","90","92"
"Central Mississippi Correctional Facility","3,469","2,408","2,407","2,397","2,397","2,366"
"Youthful Offender Unit","58","24","24","24","24","23"
"CMCF TVC","158","112","111","126","126","117"
"South Mississippi Correctional Institution 3,282","","2,324","2,322","2,400","2,400","2,405"
"SMCI TVC","0","97","97","98","98","96"
"County Jails","1,995","1,531","1,532","1,519","1,513","1,542"
"COMMUNITY WORK CENTERS","1,848","1,037","1,036","1,051","1,051","1,038"
"Alcorn Satellite Facility","92","54","54","54","54","50"
"Bolivar Satellite Facility","102","46","45","46","46","50"
"Forrest Satellite Facility","96","49","49","49","49","50"
"George Satellite Facility","102","56","56","57","57","53"
"Harrison Satellite Facility","102","44","44","44","44","45"
"Jackson Satellite Facility","102","51","51","52","52","51"
"Jefferson Satellite Facility","102","39","39","40","40","42"
"Leflore Satellite Facility","102","46","46","45","45","47"
"Madison Satellite Facility","102","45","45","46","46","50"
"Noxubee Satellite Facility","92","56","56","59","59","58"
"Pike Satellite Facility","93","85","85","84","84","80"
"Quitman Satellite Facility","93","53","53","51","51","52"
"Rankin Satellite Facility","260","171","171","182","182","166"
"Simpson Satellite Facility","102","99","99","99","99","99"
"Washington Satellite Facility","102","47","47","48","48","49"
"Wilkinson Satellite Facility","102","49","49","49","49","50"
"Yazoo Satellite Facility","102","47","47","46","46","47"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,169","4,169","4,184","4,184","4,174"
"Alcorn County","300","300","300","300","300","300"
"Bolivar County","369","354","354","353","353","352"
"Carroll County","280","278","278","277","277","269"
"Chickasaw County","300","295","295","299","299","299"
"George County","280","255","255","255","255","259"
"Holmes County","280","271","271","271","271","266"
"Issaquena County","274","253","253","252","252","256"
"Jefferson County","280","258","258","260","260","263"
"Kemper County","355","342","342","343","343","336"
"Leake County","280","256","256","259","259","255"
"Marion County","280","266","266","269","269","267"
"Stone County","280","271","271","271","271","274"
"Washington County","300","250","250","250","250","251"
"Winston County","280","242","242","245","245","252"
"Yazoo County","300","278","278","280","280","276"
"PRIVATE PRISONS","5,972","3,989","3,987","3,997","3,997","3,993"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,165","1,163","1,164","1,164","1,170"
"Marshall County","1,000","999","999","999","999","996"
"Walnut Grove","1,500","931","931","933","933","937"
"Wilkinson County","1,000","894","894","901","901","890"
"RESTITUTION CENTERS","16","7","7","7","7","5"
"Greenwood","6","3","3","3","3","3"
"Hinds","6","3","3","3","3","1"
"Pascagoula","4","1","1","1","1","1"
"TOTALS","25,726","19,001","18,995","19,015","19,009","18,976"
"","","28-Mar-15","29-Mar-15","30-Mar-15","","31-Mar-15 Avg Population"
