"Location","Capacity","28-Nov-11","29-Nov-11","30-Nov-11","Avg Population"
"Mississippi State Penitentiary","3,356","3,065","3,067","3,066","3,067"
"Central Mississippi Correctional Facility","3,449","2,999","3,024","3,033","3,053"
"South Mississippi Correctional Institution","3,256","3,186","3,199","3,200","3,192"
"County Jails","1,616","2,054","2,062","2,065","2,034"
"COMMUNITY WORK CENTERS","1,848","1,469","1,467","1,472","1,476"
"Alcorn Satellite Facility","92","81","81","82","83"
"Bolivar Satellite Facility","102","86","85","77","86"
"Forrest Satellite Facility","96","83","82","82","80"
"George Satellite Facility","102","82","82","81","79"
"Harrison Satellite Facility","102","82","82","82","80"
"Jackson Satellite Facility","102","82","82","81","83"
"Jefferson Satellite Facility","102","75","74","74","74"
"Leflore Satellite Facility","102","92","92","92","90"
"Madison Satellite Facility","102","82","82","92","88"
"Noxubee Satellite Facility","92","77","79","78","77"
"Pike Satellite Facility","93","59","59","59","62"
"Quitman Satellite Facility","93","64","63","71","64"
"Rankin Satellite Facility","260","190","192","192","192"
"Simpson Satellite Facility","102","90","89","88","91"
"Washington Satellite Facility","102","91","92","91","88"
"Wilkinson Satellite Facility","102","70","69","69","74"
"Yazoo Satellite Facility","102","83","82","81","85"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,517","3,516","3,522","3,503"
"Alcorn County","300","247","247","250","249"
"Bolivar County","294","235","234","235","234"
"Carroll County","280","223","224","224","223"
"Chickasaw County","300","248","248","250","249"
"George County","280","224","224","224","224"
"Holmes County","280","223","224","224","224"
"Issaquena County","274","226","226","225","221"
"Jefferson County","280","224","224","223","224"
"Kemper County","355","284","284","284","283"
"Leake County","280","221","221","224","223"
"Marion County","280","224","224","224","225"
"Stone County","280","225","224","225","225"
"Washington County","300","237","237","237","227"
"Winston County","280","224","223","221","223"
"Yazoo County","300","252","252","252","251"
"PRIVATE PRISONS","5,972","5,133","5,118","5,120","5,150"
"Delta","972","897","896","898","899"
"East Mississippi","1,500","1,334","1,318","1,315","1,344"
"Marshall County","1,000","1,000","1,000","1,000","999"
"Walnut Grove","1,500","1,011","1,014","1,016","1,020"
"Wilkinson County","1,000","891","890","891","888"
"RESTITUTION CENTERS","16","9","10","10","10"
"Greenwood","6","4","4","4","4"
"Hinds","6","3","3","3","3"
"Pascagoula","4","2","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","0","5","2","2","13"
"TOTALS","23,882","21,442","21,470","21,495","21,503"
